Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Malaria	1.2074414204041195e-09	10.806397306397306	221.90679940865144	ACKR1,CCL2,CD36,CSF3,HBB,HGF,IL6,ITGB2,KLRC4-KLRK1,PECAM1,SELP,THBS1,TLR4,TNF	3.392910391335576e-07	0	0
2	Hematopoietic cell lineage	1.0333377455750185e-08	6.196419932268989	113.93906735796699	CD33,CD34,CD36,CSF1R,CSF3,EPOR,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL1R1,IL6,IL7,ITGA1,MME,TNF	1.451839532532901e-06	0	0
3	Inflammatory bowel disease	4.806324318473014e-08	7.622103386809269	128.43814436845807	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL12RB2,IL18R1,IL6,NFATC1,RORC,STAT4,TLR4,TNF	4.198789953065337e-06	0	0
4	Cell adhesion molecules	5.976925200093007e-08	4.619797525309337	76.84005042244401	CADM1,CD226,CD34,CDH5,CLDN5,ESAM,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ICAM2,ITGA9,ITGB2,JAM2,NCAM2,PECAM1,PTPRM,SELP,SELPLG	4.198789953065337e-06	0	0
5	Staphylococcus aureus infection	2.0554369492330562e-07	5.631610764073348	86.71333043862725	C1QB,C2,CAMP,DEFA3,FCGR2A,FGG,FPR3,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ITGB2,SELP,SELPLG	1.1551555654689776e-05	0	0
6	PPAR signaling pathway	2.6778650842839885e-07	6.475757575757576	97.99813015430554	ACOX2,APOA2,CD36,CPT2,CYP27A1,FABP1,FABP3,FABP4,LPL,ME3,OLR1,PLIN2,PPARG,RXRG	1.254133481139668e-05	0	0
7	Rheumatoid arthritis	8.755410658225608e-07	5.339873277012005	74.48281540329279	ANGPT1,CCL2,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL6,ITGB2,TEK,TLR4,TNF,TNFSF13	3.514671992801994e-05	0	0
8	Complement and coagulation cascades	1.5584080054767325e-06	5.4693413003272155	73.13518831553337	A2M,C1QB,C2,C4BPA,C8B,F10,F11,FGG,ITGB2,SERPINA1,SERPING1,TFPI,VSIG4,VWF	5.473908119237023e-05	0	0
9	ECM-receptor interaction	2.392373258205689e-06	5.246792246792247	67.9104109501413	CD36,CD47,COL4A1,COL4A2,COL4A3,COL6A1,COL6A5,ITGA1,ITGA9,LAMA4,NPNT,THBS1,TNXB,VWF	6.908841397157166e-05	0	0
10	Osteoclast differentiation	2.458662418917141e-06	4.296587615283268	55.49426628241019	CALCR,CSF1R,FCGR2A,FOS,FOSB,GAB2,IL1R1,MITF,NCF4,NFATC1,PIK3R1,PPARG,SIRPB1,SOCS3,SPI1,TNF,TYROBP	6.908841397157166e-05	0	0
