Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Malaria	1.6053541891045026e-12	10.34601664684899	280.9737752809426	ACKR1,CCL2,CD36,CD81,CR1,CSF3,GYPA,HBA2,HBB,HGF,IL10,IL6,ITGAL,ITGB2,KLRC4-KLRK1,PECAM1,SELE,SELP,THBS1,TLR4,TNF	4.719741315967238e-10	0	0
2	Hematopoietic cell lineage	4.731691797617873e-12	5.942460623416676	154.95999055545116	CD1C,CD22,CD33,CD34,CD36,CD37,CD55,CR1,CSF1R,CSF3,CSF3R,EPOR,FCER2,FLT3,GYPA,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL1R1,IL5RA,IL6,IL7,ITGA1,ITGB3,MME,TNF	6.955586942498273e-10	0	0
3	Cell adhesion molecules	2.1245573565652166e-09	3.956296967435911	79.00607288375043	CADM1,CD22,CD226,CD34,CDH5,CLDN5,ESAM,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ICAM2,ITGA9,ITGAL,ITGB2,JAM2,NCAM2,NECTIN3,NFASC,NLGN3,NRXN3,PECAM1,PTPRC,PTPRM,SELE,SELP,SELPLG,SIGLEC1,SPN,TIGIT	1.9648423997027957e-07	0	0
4	Hypertrophic cardiomyopathy	2.673254965582035e-09	5.197039519620165	102.58939910670836	ACE,CACNA1C,CACNA1D,CACNA1S,CACNA2D2,CACNA2D4,CACNB4,CACNG6,DES,DMD,EDN1,IL6,ITGA1,ITGA9,ITGB3,LAMA2,LMNA,MYL3,SGCA,SLC8A1,SLC8A3,TNF,TNNC1,TTN	1.9648423997027957e-07	0	0
5	Complement and coagulation cascades	4.195292109233057e-09	5.298888421261109	102.21186361475674	A2M,C1QB,C2,C3,C4BPA,C8B,CD55,CFD,CFH,CFI,CR1,F10,F11,F13A1,FGG,ITGAX,ITGB2,PROS1,SERPINA1,SERPING1,TFPI,VSIG4,VWF	2.4668317602290373e-07	0	0
6	Dilated cardiomyopathy	1.0788163621742278e-08	4.762416794674859	87.36566107456702	ADCY4,ADCY5,CACNA1C,CACNA1D,CACNA1S,CACNA2D2,CACNA2D4,CACNB4,CACNG6,DES,DMD,ITGA1,ITGA9,ITGB3,LAMA2,LMNA,MYL3,PLN,SGCA,SLC8A1,SLC8A3,TNF,TNNC1,TTN	5.286200174653716e-07	0	0
7	Staphylococcus aureus infection	4.16299870553833e-08	4.560480088684233	77.50282843606001	C1QB,C2,C3,CFD,CFH,CFI,DEFA3,FCGR2C,FCGR3B,FGG,FPR2,FPR3,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10,ITGAL,ITGB2,SELP,SELPLG	1.7484594563260985e-06	0	0
8	Adrenergic signaling in cardiomyocytes	5.506173776950163e-07	3.2803051352648462	47.27649791971328	ADCY4,ADCY5,ADRA1A,ADRB2,AGTR1,ATP1A2,ATP1A4,CACNA1C,CACNA1D,CACNA1S,CACNA2D2,CACNA2D4,CACNB4,CACNG6,CAMK2A,CREB3L1,KCNE1B,KCNQ1,MYL3,PLCB2,PLN,PPP2R5B,RAPGEF3,SCN1B,SCN7A,SLC8A1,SLC8A3,TNNC1	2.023518863029185e-05	0	0
9	Arrhythmogenic right ventricular cardiomyopathy	2.095199974867208e-06	4.341859741875291	56.77355687923846	ACTN2,CACNA1C,CACNA1D,CACNA1S,CACNA2D2,CACNA2D4,CACNB4,CACNG6,DES,DMD,ITGA1,ITGA9,ITGB3,LAMA2,LMNA,SGCA,SLC8A1,SLC8A3	6.844319917899545e-05	0	0
10	Vascular smooth muscle contraction	6.408755656361427e-06	3.1395594639157824	37.542366791720205	ACTG2,ADCY4,ADCY5,ADORA2A,ADRA1A,AGTR1,CACNA1C,CACNA1D,CACNA1S,CALCRL,EDN1,GUCY1A1,IRAG1,MYH10,MYH11,MYLK,PLA2G1B,PLCB2,PPP1R12A,PPP1R12B,PPP1R14A,PRKG1,PTGIR,RAMP2	0.00018841741629702595	0	0
11	Osteoclast differentiation	9.324071858186276e-06	3.1518241926914223	36.50729952139895	BTK,CALCR,CSF1R,FCGR2C,FCGR3B,FOS,FOSB,GAB2,IL1R1,ITGB3,JUNB,LILRA6,MITF,NFATC1,NFKBIA,OSCAR,PIK3R1,PPARG,SIRPB1,SOCS3,SPI1,TNF,TYROBP	0.00024920701148243316	0	0
12	Inflammatory bowel disease	1.7273139087795554e-05	4.261784897025172	46.73625854587838	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10,IL12RB1,IL18RAP,IL6,NFATC1,RORC,STAT4,TLR4,TNF	0.00042319190765099105	0	0
13	Asthma	1.9426047146367333e-05	6.749529599073672	73.22494302248532	CCL11,FCER1G,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10,TNF	0.00042463455135436203	0	0
14	Aldosterone synthesis and secretion	2.0220692921636288e-05	3.421740772665201	36.984925610043476	ADCY4,ADCY5,AGTR1,ATP1A2,ATP1A4,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA1S,CAMK2A,CREB3L1,CYP21A2,KCNK3,NR4A1,NR4A2,PDE2A,PLCB2,PRKD1	0.00042463455135436203	0	0
15	MAPK signaling pathway	2.7480762151738907e-05	2.1888294711824123	22.98714041795953	ANGPT1,ARRB1,ARRB2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA1S,CACNA2D2,CACNA2D4,CACNB4,CACNG6,CSF1R,DUSP6,ERBB4,FGF10,FGF7,FGFR4,FLT3,FOS,GADD45B,HGF,IL1R1,MAP3K3,MAP3K8,MEF2C,MRAS,NFATC1,NR4A1,NTRK1,PDGFRA,PTPN5,RAPGEF2,RASGRF2,RASGRP2,RPS6KA2,SOS2,TEK,TNF	0.0005386229381740826	0	0
16	Leishmaniasis	3.692709681037192e-05	3.726792641721937	38.037751136155485	C3,CR1,FCGR2C,FCGR3B,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10,ITGB2,NFKBIA,TLR4,TNF	0.000678535403890584	0	0
17	Calcium signaling pathway	5.452883779506845e-05	2.2768866919981616	22.351697703821095	ADCY4,ADORA2A,ADRA1A,ADRB2,AGTR1,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA1S,CAMK2A,CHRM1,EDNRB,ERBB4,FGF10,FGF7,FGFR4,HGF,HRH1,MCOLN3,MYLK,NTRK1,NTRK3,P2RX1,P2RX7,PDGFRA,PLCB2,PLN,PTK2B,RYR3,SLC8A1,SLC8A3,TNNC1	0.0009387967559198693	0	0
18	Rap1 signaling pathway	5.747735240325731e-05	2.378343621399177	23.222431471717847	ADCY4,ADCY5,ADORA2A,ANGPT1,ARAP3,CNR1,CSF1R,DOCK4,EVL,FGF10,FGF7,FGFR4,FYB1,HGF,ITGAL,ITGB2,ITGB3,LAT,MAGI1,MRAS,PDGFRA,PIK3R1,PLCB2,PRKCZ,PRKD1,RAPGEF2,RAPGEF3,RASGRP2,TEK,THBS1	0.0009387967559198693	0	0
19	Cortisol synthesis and secretion	7.38516917943184e-05	3.896490913438546	37.069077873532535	ADCY4,ADCY5,AGTR1,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA1S,CREB3L1,CYP17A1,CYP21A2,KCNK3,NR4A1,PLCB2	0.0011427577572384003	0	0
20	PPAR signaling pathway	8.654581397554587e-05	3.6099367800488693	33.77036886855763	ACOX2,APOA2,AQP7,CD36,CYP27A1,FABP1,FABP3,FABP4,LPL,OLR1,PLIN2,PLIN5,PPARG,RXRG,SORBS1	0.001272223465440524	0	0
21	Viral protein interaction with cytokine and cytokine receptor	9.191224962677725e-05	3.1201611098679796	29.00088734685435	CCL11,CCL13,CCL14,CCL15,CCL2,CCL4,CCR1,CCR10,CCR9,CSF1R,CXCL5,IL10,IL18RAP,IL6,IL6ST,TNF,TNFRSF10C,TNFRSF14	0.0012867714947748816	0	0
22	cAMP signaling pathway	9.705396957549972e-05	2.3008761449621664	21.260655490322044	ADCY4,ADCY5,ADORA2A,ADRB2,ARAP3,ATP1A2,ATP1A4,CACNA1C,CACNA1D,CACNA1S,CAMK2A,CFTR,CHRM1,CREB3L1,EDN1,FOS,FXYD1,NFATC1,NFKBIA,NPY1R,PDE4A,PDE4B,PDE4C,PDE4D,PIK3R1,PLN,PPP1R12A,RAPGEF3,VIP,VIPR2	0.0012969939570544053	0	0
23	cGMP-PKG signaling pathway	0.0001086526441715372	2.507821718937762	22.88977788905745	ADCY4,ADCY5,ADRA1A,ADRB2,AGTR1,ATP1A2,ATP1A4,CACNA1C,CACNA1D,CACNA1S,CREB3L1,EDNRB,GUCY1A1,IRAG1,MEF2C,MYLK,NFATC1,PDE2A,PDE5A,PLCB2,PLN,PPP1R12A,PRKG1,SLC8A1,SLC8A3	0.0013888642341926929	0	0
24	Rheumatoid arthritis	0.00011714408362802603	3.178058783321941	28.768124652951535	ANGPT1,CCL2,CXCL5,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL6,ITGAL,ITGB2,TEK,TLR4,TNF,TNFSF13	0.0013990810250081981	0	0
25	Pertussis	0.0001189694749156631	3.491203061109652	31.548757837130385	C1QB,C2,C3,C4BPA,CXCL5,FOS,IL10,IL6,ITGB2,NLRP3,NOD1,SERPING1,SFTPA2,TLR4,TNF	0.0013990810250081981	0	0
26	Viral myocarditis	0.0001242441378476877	3.9239519696650516	35.28912843055927	CAV1,CD55,DMD,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ITGAL,ITGB2,LAMA2,SGCA	0.001404914481816161	0	0
27	ECM-receptor interaction	0.0001963546679643181	3.1555555555555554	26.934522144476816	CD36,CD47,COL4A1,COL4A2,COL4A3,COL6A5,HSPG2,ITGA1,ITGA9,ITGB3,LAMA2,LAMA4,NPNT,THBS1,TNXB,VWF	0.0020826449940917684	0	0
28	Parathyroid hormone synthesis, secretion and action	0.00019834714229445414	2.906484570475396	24.77921042617404	ADCY4,ADCY5,AKAP13,ARRB1,ARRB2,CREB3L1,EGR1,FOS,MEF2C,NR4A2,PDE4A,PDE4B,PDE4C,PDE4D,PLCB2,PTH1R,RXRG,SLC34A2	0.0020826449940917684	0	0
29	Th17 cell differentiation	0.00022393454503283867	2.8736728172353367	24.150796828644786	FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL12RB1,IL1R1,IL6,IL6ST,LAT,NFATC1,NFKBIA,RARA,RORC,RXRG,STAT5A	0.002270232973781192	0	0
30	Intestinal immune network for IgA production	0.00024137692431618505	4.213482684205117	35.094732859278515	CCR10,CCR9,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10,IL6,TNFSF13	0.002365493858298614	0	0
31	Transcriptional misregulation in cancer	0.00041034263390577467	2.229879518072289	17.38975568173627	AFF1,BCL6,CSF1R,DEFA3,DUSP6,ERG,ETV1,FLI1,FLT3,GADD45B,HPGD,ID2,IL6,JMJD1C,MEF2C,MITF,NTRK1,PPARG,PTCRA,RARA,RUNX1T1,RXRG,SPI1,TMPRSS2,ZBTB16,ZEB1	0.003891636592525734	0	0
32	Platelet activation	0.000518348302596797	2.5708529165300398	19.448150473890195	ADCY4,ADCY5,BTK,FCER1G,FERMT3,FGG,GUCY1A1,ITGB3,MYLK,P2RX1,PIK3R1,PLCB2,PPP1R12A,PRKCZ,PRKG1,PTGIR,RASGRP2,TBXAS1,VWF	0.004762325030108072	0	0
33	Type II diabetes mellitus	0.0007181220596335304	3.934059439378588	28.478148803237335	ABCC8,CACNA1C,CACNA1D,CACNA1G,PIK3R1,PRKCZ,SLC2A2,SOCS2,SOCS3,TNF	0.006397814713098725	0	0
34	AGE-RAGE signaling pathway in diabetic complications	0.0008634993671604448	2.703017084696474	19.068481038257016	AGER,AGTR1,CCL2,COL4A1,COL4A2,COL4A3,EDN1,EGR1,IL6,NFATC1,PIK3R1,PLCB2,PRKCZ,SELE,STAT5A,TNF	0.007466729821916787	0	0
35	Chemokine signaling pathway	0.0009377485333850034	2.129522661057593	14.847093180416561	ADCY4,ADCY5,ARRB1,ARRB2,CCL11,CCL13,CCL14,CCL15,CCL2,CCL4,CCR1,CCR10,CCR9,CXCL16,CXCL5,ELMO1,GNG11,HCK,NFKBIA,PIK3R1,PLCB2,PRKCZ,PTK2B,RASGRP2,SOS2	0.00787708768043403	0	0
36	Amoebiasis	0.0010745506629641654	2.6398721817859045	18.045777362308705	C8B,CD1C,COL4A1,COL4A2,COL4A3,IL10,IL1R1,IL6,ITGB2,LAMA2,LAMA4,PIK3R1,PLCB2,SERPINB6,TLR4,TNF	0.008775497080874018	0	0
37	Cytokine-cytokine receptor interaction	0.0011914482822271274	1.856523492639645	12.499203458791428	ACVRL1,BMP4,CCL11,CCL13,CCL14,CCL15,CCL2,CCL4,CCR1,CCR10,CCR9,CRLF2,CSF1R,CSF3,CSF3R,CXCL16,CXCL5,EPOR,GDF15,IL10,IL12RB1,IL16,IL18RAP,IL1R1,IL5RA,IL6,IL6ST,IL7,TNF,TNFRSF10C,TNFRSF14,TNFSF12,TNFSF13,TNFSF8	0.009467183647966905	0	0
38	Graft-versus-host disease	0.001463345455740731	3.860219507144336	25.195768747788577	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL6,KIR2DL1,TNF	0.011321672736520391	0	0
39	Cardiac muscle contraction	0.0016769800310655135	2.71899014366856	17.376415364029565	ATP1A2,ATP1A4,CACNA1C,CACNA1D,CACNA1S,CACNA2D2,CACNA2D4,CACNB4,CACNG6,COX7A1,MYL3,SLC8A1,SLC8A3,TNNC1	0.01264184946495541	0	0
40	Circadian entrainment	0.0017581154476330033	2.5941842942456885	16.456241307248234	ADCY4,ADCY5,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CAMK2A,FOS,GNG11,GUCY1A1,PER1,PER3,PLCB2,PRKG1,RYR3	0.012922148540102573	0	0
41	Tuberculosis	0.0018879186249798608	2.0818737748752265	13.058095893057912	C3,CAMK2A,CD74,CIITA,CLEC4E,CR1,CTSD,FCER1G,FCGR2C,FCGR3B,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10,IL6,ITGAX,ITGB2,TLR1,TLR4,TNF	0.013537757944977538	0	0
42	Relaxin signaling pathway	0.00214414335551364	2.3013885445078106	14.14206752825924	ADCY4,ADCY5,ARRB1,ARRB2,COL4A1,COL4A2,COL4A3,CREB3L1,EDN1,EDNRB,FOS,GNG11,NFKBIA,PIK3R1,PLCB2,PRKCZ,RXFP1,SOS2	0.01500900348859548	0	0
43	PI3K-Akt signaling pathway	0.002330952058088177	1.7139810519694945	10.3892592723374	ANGPT1,CCND3,CHRM1,COL4A1,COL4A2,COL4A3,COL6A5,CREB3L1,CSF1R,CSF3,CSF3R,EPOR,ERBB4,FGF10,FGF7,FGFR4,FLT3,GNG11,HGF,IL6,IL7,ITGA1,ITGA9,ITGB3,LAMA2,LAMA4,MAGI1,NR4A1,NTRK1,PDGFRA,PIK3R1,PPP2R5B,SOS2,TEK,THBS1,TLR4,TNXB,VWF	0.01593720709483544	0	0
