Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Cell cycle	3.372250849121713e-07	3.293268065719963	49.07797747883954	ANAPC1,BUB1,BUB3,CCNB1,CCNE1,CDC25A,CDC45,CDK1,CDK4,CDK7,CDKN2A,CUL1,DBF4,HDAC1,MCM2,MCM4,MCM5,MCM7,ORC5,ORC6,PKMYT1,PLK1,PRKDC,PTTG1,SMC1A,TFDP1,TP53,TTK,WEE1,YWHAZ	0.00010487700140768527	0	0
2	DNA replication	1.1200316588665564e-06	6.533141801764827	89.51811249894388	DNA2,FEN1,MCM2,MCM4,MCM5,MCM7,POLD1,POLD2,POLE2,RFC2,RFC4,RNASEH1,RNASEH2A,RPA3	0.00012968524500860096	0	0
3	Glutathione metabolism	1.2509830708225172e-06	4.744604942568744	64.4866817213471	G6PD,GCLC,GGCT,GPX2,GSR,GSS,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,IDH1,IDH2,ODC1,PGD,RRM1,RRM2,TXNDC12	0.00012968524500860096	0	0
4	Huntington disease	9.957036307060372e-06	2.0702017291066284	23.84299171741018	ADRM1,AP2M1,ATG101,ATP5MC1,CACNA1B,CLTC,COX5A,COX8A,CREB3L2,CREB5,DNAH17,GPX2,HAP1,HDAC1,KLC3,MAP3K10,NDUFA10,NDUFA12,NDUFA4L2,NDUFA9,NDUFB10,NDUFB5,NDUFC2,NDUFS6,POLR2D,POLR2E,POLR2H,POLR2I,PPIF,PSMA4,PSMB3,PSMB7,PSMC2,PSMC5,PSMD1,PSMD11,PSMD2,PSMD4,RCOR1,SDHA,SDHC,SEM1,TBPL1,TP53,TUBA1C,TUBA3D,TUBA4A,TUBB,TUBB3,VDAC2,VDAC3	0.0007741595728739439	0	0
5	Glycolysis / Gluconeogenesis	1.5894623776409032e-05	3.774240465416936	41.70358186539368	ADH4,ADH7,ALDH3A1,ALDOA,ALDOC,DLD,ENO1,ENO2,GAPDH,GPI,HK2,LDHA,LDHB,PDHA1,PGAM1,PGM2,PKM,TPI1	0.0009886455988926419	0	0
6	Metabolism of xenobiotics by cytochrome P450	2.8350868109992225e-05	3.4252027919260515	35.86479461123081	ADH4,ADH7,AKR1C1,ALDH3A1,CBR1,CBR3,CYP2S1,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.0013501342540479053	0	0
7	Central carbon metabolism in cancer	3.0388873885322627e-05	3.5559084580577793	36.98654716198081	FGFR2,FGFR3,G6PD,HK2,HRAS,IDH1,IDH2,LDHA,LDHB,PDHA1,PGAM1,PIK3CA,PKM,PTEN,SLC1A5,SLC2A1,SLC7A5,TP53	0.0013501342540479053	0	0
8	Homologous recombination	3.557796835313929e-05	4.762267343485617	48.78363791295088	BLM,BRCA1,BRIP1,PALB2,POLD1,POLD2,RAD51,RAD51D,RAD54L,RBBP8,RPA3,SEM1,TOPBP1	0.0013830935197282899	0	0
9	Steroid hormone biosynthesis	6.387050586914644e-05	3.6497677338355303	35.25183959771342	AKR1C1,AKR1C2,AKR1C3,CYP19A1,DHRS11,HSD17B1,HSD17B2,SRD5A1,SRD5A3,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.0021158400207960757	0	0
10	Drug metabolism	6.803344118315356e-05	2.782469720730039	26.699219345464613	ADH4,ADH7,ALDH3A1,CYP2C19,FMO1,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,NME2,NME4,RRM1,RRM2,TK1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1,UMPS	0.0021158400207960757	0	0
11	Prion disease	8.856288183815107e-05	1.983715951649211	18.51163601260527	ADRM1,ATP5MC1,CACNA1B,COX5A,COX8A,CREB3L2,CREB5,CSNK2A1,DDIT3,HSPA1A,KLC3,MAPK12,NDUFA10,NDUFA12,NDUFA4L2,NDUFA9,NDUFB10,NDUFB5,NDUFC2,NDUFS6,PIK3CA,PPIF,PPP3R1,PSMA4,PSMB3,PSMB7,PSMC2,PSMC5,PSMD1,PSMD11,PSMD2,PSMD4,RYR1,SDHA,SDHC,SEM1,STIP1,TUBA1C,TUBA3D,TUBA4A,TUBB,TUBB3,VDAC2,VDAC3	0.0025039142046968167	0	0
