Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	9.55736151187049e-12	2.418915576895237	61.376860958297634	ABCB6,ABCC2,AKR1C1,AKR1C3,ALDH3A1,ARHGAP8,B4GALNT1,BCAT1,BRIP1,CAMKK1,CBR1,CBR3,CCDC138,CDC45,CPLX2,CSTA,CYP4F11,CYP4F3,DBF4,DBF4B,DDC,EIF1AX,EIF2S2,ELAVL1,ESCO2,FECH,FERMT1,G6PD,GCLC,GCNT3,GPC1,GPT2,GPX2,GSR,HJURP,IDE,IDH1,IGFBP3,IMPACT,KRTAP4-1,LRP8,MCM10,MTHFD2,NDUFC2,NEIL3,NFE2L2,NQO1,NR0B1,NRCAM,NT5DC1,OSGIN1,PALLD,PANX2,PARL,PFN2,PGD,PHGDH,PNPLA4,PPIF,PTGR1,PTPRZ1,RIMKLA,RPL22L1,RRM2,SFTPA1,SLC7A11,SPP1,SREBF1,STC2,STXBP5L,STYK1,TALDO1,TKT,TM9SF3,TMEM237,TPD52L1,TRIM29,TSKU,TSPAN7,TXNRD1,UCHL1,UGDH,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,WDHD1,XYLB	1.7872266027197816e-09	0	0
2	CSR LATE UP.V1 UP	1.279458966042397e-07	2.9331602855288774	46.554117923511335	ANLN,BIRC5,CDK1,DCTPP1,DTYMK,EZH2,FABP5,FAM83D,FANCA,FEN1,FOXM1,GINS2,GMNN,HAT1,IGFBP3,IMP4,ITGA6,KIF22,KRT18,MAZ,MT1X,NETO2,NUF2,PBK,PGM2,POLD1,PRMT5,PSMD2,RPF2,RRM2,SNRPA1,TUBA4A,UBE2C,UHRF1,UMPS,WSB2,YEATS4,ZWINT	7.674110665433585e-06	0	0
3	RPS14 DN.V1 DN	1.5208191563408622e-07	2.815687557955599	44.203046884307525	ALAD,ARHGAP11A,BCAT1,CDCA3,COBLL1,DEPDC1,DLGAP5,ECT2,ERCC6L,EXO1,GCDH,GINS2,GPATCH4,IPO4,KIF15,KIF20A,KIF23,KIF2C,KRT13,MCM10,MCM5,MRPS2,MYO19,NCAPH,NLE1,NMU,PBK,PC,PES1,PLK1,POLD1,PRC1,PYCR1,SLC29A2,SLC6A8,SRD5A3,TBRG4,TK1,TLX2,TRIM29	7.674110665433585e-06	0	0
4	RB P107 DN.V1 UP	1.7174942439695925e-07	3.1856257097312484	49.6232220082737	ASF1B,CCNE1,CDC45,CENPH,CENPK,COL1A1,DNA2,FANCA,FEN1,FKBP10,GINS4,GMNN,GSTM2,HAUS8,IPO9,MCM2,MCM5,MCM7,NAA40,NCAPH,ORC6,PAQR4,POLD1,POLE2,PRC1,RFC2,RPA3,RRM1,RRM2,SLBP,STMN1,TCFL5,WDHD1	7.674110665433585e-06	0	0
5	E2F1 UP.V1 UP	2.051901247442135e-07	2.7775855839233685	42.772953815399816	ARHGAP8,AURKB,BUB1,CLN6,CNOT7,DBF4,DCTPP1,DLGAP5,DLX1,DNA2,DNAJC21,ELAVL1,EZH2,FEN1,GRSF1,GRWD1,HMGB3,KIFC1,KPNA1,MCM10,MCM4,NCAPH,PITPNM1,PLK4,PRC1,RRM1,SLBP,SLC9A3R1,SSX2IP,STIL,TAF6,THOP1,TK1,TLX2,TOP2A,TPD52,TYMS,TYRO3,UBE2T,WDHD1	7.674110665433585e-06	0	0
6	VEGF A UP.V1 DN	2.6578274126817994e-06	2.532819074333801	32.51633515417581	ATP13A3,BIRC5,BUB1,CACNA2D1,CCDC86,CCNB1,CCNE1,CDC45,CDKN3,CENPA,DBF4,DLGAP5,EIF2S3,EXO1,HMMR,KIF22,KIF23,LRP8,MCM4,MEST,MRPL19,MT1X,NDC80,NUDT21,PHKA1,PLK4,RFC4,RIF1,RRM2,SERPINB2,SLC30A9,SMC4,SPAG5,TMPO,TTK,TWF1,UCHL3,VRK1	8.283562102858276e-05	0	0
7	PRC2 EZH2 UP.V1 UP	8.71304411743023e-06	2.4175550585868235	28.166182928968187	AURKB,BUB1,CDC25A,CDC45,CDT1,CENPF,DEPDC1,DLGAP5,DNA2,ECT2,EZH2,HELLS,HJURP,HMMR,HOXA10,KIF15,KNTC1,LGALS7,LRP12,MCM10,MCM2,NCAPH,NPAS1,NUP37,PILRB,PITX1,PSPH,PUS7,RAD54L,RFC4,SULF1,TACC3,THBS2,THOP1,TPD52L1,TTK,WDR76	0.0002327627499942076	0	0
8	GCNP SHH UP LATE.V1 UP	1.2603657521720139e-05	2.439957090156976	27.52643326777003	AURKB,CDC25A,CDCA7,CDK1,DLGAP5,DNM1L,ELAVL2,FRMD6,IDH2,KIF2C,KIFC1,MBD2,MCM10,MCM4,MCM5,MYB,NAA30,NPAS1,NUSAP1,PIK3CA,PRC1,PSMC3IP,PSME4,RRM1,RRM2,SFRP1,SIX4,SMC4,SRSF1,SSX2IP,THOP1,TK1,TM9SF3,TOP2A,UNG	0.00029461049457020825	0	0
9	P53 DN.V1 UP	1.9038014072902135e-05	2.350871609403255	25.551794752886057	ADM,AUTS2,CALB1,CD24,CD9,CDH13,CDKN2A,COL17A1,DSC2,IFI27,ITGB4,KLF5,KLK10,KRT15,KRT18,KRT19,LPCAT4,LSR,MEST,MTAP,NDC80,NMU,OLFML2A,PITX1,PLAU,PRDX2,PRSS2,PTK7,RBP1,SULF1,SUN1,THOC1,TUBA4A,UCHL1,UGT8,YAP1	0.00039556762573696657	0	0
10	HOXA9 DN.V1 DN	2.1375752196464716e-05	2.335956873315364	25.1191360811023	ADM,ALDOC,ALOX12,APOBEC3B,ARHGAP11A,BCAT1,CDC45,CDT1,COCH,DHCR7,DLX5,EXOSC5,FANCG,FANCI,FZD6,GINS4,HELLS,HMGCS1,IGFBP2,MCM10,MEX3D,MVD,NME4,PLK4,RNASEH2A,SLC1A5,SLC29A2,SPP1,SREBF1,STAM,TBL1XR1,TEX15,TIPIN,TMEM106C,TMEM45A,ZIC1	0.00039972656607389017	0	0
