Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Malaria	2.383662899923084e-10	12.329690346083789	273.1915701889269	ACKR1,CCL2,CD36,CSF3,HBB,HGF,IL6,ITGB2,KLRC4-KLRK1,PECAM1,SELP,THBS1,TLR4,TNF	6.53123634578925e-08	0	0
2	Hematopoietic cell lineage	1.469577105926093e-09	7.0755408874220755	143.90441068703498	CD33,CD36,CD3E,CSF1R,CSF3,EPOR,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL1R1,IL6,IL7,ITGA1,MME,TNF	2.0133206351187475e-07	0	0
3	Hypertrophic cardiomyopathy	1.679051864031368e-08	6.864153627311522	122.88517724018594	ACE,CACNA1D,CACNA2D2,CACNA2D4,CACNB4,DES,EDN1,IL6,ITGA1,ITGA9,LAMA2,MYL3,SGCA,TNF,TNNC1,TTN	1.533534035815316e-06	0	0
4	Cell adhesion molecules	1.848753276376374e-07	4.6856685245691585	72.64465624016951	CADM1,CDH5,CLDN5,ESAM,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ICAM2,ITGA9,ITGB2,JAM2,NCAM2,NLGN3,PECAM1,PTPRM,SELP	1.2663959943178162e-05	0	0
5	ECM-receptor interaction	5.48462080092263e-07	5.986442179884802	86.30143462354559	CD36,COL4A1,COL4A2,COL4A3,COL6A1,HSPG2,ITGA1,ITGA9,LAMA2,LAMA4,NPNT,THBS1,TNXB,VWF	3.005572198905601e-05	0	0
6	Rheumatoid arthritis	1.0958469492585137e-06	5.606100850798921	76.9380329073467	ANGPT1,CCL2,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL6,ITGB2,TLR4,TNF,TNFSF13	4.5416908450707374e-05	0	0
7	Th17 cell differentiation	1.1602859823173416e-06	5.162775754979653	70.5588510916523	CD3E,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL1R1,IL2RG,IL6,IL6ST,JAK2,RXRG,STAT5B	4.5416908450707374e-05	0	0
8	Complement and coagulation cascades	2.202266751705887e-06	5.704491725768322	74.30684262711637	A2M,C2,C4BPA,C8B,F10,F11,FGG,ITGB2,SERPINA1,SERPING1,TFPI,VSIG4,VWF	7.542763624592663e-05	0	0
9	Leishmaniasis	4.412328386301802e-06	5.825339366515837	71.83288903458264	FCGR2A,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ITGB2,JAK2,TLR4,TNF	0.00012048918267529876	0	0
10	Graft-versus-host disease	4.693160241936564e-06	8.577827050997783	105.24482876338979	FASLG,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL6,TNF	0.00012048918267529876	0	0
11	Inflammatory bowel disease	4.837156968716374e-06	6.420820494229956	78.5855996907163	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL18R1,IL2RG,IL6,TLR4,TNF	0.00012048918267529876	0	0
