Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	1.6199469616217127e-09	4.800665780292504	97.16966362825887	AIF1,AZU1,CACNB4,CCL2,CD300A,CD69,CPM,CTSH,DCN,ENPP2,FRY,HCK,HLA-DMA,HLA-DQB1,ITGB2,MNDA,MS4A6A,PTGDS,PTPN22,SH3BP5,SPTLC3,ST3GAL6,TRIM22,TYROBP,VWF	2.9969018790001687e-07	0	0
2	KRAS.600 UP.V1 UP	1.0760925544843856e-07	3.467621984400508	55.63715965220501	A2M,CCNJL,CSF3,DNM3,DOCK4,DUSP6,ETV1,GNG11,HPN,HSD11B1,ITGB2,KCNK3,LAPTM5,LIMCH1,MGAT4A,NRP1,NTRK3,PCDH9,RNASE1,RTN1,SCN1B,SLCO4A1,ST3GAL6,SYT1,TFPI,TGM2,TLR4,ZEB1	9.953856128980566e-06	0	0
3	ESC J1 UP LATE.V1 UP	5.996802111781428e-07	3.934503950834065	56.369123884334016	CA4,CITED2,COL4A1,COL4A2,CTSH,DAB2,GKN2,GPX3,HLA-DRB1,HNF1B,LMO7,MYL3,PARM1,PARVA,PDGFRA,PODXL,PTPN21,RAMP2,RGL3,SLCO2A1,TGFBR3	3.6980279689318806e-05	0	0
4	ATF2 S UP.V1 DN	2.3986320975204474e-05	3.3757689378405296	35.911520598359076	A2M,ABCA8,ADH1B,C4BPA,CCIN,CCL2,CELF2,DES,FOS,IL1R1,ITIH5,LAMA2,SERPING1,SLIT3,SMAD6,ST3GAL6,SVEP1,TMEM176A	0.0009087017245250175	0	0
5	CSR LATE UP.V1 DN	2.4559506068243717e-05	3.518762584660443	37.34959427703402	ACVRL1,ANKRD29,APOL3,BTBD19,CCL2,CLEC3B,DAAM2,MME,NTN4,PDE5A,PRKG1,SFTPB,SGIP1,SVEP1,TBC1D2B,TNXB,TRIM22	0.0009087017245250175	0	0
6	KRAS.KIDNEY UP.V1 UP	4.923929920845677e-05	3.6464569912845777	36.16854502416492	A2M,ANK2,AQP4,ASPA,DNM3,DUSP6,EPB41L3,ETV1,LIMCH1,PCDH9,PECAM1,RTN1,SCN1B,ST3GAL6,SYT1	0.0012833183058112813	0	0
7	KRAS.300 UP.V1 UP	5.3329596992442085e-05	3.6184334223291845	35.601835519074974	A2M,CSF3,DNM3,DOCK4,DUSP6,ETV1,HPN,HSD11B1,ITGB2,RNASE1,RTN1,SCN1B,ST3GAL6,SYT1,TFPI	0.0012833183058112813	0	0
8	P53 DN.V2 UP	6.241322851541987e-05	3.5636505055742806	34.502313803653145	APOL3,C4BPA,CA3,CD68,CD69,CD83,CLEC1A,CYP17A1,FPR3,HS3ST2,KCNK3,ME3,NCKAP1L,NTRK3,PKD2L1	0.0012833183058112813	0	0
9	CORDENONSI YAP CONSERVED SIGNATURE	6.243170136379206e-05	5.892682926829268	57.04964073813534	AMOTL2,COL4A3,DAB2,ITGB2,PMP22,SLIT2,TGM2,THBS1,TNS1	0.0012833183058112813	0	0
10	CRX DN.V1 DN	7.822558969850569e-05	3.682841530054645	34.82463178925956	CADPS2,COL4A2,CTNNAL1,GLIPR2,GNG11,PPP1R14A,RGL3,RNASE4,RXRG,SERPING1,SOCS3,STEAP4,TGM2,TMEM176A	0.0014471734094223551	0	0
