Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	2.2758556428122846e-12	6.342356283624493	170.03010509278286	CD22,CD33,CD34,CD36,CD37,CD3G,CD5,CD55,CR1,CSF1R,CSF3,CSF3R,EPOR,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL1R1,IL5RA,IL6,IL7,IL7R,ITGA1,ITGB3,MME,TNF	6.645498477011871e-10	0	0
2	Malaria	2.446773478236769e-11	9.802275100291256	239.505514017155	ACKR1,CCL2,CD36,CR1,CSF3,HBA2,HBB,HGF,IL10,IL6,ITGAL,ITGB2,KLRC4-KLRK1,PECAM1,SELE,SELP,THBS1,TLR4,TNF	3.5722892782256827e-09	0	0
3	Hypertrophic cardiomyopathy	5.257283024119476e-11	6.171628029504742	146.0751632129009	ACE,CACNA1C,CACNA1D,CACNA1S,CACNA2D2,CACNA2D4,CACNB4,CACNG6,DES,DMD,EDN1,IL6,ITGA1,ITGA9,ITGB3,LAMA2,LMNA,MYBPC3,MYL3,SGCA,SLC8A1,SLC8A3,TNF,TNNC1,TTN	5.117088810142956e-09	0	0
4	Dilated cardiomyopathy	1.3551403754028622e-09	5.342172797262617	109.08375374928062	ADCY4,CACNA1C,CACNA1D,CACNA1S,CACNA2D2,CACNA2D4,CACNB4,CACNG6,DES,DMD,ITGA1,ITGA9,ITGB3,LAMA2,LMNA,MYBPC3,MYL3,PLN,SGCA,SLC8A1,SLC8A3,TNF,TNNC1,TTN	9.892524740440895e-08	0	0
5	Cell adhesion molecules	4.679769823421958e-08	3.74274678111588	63.167953611302195	CADM1,CD22,CD226,CD34,CDH5,CLDN15,CLDN5,ESAM,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,ICAM2,ITGA9,ITGAL,ITGB2,JAM2,NCAM2,NLGN3,NRXN3,PECAM1,PTPRC,PTPRM,SELE,SELP,SIGLEC1	2.7329855768784237e-06	0	0
6	Arrhythmogenic right ventricular cardiomyopathy	4.5610053728898213e-07	4.867854309412189	71.07336277309594	ACTN2,CACNA1C,CACNA1D,CACNA1S,CACNA2D2,CACNA2D4,CACNB4,CACNG6,DES,DMD,ITGA1,ITGA9,ITGB3,LAMA2,LMNA,SGCA,SLC8A1,SLC8A3	1.9367273856947725e-05	0	0
7	Complement and coagulation cascades	4.6428396232408926e-07	4.595516493727738	67.0153576885989	A2M,C1QB,C2,C3,C4BPA,C8B,CD55,CFD,CFH,CR1,F10,F11,ITGAX,ITGB2,SERPINA1,SERPING1,TFPI,VSIG4,VWF	1.9367273856947725e-05	0	0
8	Staphylococcus aureus infection	6.509909830700301e-07	4.25848252344416	60.66110429019932	C1QB,C2,C3,CFD,CFH,DEFA3,FCGR2A,FCGR2C,FPR2,FPR3,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10,ITGAL,ITGB2,SELP	2.37611708820561e-05	0	0
9	Inflammatory bowel disease	4.862501228687446e-06	4.776825127334465	58.43947605290963	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10,IL12RB1,IL18R1,IL6,NFATC1,RORC,STAT4,TLR4,TNF	0.00015776115097519268	0	0
10	Calcium signaling pathway	6.4869002231980805e-06	2.556221889055472	30.535925680868154	ADCY4,ADORA2A,ADRA1A,ADRB2,AGTR1,CACNA1C,CACNA1D,CACNA1G,CACNA1S,CAMK2A,CHRM1,EDNRB,ERBB4,FGF10,FGF2,FGFR4,HGF,HRH1,MCOLN2,MCOLN3,MYLK,NOS3,NTRK3,P2RX1,P2RX2,PDGFRA,PLCB2,PLCG2,PLN,RYR3,SLC8A1,SLC8A3,TNNC1	0.00018941748651738394	0	0
