Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Cell cycle	9.901943008157318e-09	3.8440521227406474	70.84793655808278	BUB1,BUB3,CCNB1,CCNE1,CDC25A,CDC25C,CDC6,CDK1,CDK4,CDKN2A,CHEK2,DBF4,HDAC1,MCM2,MCM3,MCM4,MCM5,MDM2,ORC4,ORC5,ORC6,PKMYT1,PLK1,PTTG1,RBL1,SKP2,TFDP1,TP53,WEE1,YWHAQ,YWHAZ	3.0398965035042963e-06	0	0
2	DNA replication	4.2118259946611755e-08	8.18708756911004	139.03954356052213	DNA2,FEN1,MCM2,MCM3,MCM4,MCM5,POLA2,POLD1,POLD2,POLE2,RFC2,RFC4,RNASEH2A,RPA1,RPA3	6.465152901804905e-06	0	0
3	Homologous recombination	3.256080115794115e-07	6.610847018150389	98.7500006539581	BLM,BRIP1,NBN,PALB2,POLD1,POLD2,RAD51,RAD51D,RAD54B,RAD54L,RBBP8,RPA1,RPA3,SEM1,TOPBP1	3.3320553184959773e-05	0	0
4	Glutathione metabolism	1.5218213265574352e-06	4.872359375	65.26819039555306	G6PD,GCLC,GGCT,GPX2,GSR,GSS,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,IDH2,MGST1,PGD,RRM1,RRM2,TXNDC12	0.00011679978681328315	0	0
5	Drug metabolism	4.298177532175636e-06	3.282037485427316	40.5571856701607	ADH7,ALDH3A1,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,MGST1,NME1,NME2,NME4,RRM1,RRM2,TK1,TYMP,UCK2,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1,UMPS	0.00026390810047558405	0	0
6	Metabolism of xenobiotics by cytochrome P450	6.931735868345652e-06	3.8226950354609928	45.41132451312775	ADH7,AKR1C1,ALDH3A1,CBR1,CBR3,CYP2S1,GSTM1,GSTM2,GSTM3,GSTM4,GSTP1,MGST1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.0003446664744055681	0	0
7	Central carbon metabolism in cancer	7.85884469328657e-06	3.9683215471207967	46.64313934468248	FGFR2,FGFR3,G6PD,HK2,HRAS,IDH2,LDHA,LDHB,PDHA1,PDHB,PGAM1,PIK3CA,PKM,PTEN,SLC1A5,SLC2A1,SLC7A5,TP53	0.0003446664744055681	0	0
8	Glycolysis / Gluconeogenesis	1.689362291676613e-05	3.8957625	42.808875879048884	ADH7,ALDH3A1,ALDOA,DLD,ENO1,ENO2,GAPDH,GPI,HK2,LDHA,LDHB,PDHA1,PDHB,PGAM1,PGM2,PKM,TPI1	0.0006465273973157046	0	0
9	Steroid hormone biosynthesis	1.895357190827798e-05	4.072565757512666	44.28311769358416	AKR1C1,AKR1C2,AKR1C3,CYP19A1,DHRS11,HSD17B1,HSD17B2,LRTOMT,SRD5A1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.0006465273973157046	0	0
10	Mismatch repair	4.149778480820106e-05	7.343683368869936	74.09681426030575	EXO1,MSH6,PMS2,POLD1,POLD2,RFC2,RFC4,RPA1,RPA3	0.0012739819936117725	0	0
