Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	1.1570164014341978e-11	2.482454021600359	62.514625292752264	ABCB6,ABCC2,AKR1C1,AKR1C3,ALDH3A1,ARHGAP8,B4GALNT1,BCAT1,BRIP1,CAMKK1,CBR1,CBR3,CCDC138,CPLX2,CSTA,CYP4F11,CYP4F3,DBF4,DBF4B,EIF2S2,ELAVL1,ESCO2,FERMT1,G6PD,GCLC,GCNT3,GPC1,GPX2,GSR,HJURP,HTATIP2,IDE,IGFBP3,LRP8,MCM3,MGST1,MTHFD2,NDUFC2,NEIL3,NFE2L2,NQO1,NR0B1,NRCAM,NT5DC1,OSGIN1,PA2G4,PALLD,PANX2,PARL,PFN2,PGD,PHGDH,PNPLA4,PPIF,PTGR1,PTPRZ1,RABL3,RIMKLA,RPL22L1,RRM2,SHMT1,SLC7A11,SPP1,SREBF1,STC2,STXBP5L,TALDO1,TKT,TM9SF3,TMEM237,TPD52L1,TRIM29,TSKU,TXNRD1,UCHL1,UGDH,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,WDHD1,XYLB	2.16362067068195e-09	0	0
2	E2F1 UP.V1 UP	1.3873059004667756e-08	3.1040162061172984	56.161949434564406	ARHGAP8,AURKB,BUB1,CNOT7,DBF4,DCTPP1,DLGAP5,DLX1,DNA2,DNAJC21,ELAVL1,EZH2,FEN1,GRSF1,GRWD1,HMGB3,KIFC1,KLHL21,KPNA1,MCM4,NCAPH,PLK4,POLA2,PRC1,RDH13,RRM1,SLBP,SLC9A3R1,SSX2IP,STIL,TAF6,THOP1,TK1,TLX2,TOP2A,TPD52,TYMS,UBE2T,UCK2,WDHD1	1.297131016936435e-06	0	0
3	CSR LATE UP.V1 UP	3.053099081500502e-08	3.165382090951711	54.77542902280305	ACTL6A,ANLN,BIRC5,CDC6,CDK1,CHEK2,CLSPN,DCTPP1,DTYMK,EZH2,FABP5,FAM83D,FANCA,FEN1,FOXM1,GMNN,IGFBP3,IMP4,ITGA6,KRT18,MAZ,MCM3,NETO2,PA2G4,PBK,PGM2,POLD1,PRMT5,PSMD2,RPF2,RRM2,UBE2C,UHRF1,UMPS,WSB2,YEATS4,ZWINT	1.9030984274686461e-06	0	0
4	RB P107 DN.V1 UP	6.553033425515151e-07	3.1402302801168585	44.71112499986742	BEX2,CCNE1,CCNF,CENPK,COL1A1,DNA2,FANCA,FEN1,FKBP10,GINS4,GMNN,GSTM2,MCM2,MCM5,NAA40,NCAPH,ORC6,PAQR4,POLD1,POLE2,PRC1,RFC2,RPA1,RPA3,RRM1,RRM2,SLBP,SPIRE2,TCFL5,WDHD1	3.063543126428333e-05	0	0
5	RPS14 DN.V1 DN	8.387510277223419e-07	2.749337120022117	38.46694320218353	ALAD,BCAT1,CDC6,CDCA3,DEPDC1,DLGAP5,ECT2,EPCAM,ERCC6L,EXO1,FOXRED2,GPATCH4,IPO4,KIF15,KIF23,KIF2C,KRT13,MCM5,MYO19,NCAPH,NLE1,NMU,PBK,PC,PES1,PLK1,POLD1,PRC1,PYCR1,SHMT1,SLC6A8,TK1,TLX2,TPRA1,TRIM29,ZNF74	3.136928843681559e-05	0	0
6	MTOR UP.V1 UP	1.4858023560011293e-05	2.5654512959619695	28.52004645735498	BACH2,BDH1,CCDC86,CDK1,CYP26A1,DBF4,FABP5,FDPS,GPX2,GSS,HELLS,HMGCS1,HSPE1,IDH3A,KCNE3,KRBA1,LSS,MCM5,MSMO1,MSX2,NEIL3,PPAN,RRM2,SLC2A1,SLC41A3,SQLE,TMEM40,TMEM97,TMPRSS4,UBE2C,UHRF1	0.00042360656162425	0	0
7	HOXA9 DN.V1 DN	1.5856930114276738e-05	2.4309060161733953	26.86613973419426	ADM,APOBEC3B,BCAT1,CDC6,COCH,DLX5,FANCG,FANCI,FZD6,GINS4,HELLS,HMGCS1,IGFBP2,LSS,MEX3D,MSMO1,MVD,NME4,PLK4,RNASEH2A,SHMT1,SLC1A5,SLC2A5,SLC38A1,SPP1,SQLE,SREBF1,STAM,TBL1XR1,TEX15,TMEM106C,TMEM45A,TRIB3,ZIC1	0.00042360656162425	0	0
8	GCNP SHH UP LATE.V1 UP	2.6217393083318858e-05	2.4376877598345414	25.715381498872397	ARIH1,AURKB,CDC25A,CDC25C,CDCA7,CDK1,CLCN5,DLGAP5,ELAVL2,FRMD6,IDH2,KIF2C,KIFC1,MCM4,MCM5,MYB,NAA30,PIK3CA,POLA2,PRC1,PSMC3IP,RRM1,RRM2,SIX4,SMC4,SRSF1,SSX2IP,THOP1,TIMM8A,TK1,TM9SF3,TOP2A	0.0006128315633225784	0	0
9	VEGF A UP.V1 DN	3.163845104732775e-05	2.372786458333333	24.584766448700012	ATIC,ATP13A3,BIRC5,BUB1,CCDC86,CCNB1,CCNE1,CDKN3,CENPA,DBF4,DLGAP5,EIF2S3,EXO1,HMMR,KIF23,LRP8,MCM4,MRPL19,NBN,NDC80,NUDT21,NUP50,PHKA1,PLK4,RFC4,RIF1,RRM2,SLC30A9,SMC4,SPAG5,TWF1,VRK1,YES1	0.0006573767050944765	0	0
10	P53 DN.V1 UP	3.521815315198078e-05	2.357919254658385	24.177983532857017	ADM,AUTS2,CALB1,CD24,CD9,CDH13,CDKN2A,COL17A1,DSC2,EPCAM,ITGB4,KLF5,KLK10,KRT15,KRT18,KRT19,LPCAT4,LSR,MTAP,NDC80,NMU,PITX1,PRDX2,PRSS2,PTK7,RBP1,SCNN1A,SULF1,SUN1,THOC1,UCHL1,UGT8,YES1	0.0006585794639420407	0	0
11	PRC2 EZH2 UP.V1 UP	0.0010209515295035137	2.0040856119692876	13.802178121177818	AURKB,BUB1,CDC25A,CENPF,DEPDC1,DLGAP5,DNA2,ECT2,EZH2,HELLS,HJURP,HMMR,HOXA10,KIF15,KNTC1,LGALS7,LRP12,MCM2,NCAPH,PILRB,PITX1,RAD54L,RFC4,SKP2,SULF1,TACC3,THOP1,TPD52L1,WDR76	0.01726320478215236	0	0
12	E2F3 UP.V1 UP	0.0011077992373573708	1.9919757462405165	13.55615170633712	ANKRD18A,ATRNL1,CCNE1,CHST2,CYP26A1,EEF1A2,ENO2,FANCA,FEN1,FGFR3,HEY1,JPH1,L3MBTL3,MYB,POLE2,RASGRP1,RECQL4,RTN4R,RYR1,SAC3D1,SAMD1,SLC4A3,SLC6A2,SYNGR3,TMEM106C,TMEM201,TMEM97,UGT8,ZDHHC12	0.01726320478215236	0	0
13	RB DN.V1 UP	0.0014616294381021666	2.191064467766117	14.30371453458424	AKR1C3,ARTN,C20ORF27,CCNE1,DNA2,DSN1,MDM2,MSH6,NME4,PMS2,POLE2,RAD54L,RPA1,RRM2,SLBP,SPICE1,SPOCK1,SULF2,TGM1,TNFRSF18,TPRA1,UBE2T	0.021024977301931168	0	0
14	PRC2 EDD UP.V1 UP	0.0018025094876099985	1.9455880389801095	12.293344770731093	BTBD2,CA9,CLSPN,DBF4B,DLK2,ENO2,EXOSC2,FASN,HELLS,IDH2,JUP,KIF23,KLK8,LSS,MCM2,MCM5,MVD,PC,PLK1,PNPLA3,POLA2,POLD1,RAD54L,RANGAP1,RECQL4,TACC3,TRMT2A,VAC14	0.024076376727362122	0	0
15	MYC UP.V1 UP	0.002134640328436797	1.946315414738341	11.968783167266972	ALG3,C20ORF27,CCDC124,CDCA7L,CGREF1,CHCHD10,DCTPP1,FOXRED2,HS3ST3A1,HSPE1,IPO4,JPH1,MTFP1,NLE1,NOP14,PES1,PIGW,POLR1E,PUS1,RPP40,SAC3D1,SHISA9,SLC6A15,TMEM201,TMEM97,TSFM,ZNF593	0.02517839438096249	0	0
16	MTOR UP.N4.V1 UP	0.0022693428709549737	1.9105307321166352	11.631817337252324	ACACA,ADM,ASPHD1,BCAT1,BNIP3,CCDC86,CDK16,CNIH4,CUTC,DDIT3,E2F6,IDH3A,LHX2,LIMA1,LPCAT4,MRPL39,MSMO1,PHGDH,PJA1,PYCR1,RBM28,RIT1,SLC1A5,SLC3A2,SLC7A11,SLC7A5,SREBF1,TRIB3	0.02517839438096249	0	0
17	RB P130 DN.V1 UP	0.0022889449437238627	2.1464990601503757	13.049993686331277	ATP2A1,AURKB,B4GALT4,BIRC5,CDK1,CHCHD6,DCTPP1,EXOSC2,FST,HMGA2,LSM4,POLD2,RAD51D,RUVBL2,SEMA5B,SIM2,SNRPB,SNRPC,TK1,UBE2C,ZNF428	0.02517839438096249	0	0
18	ERB2 UP.V1 DN	0.002446347217396204	1.8991215494095874	11.419720404089562	AGL,CCDC59,CETN3,CPOX,CYP26B1,DBF4,DEPDC1,ECT2,EIF2S3,FLNB,HSPA4L,IGF1R,MRPL19,MYB,NCAPG,NRCAM,PLA2G12A,PLK4,PUS1,RAD51AP1,RAD54B,RASGRP1,RBBP8,RIF1,RNF138,RRN3,STIL,TOPBP1	0.025414829425171676	0	0
19	MEL18 DN.V1 UP	0.004649300015072457	2.0025219298245616	10.755622592661753	ABCC5,ADAM12,ADM,CA12,CDH13,CHST2,CLSPN,COL7A1,DDX11,FZD6,HS3ST3A1,JAG1,KCNN3,LAMB3,PTHLH,SLC1A5,SLC7A11,SLC7A5,SPP1,STC2,TAP1	0.04575890014834471	0	0
