Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Staphylococcus aureus infection	5.7902628682940695e-08	6.673138786764706	111.20454168514527	C2,C3,CFD,CFI,DEFA3,FCGR2C,FCGR3B,FGG,FPR2,FPR3,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10,ITGB2	1.5517904487028105e-05	0	0
2	Hematopoietic cell lineage	3.7973038851049902e-06	5.358527131782946	66.88095197261327	CD1C,CD22,CD33,CD36,CR1,FLT3,GYPA,HLA-DQA1,HLA-DQB1,HLA-DRB1,ITGA1,ITGB3,MME	0.0005088387206040687	0	0
3	Leishmaniasis	5.478882958139879e-05	5.267107087513254	51.680982335947164	C3,CR1,FCGR2C,FCGR3B,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10,ITGB2,NFKBIA	0.004894468775938292	0	0
4	Complement and coagulation cascades	0.00012803240843304217	4.703339404978749	42.15709938080289	C2,C3,C8B,CFD,CFI,CR1,F11,F13A1,FGG,ITGB2	0.008578171365013825	0	0
5	Cell adhesion molecules	0.0002702694435746113	3.404938271604938	27.975283224863396	CD22,CD226,HLA-DQA1,HLA-DQB1,HLA-DRB1,ITGB2,JAM2,NECTIN3,NLGN3,NRXN3,SIGLEC1,SPN,TIGIT	0.014486442175599166	0	0
6	Malaria	0.0004520345828579724	5.720677451971689	44.059238265169576	CD36,CD81,CR1,GYPA,IL10,ITGB2,KLRC4-KLRK1	0.020190878034322766	0	0
7	Tuberculosis	0.0005546409689841453	2.982756714933127	22.362292492123558	C3,CAMK2A,CLEC4E,CR1,CTSD,FCER1G,FCGR2C,FCGR3B,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10,ITGB2,TLR1	0.021234825669678707	0	0
8	Osteoclast differentiation	0.0008819896859607702	3.3440567581172917	23.519855373829945	BTK,CALCR,FCGR2C,FCGR3B,ITGB3,JUNB,LILRA6,NFATC1,NFKBIA,OSCAR,PIK3R1	0.0295466544796858	0	0
9	cAMP signaling pathway	0.0011527981733429643	2.6393766461808603	17.85686923864817	ATP1A4,CACNA1S,CAMK2A,CFTR,CREB3L1,EDN1,FXYD1,NFATC1,NFKBIA,NPY1R,PDE4A,PIK3R1,PPP1R12A,RAPGEF3,VIP	0.03432776782843494	0	0
10	Asthma	0.0015594709498720288	6.739447375728965	43.55980246408373	FCER1G,HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10	0.041793821456570374	0	0
11	B cell receptor signaling pathway	0.0019032349716982474	3.85212440643413	24.130478569410528	BTK,CD22,CD81,LILRA6,NFATC1,NFKBIA,PIK3R1,SOS2	0.04636972476501185	0	0
12	Inflammatory bowel disease	0.0021992915765793124	4.237912293853073	25.934412751698183	HLA-DQA1,HLA-DQB1,HLA-DRB1,IL10,IL12RB1,IL18RAP,NFATC1	0.049117511876937976	0	0
