Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	ERB2 UP.V1 UP	0.00010788294619361976	3.531073446327684	32.25446239460011	ABCG1,ANXA6,CADPS2,DOCK10,ITGB6,KCNN4,KRT7,LMO3,PCDH1,PDE4B,PDE4D,PNRC1,RFTN1,SDCBP	0.006956371493222247	0	0
2	P53 DN.V1 DN	0.00011403887693806963	3.5110547299746284	31.876764571188104	APOC1,CA2,FAS,GLS,GRAMD1B,ITGAL,MGLL,NCALD,NDN,NR4A1,PDE4B,SLC19A2,TFPI2,VIM	0.006956371493222247	0	0
3	RPS14 DN.V1 UP	0.00011403887693806963	3.5110547299746284	31.876764571188104	ANXA3,ANXA6,ARHGEF3,CACNB4,CDC42EP3,CRIM1,FLVCR2,ITGAL,ITGAX,LST1,PDE4D,RBM47,TM6SF1,TNFAIP2	0.006956371493222247	0	0
4	AKT UP.V1 DN	0.000316605295839751	3.3282335843572466	26.818422575266258	AXIN2,CAV2,CSDC2,FAS,HIC1,KCNN4,KLF2,PDE4B,PDLIM3,PDZRN3,SASH1,STAT5A,ZDHHC6	0.013496666888068188	0	0
5	MTOR UP.N4.V1 DN	0.0004288983482103422	3.216296296296296	24.940096194023955	ADORA2A,ANXA5,CLK4,CRBN,DMXL1,ELF2,PLCL1,PNRC1,RYR2,SPRY1,SRGAP2,TPM2,TRAT1	0.013496666888068188	0	0
6	MEK UP.V1 UP	0.0004966851137141623	3.163080208529615	24.063304462761877	ABCG1,CADPS2,CHKA,FLVCR2,IL4R,KCNN4,KRT7,MEF2C,PCDH1,RFTN1,SDCBP,TIMP2,TNS3	0.013496666888068188	0	0
7	ESC V6.5 UP EARLY.V1 DN	0.0005162659465381274	3.3357798165137615	25.248145575097993	ANXA3,ANXA5,B2M,CD37,FGF2,GPCPD1,MGP,MRAS,TAGLN,TFEB,TIMP2,YES1	0.013496666888068188	0	0
8	ATF2 S UP.V1 DN	0.001077818054859269	3.0474967234600263	20.82298620360958	CD302,IL4R,ITPR1,LAMA2,PDE4DIP,PDLIM3,PLN,SDC3,SLC1A3,SLC7A7,SORBS1,WT1	0.022947731505051652	0	0
9	CYCLIN D1 UP.V1 UP	0.0011285769592648354	3.030025020850709	20.56416704837882	EGR1,HBA2,HSPG2,MSLN,MSN,NEK3,PTPN21,SMTN,STAT5A,SYN1,TAGLN,TFPI2	0.022947731505051652	0	0
10	EGFR UP.V1 UP	0.0014130733282148465	2.945562370115059	19.328745754285553	CADPS2,FNDC3B,IL4R,IRF1,ITGB6,KRT7,MGLL,PDE4B,RNF19A,SDCBP,SGMS1,TNS3	0.025512979128703168	0	0
11	GCNP SHH UP EARLY.V1 DN	0.001533567051452103	3.08973727659821	20.021988359936362	ANKRD44,CNN1,CYBA,EGR1,ETS1,MGP,SLC43A3,TERF2IP,UIMC1,WIPF1,WWC2	0.025512979128703168	0	0
12	CAHOY ASTROGLIAL	0.0018366242245764436	3.8458498023715415	24.22818478078405	ATP8A1,C3,CAPS2,CNN1,FAS,MSN,PSTPIP1,TAGLN	0.026867506118408286	0	0
13	CAMP UP.V1 DN	0.0019086206532202608	2.834862385321101	17.75013496230476	ATP8A1,CD160,CD83,DST,GLS,IL4R,KCNN4,MYO15B,PTPRC,TIMP2,UBE2E2,ZFP36	0.026867506118408286	0	0
14	NRL DN.V1 UP	0.003587301657067034	3.135705701935322	17.655136235569334	BBS9,CSDC2,KCNN4,MEF2C,RFX2,STK17B,TAOK3,TNFAIP2,ZDHHC6	0.046514648181637475	0	0
15	LEF1 UP.V1 DN	0.0038126760804620885	2.724301036779464	15.172787449628965	ATP8A1,CLEC2D,CNN3,CXCL5,EFHD1,ERAP2,KCNQ1,MEF2C,RBM47,SH3BGRL,TNS3	0.046514648181637475	0	0
16	KRAS.DF.V1 UP	0.004289515316313948	2.6789800588427592	14.604678214200863	ARHGEF3,BBS9,COL6A3,CXCL5,DPYSL2,FAR2,INPP4B,PITPNC1,SMTN,TFPI2,TLR2	0.04906133143034078	0	0
