Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Parkinson disease	1.588662214186258e-09	3.3651500484027106	68.17919703107417	ATP5F1B,ATP5MC1,CALM1,COX5A,COX7A2,COX7B,COX8A,DDIT3,GNAI1,KLC3,NDUFA1,NDUFA10,NDUFA12,NDUFA13,NDUFA9,NDUFB5,NDUFC2,NDUFS6,NDUFS8,NFE2L2,PSMA1,PSMA2,PSMA4,PSMC6,PSMD11,PSMD12,PSMD2,PSMD4,PSMD8,SDHA,SDHC,SEM1,SEPTIN5,SLC25A6,TUBA1C,TUBA3D,TUBB,UCHL1,VDAC3	4.654780287565736e-07	0	0
2	Huntington disease	7.008404885832969e-09	2.965687089610423	55.68420258218484	AP2M1,ATG13,ATP5F1B,ATP5MC1,CACNA1B,CLTC,COX5A,COX7A2,COX7B,COX8A,DNAH17,GPX2,HAP1,HDAC1,KLC3,NDUFA1,NDUFA10,NDUFA12,NDUFA13,NDUFA9,NDUFB5,NDUFC2,NDUFS6,NDUFS8,POLR2I,PSMA1,PSMA2,PSMA4,PSMC6,PSMD11,PSMD12,PSMD2,PSMD4,PSMD8,SDHA,SDHC,SEM1,SLC25A6,SOD1,TUBA1C,TUBA3D,TUBB,VDAC3	1.02673131577453e-06	0	0
3	Prion disease	2.2177179018963587e-08	3.016134236850597	53.15695919689787	ATP5F1B,ATP5MC1,CACNA1B,COX5A,COX7A2,COX7B,COX8A,CSNK2A1,DDIT3,KLC3,NDUFA1,NDUFA10,NDUFA12,NDUFA13,NDUFA9,NDUFB5,NDUFC2,NDUFS6,NDUFS8,PSMA1,PSMA2,PSMA4,PSMC6,PSMD11,PSMD12,PSMD2,PSMD4,PSMD8,RYR1,SDHA,SDHC,SEM1,SLC25A6,SOD1,STIP1,TUBA1C,TUBA3D,TUBB,VDAC3	2.1659711508521103e-06	0	0
4	Alzheimer disease	3.2989036465542036e-08	2.6495440084835633	45.64393457419398	ATG13,ATP2A1,ATP2A2,ATP5F1B,ATP5MC1,CALM1,COX5A,COX7A2,COX7B,COX8A,CSNK2A1,DDIT3,FZD10,FZD6,GAPDH,HRAS,IDE,KLC3,NDUFA1,NDUFA10,NDUFA12,NDUFA13,NDUFA9,NDUFB5,NDUFC2,NDUFS6,NDUFS8,PSMA1,PSMA2,PSMA4,PSMC6,PSMD11,PSMD12,PSMD2,PSMD4,PSMD8,SDHA,SDHC,SEM1,SLC25A6,TUBA1C,TUBA3D,TUBB,VDAC3,WNT5A,WNT5B,WNT7B	2.1760068181483802e-06	0	0
5	Cell cycle	3.713322215270273e-08	4.31175572519084	73.76876711447734	BUB1,CCNB1,CCNE2,CDC45,CDK4,CDKN2A,CDKN2C,DBF4,ESPL1,GADD45G,HDAC1,MCM2,MCM4,MCM7,MDM2,PKMYT1,PLK1,PRKDC,PTTG1,SMAD4,SMC1A,TTK,WEE1,YWHAZ	2.1760068181483802e-06	0	0
6	Pathways of neurodegeneration	1.5260238532818554e-07	2.3318462450242428	36.59932971234599	ATG13,ATP2A1,ATP2A2,ATP5F1B,ATP5MC1,CACNA1B,CALM1,COX5A,COX7A2,COX7B,COX8A,CSNK2A1,DDIT3,DNAH17,FZD10,FZD6,GPX2,HAP1,HRAS,KLC3,NDUFA1,NDUFA10,NDUFA12,NDUFA13,NDUFA9,NDUFB5,NDUFC2,NDUFS6,NDUFS8,PSMA1,PSMA2,PSMA4,PSMC6,PSMD11,PSMD12,PSMD2,PSMD4,PSMD8,RYR1,SDHA,SDHC,SEM1,SEPTIN5,SLC25A6,SOD1,TARDBP,TUBA1C,TUBA3D,TUBB,UCHL1,VDAC3,WNT5A,WNT5B,WNT7B	7.45208315019306e-06	0	0
7	Amyotrophic lateral sclerosis	4.0168633735146514e-07	2.488910505836576	36.6556641994517	ALYREF,ATG13,ATP5F1B,ATP5MC1,CHCHD10,COX5A,COX7A2,COX7B,COX8A,DDIT3,DNAH17,GPX2,HAP1,HNRNPA1,KLC3,NDUFA1,NDUFA10,NDUFA12,NDUFA13,NDUFA9,NDUFB5,NDUFC2,NDUFS6,NDUFS8,NUP37,NUP93,PSMA1,PSMA2,PSMA4,PSMC6,PSMD11,PSMD12,PSMD2,PSMD4,PSMD8,RAE1,SDHA,SDHC,SEM1,SOD1,TARDBP,TUBA1C,TUBA3D,TUBB	1.6813442406282754e-05	0	0
8	DNA replication	1.7337856390341373e-06	7.839132893496701	103.98769160233468	FEN1,MCM2,MCM4,MCM7,POLA2,POLD2,RFC2,RFC4,RNASEH1,RNASEH2A,RPA3	6.349989902962528e-05	0	0
9	Metabolism of xenobiotics by cytochrome P450	2.1476263572046387e-06	4.764646464646464	62.184103059833234	ADH7,AKR1C1,ALDH3A1,CBR1,CBR3,CYP2S1,GSTM2,GSTM3,GSTM4,GSTP1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9	6.991716918455101e-05	0	0
10	Glutathione metabolism	7.56928213035457e-06	5.26852090308181	62.12330231573579	G6PD,GCLC,GPX2,GSR,GSS,GSTM2,GSTM3,GSTM4,GSTP1,PGD,RRM1,RRM2,TXNDC12	0.00022177996641938892	0	0
