Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Cell adhesion molecules	1.696011723804733e-09	4.700653072104491	94.92962480106534	CADM1,CD2,CD22,CD34,CD6,CDH5,CLDN5,ESAM,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,ICAM2,ITGA9,ITGAL,ITGB2,JAM2,NCAM2,NFASC,NRXN3,PECAM1,PTPRC,PVR,SDC3,SELPLG,SIGLEC1	4.782753061129347e-07	0	0
2	Hypertrophic cardiomyopathy	1.1782781781818972e-08	5.870675666904654	107.17873320067102	ACE,CACNA1D,CACNA2D2,CACNA2D4,CACNB4,CACNG8,DES,DMD,EDN1,ITGA9,ITGB6,LAMA2,RYR2,SGCA,SLC8A1,TNF,TNNC1,TPM2,TTN	1.6613722312364751e-06	0	0
3	Complement and coagulation cascades	1.59070964539205e-07	5.472701149425287	85.66920089255595	A2M,C1QB,C2,C3,C4BPA,CD55,CFH,F10,F11,FGG,ITGAX,ITGB2,SERPINA1,SERPING1,TFPI,VSIG4,VWF	1.3668867918322962e-05	0	0
4	Dilated cardiomyopathy	1.9388465132372995e-07	5.054881827033726	78.12826582990847	CACNA1D,CACNA2D2,CACNA2D4,CACNB4,CACNG8,DES,DMD,ITGA9,ITGB6,LAMA2,PLN,RYR2,SGCA,SLC8A1,TNF,TNNC1,TPM2,TTN	1.3668867918322962e-05	0	0
5	Arrhythmogenic right ventricular cardiomyopathy	1.2069307513769168e-06	5.28567993489198	72.03023326232868	ACTN2,CACNA1D,CACNA2D2,CACNA2D4,CACNB4,CACNG8,DES,DMD,ITGA9,ITGB6,LAMA2,RYR2,SGCA,SLC8A1,TCF7L2	6.183368753024425e-05	0	0
6	Proteoglycans in cancer	1.4392653914676658e-06	3.194181119784063	42.96613674625932	ANK2,ARHGEF1,CAMK2A,CAV1,CAV2,CBL,CD63,DCN,ERBB4,ESR1,FAS,FGF2,HGF,HPSE2,HSPG2,IQGAP1,ITPR1,MRAS,MSN,PIK3R1,PPP1R12A,PPP1R12B,THBS1,TLR2,TLR4,TNF	6.183368753024425e-05	0	0
7	Hematopoietic cell lineage	1.5348787684812403e-06	4.535001401738155	60.710332047734504	CD2,CD22,CD34,CD37,CD55,CSF3R,EPOR,FLT3LG,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,IL1R1,IL4R,IL7,MME,TNF	6.183368753024425e-05	0	0
8	MAPK signaling pathway	7.675201591934606e-06	2.5956344834938347	30.57012665634888	ANGPT1,ARRB1,ARRB2,CACNA1D,CACNA1H,CACNA2D2,CACNA2D4,CACNB4,CACNG8,DUSP6,ERBB4,FAS,FGF2,FGFR4,FLT3LG,FOS,GADD45B,HGF,IL1R1,MAP3K3,MAP3K8,MEF2C,MRAS,NR4A1,PDGFRA,RAPGEF2,RASGRF2,RASGRP2,RPS6KA2,TAOK3,TNF	0.0002705508561156949	0	0
9	Malaria	9.363720824067863e-06	6.14137688795223	71.10896295854721	ACKR1,HBA2,HBB,HGF,ITGAL,ITGB2,PECAM1,THBS1,TLR2,TLR4,TNF	0.000293396585820793	0	0
10	Adrenergic signaling in cardiomyocytes	1.0872587056267697e-05	3.3684677490905863	38.499113531060864	ADRA1A,ADRB2,AGTR1,ATP1A2,CACNA1D,CACNA2D2,CACNA2D4,CACNB4,CACNG8,CAMK2A,KCNQ1,PIK3R5,PLCB2,PLN,RYR2,SCN1B,SCN7A,SLC8A1,TNNC1,TPM2	0.00030660695498674903	0	0
