Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	1.7961861189649339e-09	4.095034357578115	82.4641648731215	ANXA3,ANXA6,ARHGEF3,CACNB4,CD69,CDC42EP3,CPM,CRIM1,CTSH,DCN,FLVCR2,HLA-DMA,ITGAL,ITGAX,ITGB2,LST1,MNDA,PDE4D,PTGDS,PTPN22,PTPRE,RBM47,SH3BP5,SLC31A2,SPTLC3,ST3GAL6,TM6SF1,TNFAIP2,TYROBP,VWF	3.3049824588954785e-07	0	0
2	ERB2 UP.V1 UP	2.6039234419881284e-08	3.789539841590664	66.17924073188408	ABCG1,ANXA6,CADPS2,DAB2,DOCK10,DUSP6,EDN1,EPAS1,FGFR4,IL1R1,ITGB6,KCNN4,KRT7,LIMCH1,LMO3,MGAT4A,MUC1,PAPSS2,PARM1,PCDH1,PDE4B,PDE4D,PNRC1,PTPRE,RFTN1,SDCBP,SERPINA1,VIPR1	2.395609566629078e-06	0	0
3	KRAS.KIDNEY UP.V1 UP	1.0477329033226985e-07	4.143831587735276	66.59745245334194	A2M,ANK2,AQP4,ASPA,ATP1A2,CA2,DNM3,DUSP6,GPM6A,LIMCH1,LMO3,MEF2C,NDN,PCDH9,PECAM1,PLCL1,RTN1,SCN1B,SLC1A3,SORBS1,SPARCL1,ST3GAL6,SYT1	4.909070258929247e-06	0	0
4	EGFR UP.V1 UP	1.2355092988900613e-07	3.583419725413281	57.00006856026404	A2M,CADPS2,CRISPLD2,DUSP6,EDN1,EPAS1,FGG,FNDC3B,IL1R1,IL4R,IRF1,ITGB6,KRT7,MGAT4A,MGLL,PAPSS2,PCDH9,PDE4B,PTPRE,RND1,RNF19A,SDCBP,SGMS1,SLCO2A1,SOCS2,TFPI,TNS3	4.909070258929247e-06	0	0
5	CORDENONSI YAP CONSERVED SIGNATURE	1.333986483404687e-07	7.112070113748368	112.58352821619253	AMOTL2,COL4A3,CRIM1,DAB2,FGF2,GADD45B,GLS,ITGB2,PDLIM2,PMP22,SLIT2,TGM2,THBS1,TNS1	4.909070258929247e-06	0	0
6	ATF2 S UP.V1 DN	2.384346292378046e-07	3.5546706487473037	54.20577934660988	A2M,ABCA8,ADH1B,C4BPA,CD302,CELF2,DES,FOS,IL1R1,IL4R,ITIH5,ITPR1,LAMA2,PDE4DIP,PDLIM3,PLN,SDC3,SERPING1,SLC1A3,SLC7A7,SLIT3,SMAD6,SORBS1,ST3GAL6,SVEP1,WT1	7.3119952966260085e-06	0	0
7	MEK UP.V1 UP	6.044747744398131e-07	3.3648835143813622	48.18145039810692	ABCG1,ARHGDIB,ARRB1,CADPS2,CCNJL,CHKA,EDN1,EPAS1,FHL1,FLVCR2,GPX3,IL4R,KCNN4,KRT7,LIMCH1,MEF2C,PARM1,PCDH1,PCDH9,PPARG,PRKCH,PTPRE,RFTN1,SDCBP,TIMP2,TNS3	1.5889051213846515e-05	0	0
8	P53 DN.V2 UP	2.421002200066241e-06	3.6251932134349256	46.878566027327935	APOL3,C4BPA,CA3,CCL4,CD68,CD69,CD83,CLEC1A,CXCL5,FPR3,HS3ST2,IKZF1,KCNK3,ME3,NTRK3,PCDH1,POU6F1,RFX2,RORC,SYN1,XAF1	5.568305060152354e-05	0	0
9	ESC J1 UP LATE.V1 UP	1.36232155343204e-05	3.001922123015873	33.632740545135135	CA4,CD55,CITED2,COL4A2,CRIM1,CTSH,DAB2,FLVCR2,GADD45B,GPX3,HNF1B,HNF4A,KRT7,LMO7,P2RX4,PARM1,PCDH1,PDGFRA,PODXL,PTH1R,PTPN21,RGL3,SLCO2A1	0.0002482621998953271	0	0
10	P53 DN.V1 DN	1.484176195026412e-05	2.9840017532325223	33.17632723540676	APOC1,CA2,CAPN3,FAS,FBLN5,FGG,GLS,GRAMD1B,IL1R1,ITGAL,MGLL,NAV3,NCALD,NDN,NR4A1,PDE4B,RENBP,SLC19A2,SOCS3,ST3GAL5,ST3GAL6,TFPI2,VIM	0.0002482621998953271	0	0
11	TGFB UP.V1 UP	1.484176195026412e-05	2.9840017532325223	33.17632723540676	ABCG1,CDK17,DACT1,EDN1,GADD45B,HRH1,HS3ST2,ITGB6,JAM2,JMJD1C,KCNN4,LMCD1,PLEKHA1,PMP22,RAPGEF2,RNASE4,SLCO2A1,SMAD6,SMTN,TAGLN,TBC1D2B,TFEB,TRIB1	0.0002482621998953271	0	0
12	RAF UP.V1 UP	2.0763395124047374e-05	2.9143919931492186	31.423904077879442	ARHGEF3,C4ORF19,CCR1,CDC42EP3,CRIM1,CRISPLD2,EPAS1,GJA5,HEG1,HPGD,ITGB6,JAM2,KCNN4,PDE4D,PPARG,PRKCH,SDCBP,SLC31A2,SOCS2,TBC1D2B,TFPI2,TSPAN12,ZNF331	0.0003183720585687264	0	0
13	ATF2 UP.V1 DN	2.996530751979707e-05	2.920693641618497	30.42039776715311	ABCA8,AFF1,ARHGEF3,CD302,CD68,CELF2,CFH,ERAP2,FOS,IL1R1,ITIH5,LIMCH1,PDE4DIP,PDLIM3,PLN,RNASE4,SCRG1,SDC3,SLCO4A1,SLIT3,SMAD6,SVEP1	0.000424124352587897	0	0
14	JNK DN.V1 UP	4.4982441222134184e-05	2.8340428425705544	28.36661027536939	BEAN1,CACNA1H,CCL4,CD37,CD83,EFHD1,ELN,F11,HNF1B,MRAS,PAPSS2,PDE4B,PECAM1,PTPN22,S1PR1,SCN2B,SLC7A7,SLCO2B1,STARD13,SYNE1,TNNC1,UHRF2	0.0005911977989194778	0	0
15	CSR LATE UP.V1 DN	6.788838210717449e-05	2.9162629757785465	27.989258637568028	ACVRL1,ANKRD29,APOL3,BTBD19,CFH,CLEC3B,DENND2A,MME,P2RX4,PDE5A,PRKG1,SFTPB,SGIP1,SNTB1,SVEP1,TBC1D2B,TNXB,TSC22D3,VAMP5,XAF1	0.0008327641538480071	0	0
16	KRAS.600 UP.V1 UP	8.346897471127005e-05	2.372840826857125	22.283432572550595	A2M,ATP1A2,CCNJL,CXCL5,DNM3,DOCK4,DUSP6,GNG11,HPN,ITGB2,KCNK3,LAPTM5,LIMCH1,LMO3,MGAT4A,NAV3,NRP1,NTRK3,PCDH9,RNASE1,RTN1,SCN1B,SLCO4A1,ST3GAL6,SYT1,TFPI,TGM2,TLR4	0.0009598932091796056	0	0
17	AKT UP.V1 DN	8.901557381789049e-05	2.7677940399009433	25.814382504270537	AXIN2,CAV2,CSDC2,FAS,FMO2,HIC1,ITIH5,KCNK3,KCNN4,KLF2,LPL,PDE4B,PDGFRA,PDLIM3,PDZRN3,RORC,SASH1,SLIT3,STAT5A,TSPAN4,ZDHHC6	0.0009634626813230501	0	0
18	LTE2 UP.V1 UP	0.00011184227244600726	2.718231138199161	24.731611164530722	ANXA6,C4ORF19,CD302,DAB2,DPYSL2,EDN1,EPAS1,FGFR4,GPX3,IL1R1,MGAT4A,P2RX4,PCDH9,PNRC1,PRKCH,RFTN1,SASH1,SDCBP,SERPINA1,TNS3,UNC13B	0.0011432765627814076	0	0
19	PTEN DN.V2 UP	0.00020507320722487092	2.944526546250684	25.005342070904913	ANXA3,APOL3,ARHGDIB,BNC2,CHRDL1,COL13A1,DENND2A,GPM6A,HSPB7,IL4R,NAV3,PTGDS,RND1,RTN1,SLC1A3,VAMP5,VPS13C	0.001985972112072434	0	0
20	MEL18 DN.V1 DN	0.0003098488473470016	2.8313942265508465	22.876040041334978	A2M,AK1,APOE,CA2,DMD,EFHD1,EGR1,FOS,IL1R1,PDE4B,PDE5A,PLN,PPARGC1A,SEMA3E,SH3BGRL,SOCS2,STK17B	0.0025952739309758653	0	0
21	ESC V6.5 UP LATE.V1 UP	0.00031030449174711434	2.5704593255987516	20.764058645780395	CA4,CD55,COL4A2,CTSH,CYBA,DAB2,GPX3,HNF1B,HPN,KRT7,LPIN2,PARM1,PDLIM3,PDZRN3,PODXL,PTH1R,RGL3,SLIT3,TNNC1,ZNF521	0.0025952739309758653	0	0
22	IL15 UP.V1 DN	0.00031030449174711434	2.5704593255987516	20.764058645780395	ACTN2,ATP8A1,DACT1,FSTL3,KCNQ1,LRP2BP,LYVE1,MMP19,MYLK,PARP11,PLCL1,PNRC1,PRKG1,PTGDS,SNRPN,SYT1,TNFAIP2,TNS3,TSC22D3,VWF	0.0025952739309758653	0	0
23	ESC J1 UP EARLY.V1 DN	0.0003908066745340274	2.5929363479262673	20.347543073168882	ANXA3,ANXA5,ARHGEF10L,CNN1,DUSP6,EDN1,EGR1,LIMS2,MRAS,NAPSA,PTPN22,RNASE4,SOCS3,TAGLN,TFEB,TRPS1,VWA5A,WSB1,ZFP36	0.003125029094301485	0	0
24	P53 DN.V1 UP	0.00040761249056106325	2.5108380066022353	19.59757677221276	CHKA,CNN3,CNR1,COL13A1,CRIM1,DMD,HDAC9,IGFBP6,IRF1,LAMP3,ME3,MSLN,PODXL,PPARG,RNASE4,SLIT2,SMAD6,UNC13B,VIPR1,YES1	0.003125029094301485	0	0
25	BMI1 DN MEL18 DN.V1 UP	0.0007181821117576811	2.703334846340747	19.568866179151378	ABLIM3,ADRB2,ANXA3,COL13A1,CRISPLD2,EDN1,GAB2,GFPT2,ITGB6,KCNN4,LSAMP,MGLL,PODXL,TAGLN,TNIP3,ZEB2	0.00508327452371291	0	0
26	CYCLIN D1 UP.V1 UP	0.0007182887913942157	2.4536852725438334	17.76134154774543	CA4,CD52,COL4A2,EGR1,FAM189A2,HBA2,HSPG2,MSLN,MSN,NEK3,PTPN21,SELPLG,SGCA,SLC12A4,SMTN,STAT5A,SYN1,TAGLN,TFPI2	0.00508327452371291	0	0
27	KRAS.300 UP.V1 UP	0.0007741554230755326	2.682398657599576	19.21600092508382	A2M,ATP1A2,CXCL5,DNM3,DOCK4,DUSP6,HPN,ITGB2,LMO3,NAV3,RNASE1,RTN1,SCN1B,ST3GAL6,SYT1,TFPI	0.005275725846144371	0	0
28	BMI1 DN MEL18 DN.V1 DN	0.0008338011851633175	2.661782105327736	18.87074568264581	A2M,AK1,APOE,CA2,CTSH,EFHD1,FCGRT,FOS,GPX3,IL1R1,LMO3,PDE4B,PDE5A,PPARGC1A,SEMA3E,SOCS2	0.005329517346001302	0	0
29	CRX DN.V1 DN	0.000896689686446607	2.7456441292113176	19.265637652602997	CADPS2,COL4A2,EGR1,GDAP1L1,GLIPR2,GNG11,MAP3K8,MYOCD,PPP1R14A,RGL3,RNASE4,SERPING1,SOCS3,STEAP4,TGM2	0.005329517346001302	0	0
30	NRL DN.V1 DN	0.000896689686446607	2.7456441292113176	19.265637652602997	ABCC9,ADRB2,ALDH2,ARHGDIB,MFNG,MOXD1,MYOCD,NR4A1,PECAM1,PLEKHH2,QSOX1,RASGRF2,RGL3,RNASE4,SOCS3	0.005329517346001302	0	0
31	PRC1 BMI UP.V1 DN	0.0009268725819132699	2.396446551770065	16.73605049274842	AATK,ACE,AGAP2,CDK17,COL13A1,DMD,EDN1,ERAP2,FOXP1,FPR3,HBA2,HSPB7,IRF8,MCTP1,PTGDS,SDCCAG8,SLC19A2,SLC1A2,SLCO4A1	0.005329517346001302	0	0
32	IL2 UP.V1 UP	0.0009268725819132699	2.396446551770065	16.73605049274842	AATK,ASPA,CD52,CD69,CLDN5,CNKSR2,DUSP6,EGR1,FLT3LG,FOS,GADD45B,HEG1,ITGA9,LMO3,PTH1R,RGS3,SLCO4A1,SOCS2,TRIB1	0.005329517346001302	0	0
33	HOXA9 DN.V1 UP	0.0010493180586219936	2.368808426596445	16.24911332672934	ARHGEF3,CLK4,COL6A3,CRISPLD2,FAS,FCER1G,FCGRT,FNDC3B,FOS,HLA-DMA,IFI30,MNDA,PECAM1,PTPRE,RBM47,SAMHD1,SNX10,ST3GAL6,TYROBP	0.0058507431147408135	0	0
34	PKCA DN.V1 DN	0.0012362206627199797	2.4702758620689655	16.54021721190972	ABI3BP,APOC1,CA3,CFH,COL25A1,DNAH8,FERMT3,ITGB6,KANK2,LPL,PARM1,RFX2,SLC46A2,SLIT3,TLR2,TRIB1,ZEB2	0.0066901353511904784	0	0
35	STK33 UP	0.0014096236057855147	2.039360910066835	13.387247152455334	CCL4,CMTM3,COL6A3,CPEB4,DOCK4,EGR1,FOS,GBP3,GNG11,HAVCR2,IL6ST,NRP1,OLR1,PPP1R15A,RNF19A,RTN1,TFPI,TFPI2,TNF,TRIB1,TYROBP,VSIG4,VWA5A,ZEB2,ZFP36	0.007410592670415277	0	0
36	STK33 NOMO UP	0.0014777095624835413	2.0316718274264916	13.240937562578079	A2M,CADM1,CCL4,COL6A3,CPEB4,DAB2,DOCK4,EPAS1,FOS,GBP3,GNG11,HAVCR2,IL1R1,IL6ST,MAP3K8,NRP1,OLR1,PPP1R15A,RNF19A,STK17B,TM6SF1,VWA5A,YES1,ZEB2,ZFP36	0.007552737763804766	0	0
37	CAHOY ASTROGLIAL	0.0015634075475665847	2.964935064935065	19.156111942424683	ATP8A1,C3,CAPS2,CNN1,FAS,FBLN5,GLIPR2,MSN,PSTPIP1,SERPING1,TAGLN,TBC1D2B	0.007774783479790583	0	0
38	ESC V6.5 UP EARLY.V1 DN	0.0017051278080726625	2.3899592139414163	15.233875377603663	ANXA3,ANXA5,B2M,CAV1,CD37,COL4A2,FGF2,GPCPD1,MGP,MRAS,PMP22,SOCS3,TAGLN,TFEB,TIMP2,WSB1,YES1	0.008256408333825523	0	0
39	LEF1 UP.V1 DN	0.002036648958578763	2.2810099820697407	14.134163138134614	ATP8A1,CLEC2D,CNN3,CTSH,CXCL5,EFHD1,ERAP2,HNF1B,KCNQ1,LIMCH1,MEF2C,OLR1,PAPSS2,RBM47,SELENBP1,SH3BGRL,TNNC1,TNS3	0.009608805343038268	0	0
40	MTOR UP.N4.V1 DN	0.0024189516171499305	2.2415518658556635	13.504052242486411	ADORA2A,ANXA5,CD52,CLK4,CRBN,DMXL1,ELF2,FBLN5,MME,PLCL1,PNRC1,RYR2,S1PR1,SPRY1,SRGAP2,TFPI,TPM2,TRAT1	0.01112717743888968	0	0
41	PRC2 EZH2 UP.V1 DN	0.0025590280522305928	2.228698085573805	13.301154912458454	AATK,ABLIM3,CCNJL,COL13A1,DMD,EDN1,ERAP2,FLVCR2,FPR3,GFPT2,IRF8,MCTP1,PCDH9,PTPRB,SLC19A2,TBXAS1,TRIB1,VWA5A	0.011484418575864125	0	0
42	GCNP SHH UP EARLY.V1 DN	0.00353891065933727	2.2764008014227506	12.847861167818255	AMOTL2,ANKRD44,C4BPA,CITED2,CNN1,CYBA,EGR1,ETS1,IL1R1,MGP,NR5A2,SLC43A3,TERF2IP,UIMC1,WIPF1,WWC2	0.015503799079001374	0	0
43	KRAS.LUNG UP.V1 UP	0.004027365081564524	2.3974168177431427	13.220897734858356	CD48,CXCL5,DOCK4,EGFL7,ETS1,HPN,IKZF1,NAV3,NDNF,NRP1,RNASE1,SDCCAG8,SLCO4A1,ST3GAL6	0.017233376162973775	0	0
44	BMI1 DN.V1 DN	0.004859568217949134	2.3417217375980264	12.47389667403261	CA2,EFHD1,EGR1,FOS,GPX3,IL1R1,LMO3,PDE4B,PDE5A,PPARGC1A,SEMA3E,SH3BGRL,SOCS2,TRPS1	0.01938825229255946	0	0
45	KRAS.600.LUNG.BREAST UP.V1 UP	0.004871598795881366	1.893361285814116	10.08088616606515	A2M,CCR10,CD160,CD37,CLDN5,CXCL5,DOCK4,ETS1,FBP1,GNG11,HDAC9,HIC1,HPN,LPL,MGLL,NAV3,PPP1R15A,RNASE1,SLCO4A1,SLIT2,ST3GAL6,TFPI,TRIM46	0.01938825229255946	0	0
46	KRAS.50 UP.V1 UP	0.004959574944631505	3.700221729490022	19.63498697586735	A2M,CXCL5,DOCK4,HPN,ITGB2,LMO3,ST3GAL6	0.01938825229255946	0	0
47	CYCLIN D1 UP.V1 DN	0.005057804945885077	2.1268529528339277	11.24429445989466	ACAA2,AGER,AKAP6,CASP2,CAV1,ERG,HRH1,ITGB6,MYO1C,PIK3R1,RBMS2,RNASE4,ROS1,SMPD1,SYT1,TPM2,UCP2	0.01938825229255946	0	0
48	PRC2 SUZ12 UP.V1 DN	0.005057804945885077	2.1268529528339277	11.24429445989466	AATK,ACE,CBL,COL13A1,EDN1,ERAP2,FMNL1,GAB2,KCNN4,MCTP1,PAQR6,PTGIR,SEMA3E,SLC15A3,SLCO4A1,STAT5A,ZNF208	0.01938825229255946	0	0
49	KRAS.BREAST UP.V1 DN	0.005165954741918635	2.3237235819277213	12.235950736962236	APOL3,CYP21A2,DPEP2,EGFL7,KCNQ3,MAML3,NDNF,P2RX1,PAQR6,SCN7A,SELENBP1,SERPING1,SLC8A1,TSPAN12	0.01939868719414345	0	0
50	HINATA NFKB IMMU INF	0.00575667700986402	6.655632023695444	34.32572251391469	CD83,IRF1,OLR1,TNFAIP2	0.021184571396299597	0	0
51	GCNP SHH UP LATE.V1 DN	0.006495100335492698	2.1224832684606985	10.69032671952412	ADRB2,AGER,AMOTL2,CD52,CNN1,CX3CL1,EDN1,FCGRT,HSPG2,IKZF1,IL4R,KANK3,PTH1R,S1PR1,SLC11A1,TNNC1	0.023433303171189343	0	0
52	AKT UP MTOR DN.V1 DN	0.007577764223721897	2.0840248320809587	10.175328518544768	CAV2,CHRDL1,FAS,GNG11,HIC1,HPGD,IL7,KCNK3,KCNN4,LPL,MLPH,MYO1G,PDZRN3,RTN1,SASH1,TSPAN4	0.026813627253169787	0	0
53	CAMP UP.V1 DN	0.007929412198930445	2.0212926323723384	9.777348957760069	ATP8A1,CD160,CD83,CELF2,DST,FOSB,GLS,IL4R,KCNN4,MYH10,MYO15B,PTPRC,STXBP1,SVEP1,TIMP2,UBE2E2,ZFP36	0.027528525369871736	0	0
54	KRAS.KIDNEY UP.V1 DN	0.01058967721951375	2.188920227768613	9.954936893289585	ABCA3,ACE,ADAMTSL2,CBL,CLEC3B,CNN1,EFHD1,EGFL7,ETS1,IFI30,ITIH5,RYR2,TYROBP	0.03608334459982463	0	0
55	KRAS.DF.V1 UP	0.012267446665023163	1.9652454805503123	8.648664372842646	ARHGEF3,BBS9,CLDN5,COL6A3,CXCL5,DPYSL2,FAR2,GFPT2,GNG11,INPP4B,NRP1,PDLIM2,PITPNC1,SMTN,TFPI2,TLR2	0.04104018520662294	0	0
56	EIF4E DN	0.013245822564298274	2.4101102242493346	10.4214926788748	C3,CD55,FAS,FNDC3B,IQGAP1,LMO7,MYH10,SORT1,STAT5A,VPS13C	0.04352198842555147	0	0
57	RELA DN.V1 UP	0.015381038817296938	2.075489635213353	8.664380071475032	EGR1,FGF2,FOS,FOSB,GADD45B,LHCGR,LMO7,NFIC,PDE5A,PPP1R15A,PRKG1,SIRPB1,ZFP36	0.049651072673379586	0	0
