Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Dilated cardiomyopathy	1.1130955850919817e-10	6.1080906148867316	139.98953290636007	ADCY4,ADCY5,CACNA1C,CACNA1D,CACNA2D2,CACNA2D4,CACNG6,CACNG8,DES,DMD,ITGA3,ITGA7,ITGA9,ITGB6,LAMA2,MYL3,PLN,PRKACB,SGCA,SLC8A1,SLC8A3,TNF,TNNC1,TTN	3.2391081526176666e-08	0	0
2	Hypertrophic cardiomyopathy	1.0525971739455358e-09	5.918205654354765	122.34117822628212	ACE,CACNA1C,CACNA1D,CACNA2D2,CACNA2D4,CACNG6,CACNG8,DES,DMD,IL6,ITGA3,ITGA7,ITGA9,ITGB6,LAMA2,MYL3,SGCA,SLC8A1,SLC8A3,TNF,TNNC1,TTN	1.5315288880907545e-07	0	0
3	Malaria	2.404031108861102e-08	7.800494981438196	136.84824726144467	ACKR1,CCL2,CSF3,HBA2,HBB,HGF,IL6,ITGAL,PECAM1,SELE,SELP,THBS1,TLR2,TLR4,TNF	2.331910175595269e-06	0	0
4	Arrhythmogenic right ventricular cardiomyopathy	7.239905885835829e-08	5.561906943262875	91.44371549730101	ACTN2,CACNA1C,CACNA1D,CACNA2D2,CACNA2D4,CACNG6,CACNG8,DES,DMD,ITGA3,ITGA7,ITGA9,ITGB6,LAMA2,SGCA,SLC8A1,SLC8A3,TCF7L2	5.267031531945566e-06	0	0
5	Calcium signaling pathway	1.4437960429869978e-07	3.0323624595469254	47.762194865507176	ADCY4,ADORA2A,ADRA1A,ADRB2,AGTR1,CACNA1C,CACNA1D,CACNA1H,CAMK1,CHRM1,EDNRB,ERBB4,FGF10,FGFR4,FLT4,HGF,HRH1,ITPR1,MCOLN2,MYLK,MYLK4,NTRK3,P2RX1,P2RX4,PDE1C,PLCB2,PLN,PPP3CC,PRKACB,PTK2B,SLC8A1,SLC8A3,TNNC1,TPCN1	8.402892970184328e-06	0	0
6	Hematopoietic cell lineage	1.8432170759605846e-07	4.619396224567246	71.63105186775361	CD34,CD37,CD55,CSF1,CSF1R,CSF3,CSF3R,EPOR,FCER2,FLT3LG,HLA-DMA,HLA-DOA,HLA-DPA1,IL1R1,IL5RA,IL6,IL7,ITGA3,THPO,TNF	8.939602818408835e-06	0	0
7	Adrenergic signaling in cardiomyocytes	3.809477197883102e-06	3.3056889954711046	41.24844876021104	ADCY4,ADCY5,ADRA1A,ADRB2,AGTR1,ATP1A2,CACNA1C,CACNA1D,CACNA2D2,CACNA2D4,CACNG6,CACNG8,KCNE1B,KCNQ1,MYL3,PLCB2,PLN,PPP2R5B,PRKACB,SCN7A,SLC8A1,SLC8A3,TNNC1	0.00015836540922628322	0	0
8	MAPK signaling pathway	5.884960434500535e-06	2.478184759833435	29.845053002169387	ANGPT1,ARRB1,ARRB2,CACNA1C,CACNA1D,CACNA1H,CACNA2D2,CACNA2D4,CACNG6,CACNG8,CSF1,CSF1R,ERBB4,FGF10,FGFR4,FLT3LG,FLT4,FOS,HGF,IL1R1,MAP3K3,MAPK8IP1,MEF2C,MRAS,NFATC3,NR4A1,PPP3CC,PRKACB,PTPN5,RAPGEF2,RASGRF2,RASGRP2,RPS6KA2,TEK,TNF	0.00020091513402535418	0	0
9	Vascular smooth muscle contraction	6.213870124495489e-06	3.4185624394966116	40.98421061514841	ACTG2,ADCY4,ADCY5,ADORA2A,ADRA1A,AGTR1,CACNA1C,CACNA1D,ITPR1,KCNMA1,MYH10,MYLK,MYLK4,PLA2G6,PLCB2,PPP1R12B,PPP1R14A,PRKACB,PRKCH,PRKG1,PTGIR	0.00020091513402535418	0	0
10	ECM-receptor interaction	1.2711703429592262e-05	4.040676514664954	45.55049567552641	COL4A2,COL4A3,COL6A3,COL6A5,HSPG2,ITGA3,ITGA7,ITGA9,ITGB6,LAMA2,LAMA4,LAMB2,NPNT,THBS1,TNXB,VWF	0.0003484062689847001	0	0
11	Aldosterone synthesis and secretion	1.3169996422102068e-05	3.818053025703299	42.9056355204079	ADCY4,ADCY5,AGTR1,ATP1A2,CACNA1C,CACNA1D,CACNA1H,CAMK1,CYP21A2,ITPR1,KCNK3,NR4A1,NR4A2,PDE2A,PLCB2,PRKACB,PRKD1	0.0003484062689847001	0	0
12	cGMP-PKG signaling pathway	2.318089571782356e-05	2.9128004095268887	31.085936330141486	ADCY4,ADCY5,ADRA1A,ADRB2,AGTR1,ATP1A2,CACNA1C,CACNA1D,EDNRB,ITPR1,KCNMA1,MEF2C,MYLK,MYLK4,NFATC3,PDE2A,PDE5A,PLCB2,PLN,PPP3CC,PRKG1,SLC8A1,SLC8A3	0.0005621367211572214	0	0
13	Cell adhesion molecules	3.305314971358788e-05	3.0123941428908996	31.08005633592627	CADM1,CD34,CDH5,CLDN5,ESAM,HLA-DMA,HLA-DOA,HLA-DPA1,ICAM2,ITGA9,ITGAL,NCAM1,NCAM2,NFASC,NLGN1,PECAM1,PTPRC,PTPRM,SELE,SELP,SELPLG	0.0007398820435887747	0	0
14	Parathyroid hormone synthesis, secretion and action	3.7823040081125844e-05	3.473383680235771	35.36804927497643	ADCY4,ADCY5,AKAP13,ARRB1,ARRB2,EGR1,FOS,ITPR1,MEF2C,NR4A2,PDE4B,PDE4C,PDE4D,PLCB2,PRKACB,PTH1R,SLC34A2	0.0007861789045434015	0	0
15	Renin secretion	5.53136413469612e-05	4.2124674077123645	41.29267385563312	ACE,ADCY5,ADRB2,AGTR1,AQP1,CACNA1C,CACNA1D,ITPR1,KCNMA1,PDE1C,PLCB2,PPP3CC,PRKACB	0.0010703674997801515	0	0
16	PI3K-Akt signaling pathway	5.885182129375404e-05	2.138016495600036	20.825323541710297	ANGPT1,CCND3,CHRM1,COL4A2,COL4A3,COL6A3,COL6A5,CSF1,CSF1R,CSF3,CSF3R,EPOR,ERBB4,FGF10,FGFR4,FLT3LG,FLT4,GNG11,HGF,IL6,IL7,ITGA3,ITGA7,ITGA9,ITGB6,LAMA2,LAMA4,LAMB2,MAGI1,NR4A1,PPP2R5B,TEK,THBS1,TLR2,TLR4,TNXB,VWF	0.0010703674997801515	0	0
17	Rheumatoid arthritis	9.965509227249227e-05	3.492263270896572	32.17699929949775	ANGPT1,CCL2,CSF1,CXCL5,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,IL6,ITGAL,TEK,TLR2,TLR4,TNF,TNFSF13	0.0017058606971350147	0	0
18	Cortisol synthesis and secretion	0.00013017952498511407	4.105240285372831	36.7279267214864	ADCY4,ADCY5,AGTR1,CACNA1C,CACNA1D,CACNA1H,CYP21A2,ITPR1,KCNK3,NR4A1,PLCB2,PRKACB	0.0021045689872593444	0	0
19	Rap1 signaling pathway	0.0003056576029271761	2.3501409332915753	19.019796393348262	ADCY4,ADCY5,ADORA2A,ANGPT1,ARAP3,CNR1,CSF1,CSF1R,DOCK4,EVL,FGF10,FGFR4,FLT4,HGF,ITGAL,MAGI1,MRAS,PLCB2,PRKD1,RAPGEF2,RASGRP2,TEK,THBS1,TIAM1	0.004639049211585163	0	0
20	Protein digestion and absorption	0.000318834997359805	3.093774608452183	24.907474588222176	ATP1A2,COL13A1,COL24A1,COL25A1,COL4A2,COL4A3,COL6A3,COL6A5,CTRB1,DPP4,ELN,KCNQ1,SLC7A7,SLC8A1,SLC8A3	0.004639049211585163	0	0
21	Complement and coagulation cascades	0.00048513471751112833	3.2735884299284876	24.981028085721203	A2M,C1QB,C4BPA,CD55,CFH,F10,ITGAX,PROS1,SERPINA1,SERPING1,TFPI,VSIG4,VWF	0.0064375039089741804	0	0
22	Oxytocin signaling pathway	0.0004866841443210721	2.5579459652889605	19.511743800587862	ADCY4,ADCY5,CACNA1C,CACNA1D,CACNA2D2,CACNA2D4,CACNG6,CACNG8,CAMK1,FOS,ITPR1,MEF2C,MYLK,MYLK4,NFATC3,PLCB2,PPP1R12B,PPP3CC,PRKACB	0.0064375039089741804	0	0
23	Pertussis	0.0005888604577236773	3.3976727447216892	25.269583930004153	C1QB,C4BPA,CFL2,CXCL5,FOS,IL6,IRF8,NLRP3,NOD1,SERPING1,TLR4,TNF	0.007450364921634352	0	0
24	Pathways in cancer	0.0006662872465504546	1.7370438553428245	12.70437342166426	ADCY4,ADCY5,AGTR1,AXIN2,CBL,CCND3,COL4A2,COL4A3,CSF1R,CSF3R,DAPK2,EDNRB,EPAS1,EPOR,ESR1,ETS1,FGF10,FGFR4,FLT3LG,FLT4,FOS,GNG11,GSTM5,HGF,IL5RA,IL6,IL6ST,IL7,ITGA3,LAMA2,LAMA4,LAMB2,MITF,NCOA1,PLCB2,POLK,PPARG,PRKACB,PTCH2,RARA,RASGRP2,RUNX1T1,SPI1,STAT4,STAT5A,TCF7L2	0.008078732864424263	0	0
25	Amoebiasis	0.0009126373785806692	2.8847465034965034	20.19083675812189	COL4A2,COL4A3,IL1R1,IL6,LAMA2,LAMA4,LAMB2,PLCB2,PRKACB,SERPINB6,TLR2,TLR4,TNF,VCL	0.010318699608630265	0	0
26	Morphine addiction	0.0009411513164536265	3.020813320525136	21.050255562957293	ADCY4,ADCY5,ARRB1,ARRB2,GABBR1,GNG11,PDE1C,PDE2A,PDE4B,PDE4C,PDE4D,PDE7B,PRKACB	0.010318699608630265	0	0
27	Focal adhesion	0.0009574051183265194	2.235037460482439	15.53637999306547	CCND3,COL4A2,COL4A3,COL6A3,COL6A5,FLT4,HGF,ITGA3,ITGA7,ITGA9,ITGB6,LAMA2,LAMA4,LAMB2,MYLK,MYLK4,PIP5K1B,PPP1R12B,THBS1,TNXB,VCL,VWF	0.010318699608630265	0	0
28	Regulation of actin cytoskeleton	0.001224297572020104	2.1451565569897286	14.384107056906213	ACTR3C,CFL2,CHRM1,DIAPH2,FGF10,FGFR4,IQGAP2,ITGA3,ITGA7,ITGA9,ITGAL,ITGAX,ITGB6,MRAS,MYH10,MYLK,MYLK4,PIP5K1B,PPP1R12B,SPATA13,SSH2,TIAM1,VCL	0.012723949766351795	0	0
29	Viral protein interaction with cytokine and cytokine receptor	0.0022589201199111906	2.707023529541665	16.49353812915925	CCL11,CCL14,CCL2,CCR1,CCR10,CSF1,CSF1R,CX3CL1,CXCL5,IL6,IL6ST,TNF,TNFRSF14	0.02264198383027667	0	0
30	Apelin signaling pathway	0.002334225137141925	2.3981273587159033	14.532832348786728	ADCY4,ADCY5,AGTR1,EGR1,GNG11,ITPR1,MEF2C,MRAS,MYL3,MYLK,MYLK4,PLCB2,PPARGC1A,PRKACB,SLC8A1,SLC8A3	0.02264198383027667	0	0
31	Osteoclast differentiation	0.0028231037690716844	2.4277292726522757	14.250572659657381	CSF1,CSF1R,CYBA,FOS,FOSB,GAB2,IL1R1,MITF,PPARG,PPP3CC,SIRPB1,SOCS3,SPI1,TNF,TYROBP	0.025811026768283767	0	0
32	African trypanosomiasis	0.002838325967646325	4.215600127347979	24.722559148253154	HBA2,HBB,IL6,LAMA4,PLCB2,SELE,TNF	0.025811026768283767	0	0
