Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Parkinson disease	7.96689959563848e-09	3.1579893215262405	58.89009148341878	ATP5F1B,ATP5MC1,CALM1,COX5A,COX7A2,COX7B,COX8A,DDIT3,DRD2,GNAI1,HSPA5,KLC3,NDUFA1,NDUFA10,NDUFA4L2,NDUFB5,NDUFC2,NDUFS6,NDUFS7,NFE2L2,PPIF,PSMA4,PSMB7,PSMC6,PSMD12,PSMD2,PSMD4,PSMD8,SDHA,SDHC,SEPTIN5,TUBA1C,TUBA3D,TUBA4A,TUBB,TXN2,UBE2G1,UCHL1,VDAC3	2.3582022803089904e-06	0	0
2	Metabolism of xenobiotics by cytochrome P450	3.2093956874885894e-08	5.612354521038496	96.83892156478183	ADH7,AKR1C1,ALDH3A1,CBR1,CBR3,CYP2C9,GSTM2,GSTM3,GSTM4,GSTP1,GSTT2B,HSD11B1L,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	4.7499056174831124e-06	0	0
3	Drug metabolism	1.439582405405005e-07	4.312095528370423	67.93164291566251	ADH7,ALDH3A1,CYP2C19,CYP2C9,GSTM2,GSTM3,GSTM4,GSTP1,GSTT2B,NME2,RRM1,RRM2,TK1,TYMP,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1,UMPS	1.4203879733329385e-05	0	0
4	Huntington disease	7.658305937929969e-07	2.5517260304044784	35.9341838502455	AP2M1,ATP5F1B,ATP5MC1,CACNA1B,CLTC,COX5A,COX7A2,COX7B,COX8A,GPX2,HAP1,HDAC1,KLC3,NDUFA1,NDUFA10,NDUFA4L2,NDUFB5,NDUFC2,NDUFS6,NDUFS7,POLR2D,POLR2E,POLR2H,POLR2I,PPIF,PSMA4,PSMB7,PSMC6,PSMD12,PSMD2,PSMD4,PSMD8,SDHA,SDHC,TBPL1,TUBA1C,TUBA3D,TUBA4A,TUBB,VDAC3	5.667146394068177e-05	0	0
5	Alzheimer disease	2.7238551886223354e-06	2.2984389969005354	29.45096151007856	APH1A,ATP2A1,ATP2A2,ATP5F1B,ATP5MC1,CALM1,CAPN1,CHRNA7,COX5A,COX7A2,COX7B,COX8A,DDIT3,FZD10,FZD6,GAPDH,HRAS,KLC3,NDUFA1,NDUFA10,NDUFA4L2,NDUFB5,NDUFC2,NDUFS6,NDUFS7,PIK3CA,PPIF,PSMA4,PSMB7,PSMC6,PSMD12,PSMD2,PSMD4,PSMD8,SDHA,SDHC,TUBA1C,TUBA3D,TUBA4A,TUBB,VDAC3,WNT10A,WNT5A,WNT7B	0.00016125222716644225	0	0
6	Glycolysis / Gluconeogenesis	4.001669349793037e-06	4.840801482193097	60.1653483618899	ADH7,ALDH3A1,ALDOA,DLD,ENO1,ENO2,GAPDH,GPI,LDHA,LDHB,PDHA1,PGAM1,PGM2,PKM,TPI1	0.00019741568792312316	0	0
7	Prion disease	5.731234934752381e-06	2.487845274349522	30.027246396000887	ATP5F1B,ATP5MC1,CACNA1B,COX5A,COX7A2,COX7B,COX8A,DDIT3,HSPA5,KLC3,NDUFA1,NDUFA10,NDUFA4L2,NDUFB5,NDUFC2,NDUFS6,NDUFS7,PIK3CA,PPIF,PSMA4,PSMB7,PSMC6,PSMD12,PSMD2,PSMD4,PSMD8,RYR1,SDHA,SDHC,STIP1,TUBA1C,TUBA3D,TUBA4A,TUBB,VDAC3	0.00022689486723249572	0	0
8	Steroid hormone biosynthesis	6.132293708986371e-06	4.995600561307695	59.956906695073066	AKR1C1,AKR1C2,AKR1C3,DHRS11,HSD11B1L,HSD17B1,SRD5A1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT2A1	0.00022689486723249572	0	0
9	Pathways of neurodegeneration	9.563027179899598e-06	2.0442570211285975	23.62671768394929	ATP2A1,ATP2A2,ATP5F1B,ATP5MC1,CACNA1B,CALM1,CAPN1,CHRNA7,COX5A,COX7A2,COX7B,COX8A,DDIT3,FZD10,FZD6,GPX2,HAP1,HRAS,HSPA5,KLC3,NDUFA1,NDUFA10,NDUFA4L2,NDUFB5,NDUFC2,NDUFS6,NDUFS7,PPIF,PSMA4,PSMB7,PSMC6,PSMD12,PSMD2,PSMD4,PSMD8,RYR1,SDHA,SDHC,SEPTIN5,SPTBN2,TARDBP,TUBA1C,TUBA3D,TUBA4A,TUBB,UBE2G1,UCHL1,VDAC3,WNT10A,WNT5A,WNT7B	0.0003145173383611423	0	0
10	Glutathione metabolism	1.4098571183914058e-05	4.951428802719987	55.304672568045106	GCLC,GGCT,GPX2,GSR,GSS,GSTM2,GSTM3,GSTM4,GSTP1,GSTT2B,PGD,RRM1,RRM2	0.00041731770704385614	0	0
