Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	2.462253996681786e-11	2.7421101227339264	66.98250792950266	ABCB6,ABHD4,AKR1C1,AKR1C3,ALDH3A1,ARHGAP8,B4GALNT1,BCAT1,BRIP1,CBR1,CBR3,CDC45,CSTA,CYP4F11,CYP4F3,DBF4,FERMT1,GCLC,GCNT3,GPX2,GSR,HJURP,IGFBP3,LRP8,MCM10,MCM3,METAP2,MPPED2,MTHFD2,NDUFC2,NFE2L2,NQO1,PANX2,PGD,PHGDH,PNPLA4,PPIA,PPIF,PTGR1,PTPRZ1,RNF212,RPL22L1,RRM2,SLC48A1,SLC7A11,SPP1,SREBF1,STC2,STXBP5L,STYK1,TALDO1,TKT,TMEM237,TPD52L1,TRIM29,TSKU,TXNRD1,TXNRD3,UCHL1,UGDH,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9	4.60441497379494e-09	0	0
2	CSR LATE UP.V1 UP	9.588253204450616e-09	3.725252719745836	68.77832438882992	ANLN,BIRC5,CDK1,DTYMK,EZH2,FABP5,FAM83D,FANCA,FEN1,FOXM1,IGFBP3,ILF2,IMP4,ITGA6,KIF22,KRT18,MCM3,NUF2,PBK,PDLIM5,PGM2,PRMT5,PSMD2,RPF2,RRM2,TRIP13,TUBA4A,UBE2C,UHRF1,UMPS,WSB2	8.965016746161327e-07	0	0
3	GCNP SHH UP LATE.V1 UP	4.975104696917533e-06	2.919678157730457	35.65237726087104	AURKB,CDK1,COX7B,DNM1L,FRMD6,HIGD1A,KIF2C,MCM10,MCM4,MCM5,MYB,NAA30,NOP56,PIK3CA,POLA2,PRC1,PSMC3IP,RRM1,RRM2,SIX4,SMC4,SRSF1,TARDBP,THOP1,TK1,TNFSF10,TRIP13	0.0003101148594411929	0	0
4	E2F1 UP.V1 UP	9.16686048935759e-06	2.8106402164111812	32.603189567468554	ARHGAP8,AURKB,BUB1,CSTF2,DBF4,DLX1,EIF6,EZH2,FEN1,GRSF1,HMGB3,KPNA1,MCM10,MCM4,NASP,NCAPH,NOP56,POLA2,PRC1,RRM1,SLBP,SLC9A3R1,THOP1,TK1,TYMS,TYRO3,UBE2T	0.0004285507278774674	0	0
5	RPS14 DN.V1 DN	5.992870175940333e-05	2.5977597759775977	25.256342763257848	ARHGAP11A,BCAT1,COBLL1,ERCC6L,EXO1,FOXRED2,GCDH,GPATCH4,KIF15,KIF23,KIF2C,KRT13,MCM10,MCM5,MSH2,MYO19,NCAPH,PBK,PLK1,PRC1,PYCR1,SLC6A8,TK1,TRIM29,TRIP13	0.0022413334458016845	0	0
6	MTOR UP.V1 UP	9.685028151936191e-05	2.631186167189248	24.318328372888853	BDH1,CDK1,CYP26A1,DBF4,DHCR7,FABP5,GABRG2,GPX2,GSS,HELLS,HMGCS1,HSPE1,IDH3A,KRBA1,MCM5,PPAN,RRM2,SERPINB5,SLC2A1,TMPRSS4,UBE2C,UHRF1,ZNF518B	0.002923825798771032	0	0
7	P53 DN.V1 UP	0.00010944802455292633	2.4892282127621046	22.701912603179505	ANXA1,AUTS2,CALB1,CD24,CD9,CDH13,CDKN2A,COL17A1,DSC2,EGFR,ITGB4,KLF5,KLK10,KRT15,KRT18,KRT19,NDC80,PITX1,PRDX2,SERPINB5,SULF1,TJP2,TUBA4A,UCHL1,UGT8	0.002923825798771032	0	0
8	GCNP SHH UP LATE.V1 DN	0.0005790470068838718	2.3380905847328592	17.428423916118522	ADAM7,ADCY9,B3GAT3,BCL2L2,DLX5,EIF6,EPHB6,ESRP1,GJB6,GRB7,KLK8,KPNA1,MDFI,MRPL3,NDUFA10,PPFIA4,PUS1,S100A11,SLC2A1,UBE2V2,VSNL1,WNK2	0.013535223785910504	0	0
9	RB DN.V1 DN	0.0007777317300325668	2.614023005468513	18.7141276783752	ADAM12,CD9,CDC42SE2,CTSC,DDIT3,DUSP14,EIF4E,HSPA5,IGFBP3,KRT8,LAMB3,MMP13,NDRG1,NKAP,RPS2,STC2,TUBA4A	0.016159537057343333	0	0
10	RB P130 DN.V1 UP	0.0014306563512858895	2.455363471079474	16.081702493020426	ATP2A1,AURKB,B4GALT4,BIRC5,CDK1,FST,HMGA2,KIF22,LSM4,POLD2,POLR2I,RUVBL2,SEMA5B,SNRPB,SNRPC,TK1,UBE2C	0.02493068183343382	0	0
