Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hematopoietic cell lineage	1.2524479609161213e-07	5.491325293087185	87.27360897388859	CD33,CD37,CD3G,CD55,CSF3,CSF3R,EPOR,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,IL1R1,IL4R,IL7,MME,TNF	1.8674077412242528e-05	0	0
2	Cell adhesion molecules	1.3150758741015866e-07	4.393832020997375	69.6167589665907	CADM1,CDH5,CLDN5,ESAM,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,ICAM2,ITGA9,JAM2,NCAM1,NCAM2,NRXN3,PECAM1,PTPRC,SDC3,SELP,SELPLG,SIGLEC1	1.8674077412242528e-05	0	0
3	Hypertrophic cardiomyopathy	1.0204632178772099e-06	5.284848484848485	72.90582666402403	ACE,CACNA1D,CACNA2D2,CACNA2D4,CACNB4,CACNG8,DES,DMD,EDN1,ITGA9,SGCA,TNF,TNNC1,TPM2,TTN	9.660385129237588e-05	0	0
4	Dilated cardiomyopathy	1.1661282299708475e-05	4.503606535377596	51.15753132776286	CACNA1D,CACNA2D2,CACNA2D4,CACNB4,CACNG8,DES,DMD,ITGA9,PLN,SGCA,TNF,TNNC1,TPM2,TTN	0.0006663087911998252	0	0
5	Malaria	1.22946112117603e-05	6.572845417236662	74.31488752600282	ACKR1,CSF3,HBA2,HGF,PECAM1,SELP,THBS1,TLR2,TLR4,TNF	0.0006663087911998252	0	0
6	Complement and coagulation cascades	1.4076946292954053e-05	4.758680555555555	53.15908778249723	A2M,C2,C3,C4BPA,CD55,CFH,F10,ITGAX,SERPINA1,SERPING1,TFPI,VSIG4,VWF	0.0006663087911998252	0	0
7	Proteoglycans in cancer	2.6100411623503326e-05	3.0236639492753623	31.91041731427115	ANK2,CAV1,CAV2,CBL,DCN,ESR1,FASLG,FGF2,HGF,HPSE2,HSPG2,IQGAP1,ITPR1,MRAS,MSN,PPP1R12A,PPP1R12B,THBS1,TLR2,TLR4,TNF	0.0010589309858678492	0	0
8	Vascular smooth muscle contraction	3.38867470534316e-05	3.6106336575302094	37.16239840185145	ADORA2A,ADRA1A,AGTR1,CACNA1D,EDN1,IRAG1,ITPR1,MYH10,MYLK,PLA2G6,PPP1R12A,PPP1R12B,PPP1R14A,PRKCH,PRKG1,PTGIR	0.0012029795203968218	0	0
9	MAPK signaling pathway	0.00010584338478839696	2.4649020788768667	22.562604568129704	ANGPT1,ARRB2,CACNA1D,CACNA2D2,CACNA2D4,CACNB4,CACNG8,DUSP6,FASLG,FGF2,FGFR4,FOS,HGF,IL1R1,MAP3K8,MEF2C,MRAS,NR4A1,PDGFRA,RAPGEF2,RASGRP2,RPS6KA2,STK4,TAOK3,TNF	0.0030372062583056488	0	0
10	Pertussis	0.00010694388233470595	4.449610115911486	40.683703356669035	C2,C3,C4BPA,CXCL5,FOS,IRF1,IRF8,SERPING1,SFTPA2,TLR4,TNF	0.0030372062583056488	0	0
11	Leishmaniasis	0.00012065567099778567	4.381963470319635	39.53657111113161	C3,CYBA,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,TLR2,TLR4,TNF	0.003074346415665953	0	0
12	Inflammatory bowel disease	0.00012990196122532194	4.776520333291879	42.743793364452	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,IL4R,RORC,TLR2,TLR4,TNF	0.003074346415665953	0	0
13	Rheumatoid arthritis	0.00016301187661782012	3.8973733678809124	33.99167257427823	ANGPT1,CXCL5,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,TLR2,TLR4,TNF,TNFSF13	0.003201891741682888	0	0
14	Th17 cell differentiation	0.00016366012319911567	3.6407674772036476	31.739186718699813	CD3G,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,IL1R1,IL4R,IL6ST,RARA,RORC,STAT5A	0.003201891741682888	0	0
15	Phagosome	0.0001691140004409976	3.1031237322515213	26.95043570546446	C3,CLEC7A,CORO1A,CYBA,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,MRC2,MSR1,OLR1,SFTPA2,THBS1,TLR2,TLR4	0.003201891741682888	0	0
16	PI3K-Akt signaling pathway	0.00033955279114257963	2.1893454629558247	17.488231302529968	ANGPT1,CCND3,CHRM1,COL4A1,COL4A2,COL4A3,CSF3,CSF3R,EPOR,FASLG,FGF2,FGFR4,GNG11,HGF,IL4R,IL7,ITGA9,LAMA4,NR4A1,PDGFRA,PHLPP2,PPP2CB,THBS1,TLR2,TLR4,TNXB,VWF	0.005693004022016413	0	0
17	Viral myocarditis	0.00034077840976858806	4.630665380906461	36.97252026622566	CAV1,CD55,DMD,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,SGCA	0.005693004022016413	0	0
18	Allograft rejection	0.00043106445852571684	5.915267645249187	45.83890509204176	FASLG,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,TNF	0.006801239234516866	0	0
19	Regulation of actin cytoskeleton	0.0005076782774411204	2.5204972229568896	19.119641575903184	ACTR3C,CHRM1,DIAPH1,FGF2,FGFR4,IQGAP1,ITGA9,ITGAX,MRAS,MSN,MYH10,MYLK,PDGFRA,PIP5K1B,PPP1R12A,PPP1R12B,SPATA13,SSH1,SSH2	0.007227211228261812	0	0
20	Focal adhesion	0.000511948021161605	2.595197605605061	19.664558271219406	CAV1,CAV2,CCND3,COL4A1,COL4A2,COL4A3,DIAPH1,HGF,ITGA9,LAMA4,MYLK,PDGFRA,PIP5K1B,PPP1R12A,PPP1R12B,THBS1,TNXB,VWF	0.007227211228261812	0	0
21	Arrhythmogenic right ventricular cardiomyopathy	0.0005344064640616129	3.918574024542132	29.523923248707383	ACTN2,CACNA1D,CACNA2D2,CACNA2D4,CACNB4,CACNG8,DES,DMD,ITGA9,SGCA	0.007227211228261812	0	0
22	Staphylococcus aureus infection	0.0007726607671970973	3.4397423352902803	24.648060035012634	C2,C3,CFH,FPR3,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,SELP,SELPLG	0.009974348085635255	0	0
23	Graft-versus-host disease	0.0008105353076517955	5.238147138964577	37.284165708572004	FASLG,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,TNF	0.009990673848066265	0	0
24	Asthma	0.0008442822970196844	6.280489795918367	44.44717478256244	HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,TNF	0.009990673848066265	0	0
25	Type I diabetes mellitus	0.0009376267542534639	5.092378141083863	35.50486807485602	FASLG,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,TNF	0.01065143992831935	0	0
26	Human T-cell leukemia virus 1 infection	0.0013831389505779223	2.360562333560414	15.54052550243541	B2M,CCND3,CD3G,EGR1,ETS1,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,IL1R1,NFATC4,NRP1,SPI1,STAT5A,TNF,ZFP36	0.014673792383443032	0	0
27	Adrenergic signaling in cardiomyocytes	0.0013950436420878938	2.70776357310462	17.80308403486906	ADRA1A,ADRB2,AGTR1,ATP1A2,CACNA1D,CACNA2D2,CACNA2D4,CACNB4,CACNG8,PLN,PPP2CB,SCN7A,TNNC1,TPM2	0.014673792383443032	0	0
28	ECM-receptor interaction	0.0015283611360603253	3.364025395489144	21.810858039369364	COL4A1,COL4A2,COL4A3,HSPG2,ITGA9,LAMA4,NPNT,THBS1,TNXB,VWF	0.015501948665754727	0	0
29	Calcium signaling pathway	0.001600295792378727	2.266968325791855	14.593760023030013	ADORA2A,ADRA1A,ADRB2,AGTR1,CACNA1D,CHRM1,FGF2,FGFR4,HGF,HRH1,HRH2,ITPR1,MYLK,NTRK3,P2RX1,P2RX4,PDGFRA,PLN,TNNC1	0.01567186224260546	0	0
30	Antigen processing and presentation	0.0023301472788892267	3.419458303635068	20.72815374031915	B2M,CD74,CIITA,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,TNF	0.02205872757348468	0	0
31	Tuberculosis	0.0029358553998418743	2.3909341347357875	13.940954556332901	C3,CD74,CIITA,CLEC7A,CORO1A,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,ITGAX,MRC2,TLR2,TLR4,TNF	0.026028590153290104	0	0
32	Toxoplasmosis	0.00295189603182828	2.8582395225823953	16.650124391895588	ALOX5,CIITA,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,LAMA4,TLR2,TLR4,TNF	0.026028590153290104	0	0
33	Nitrogen metabolism	0.0030244488558400476	8.035069408203736	46.611649766965364	CA1,CA2,CA3,CA4	0.026028590153290104	0	0
34	cGMP-PKG signaling pathway	0.003776723766566949	2.404761262597657	13.41591869679835	ADRA1A,ADRB2,AGTR1,ATP1A2,CACNA1D,IRAG1,ITPR1,MEF2C,MYLK,NFATC4,PDE5A,PLN,PPP1R12A,PRKG1	0.031546751461912166	0	0
35	AGE-RAGE signaling pathway in diabetic complications	0.003948662249883683	2.9136646906824746	16.125323011548186	AGER,AGTR1,COL4A1,COL4A2,COL4A3,DIAPH1,EDN1,EGR1,STAT5A,TNF	0.03204057368477045	0	0
36	Chagas disease	0.004550232829251766	2.850026765003271	15.368988429121147	ACE,C3,CD3G,CFLAR,FASLG,FOS,PPP2CB,TLR2,TLR4,TNF	0.03589628120854171	0	0
37	Protein digestion and absorption	0.0048768873248129984	2.8192342203197858	15.007483223410473	ATP1A2,COL13A1,COL25A1,COL4A1,COL4A2,COL4A3,ELN,KCNN4,MME,SLC7A7	0.037282573499504375	0	0
38	Pathways in cancer	0.004988513355567487	1.6968210044913523	8.994198836471575	AGTR1,AXIN2,CBL,CCND3,COL4A1,COL4A2,COL4A3,CSF3R,DAPK2,EDN1,EML4,EPOR,ESR1,ETS1,FASLG,FGF2,FGFR4,FOS,GNG11,GSTM5,HGF,IL4R,IL6ST,IL7,LAMA4,PDGFRA,PPARG,RARA,RASGRP2,SPI1,STAT5A,STK4	0.037282573499504375	0	0
39	Fluid shear stress and atherosclerosis	0.005596843250708738	2.479764103561129	12.858947059245553	ARHGEF2,CAV1,CAV2,CDH5,CYBA,EDN1,FOS,GSTM5,IL1R1,MEF2C,PECAM1,TNF	0.04075649956926363	0	0
40	Th1 and Th2 cell differentiation	0.007038864185753298	2.8406083349792612	14.078931119589141	CD3G,FOS,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DQA1,HLA-DQB1,IL4R,STAT5A	0.04997593571884841	0	0
