Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	4.897020068439039e-08	3.9917371959990633	67.18913553044003	ANXA3,ANXA6,ARHGEF3,CACNB4,CD69,CDC42EP3,CLEC7A,CRIM1,CTSH,DCN,HCK,HLA-DMA,HLA-DQB1,ITGAX,MNDA,PTGDS,PTPN22,SH3BP5,SLC31A2,SPTLC3,ST3GAL6,TNFAIP2,TRIM22,TYROBP,VWF	9.010516925927832e-06	0	0
2	ATF2 S UP.V1 DN	1.1934750343755347e-07	3.9214518571758608	62.51275188124727	A2M,ABCA8,ADH1B,C4BPA,CD302,CELF2,CRELD1,DES,FOS,IL1R1,IL4R,ITIH5,ITPR1,PDE4DIP,PLN,SDC3,SERPING1,SLC7A7,SLIT3,SMAD6,SORBS1,ST3GAL6,SVEP1,TMEM176A	1.0979970316254919e-05	0	0
3	RAF UP.V1 UP	1.0872083423373355e-06	3.53404608176212	48.529157851431535	ARHGEF3,C4ORF19,CAST,CCR1,CDC42EP3,CORO1A,CRIM1,CRISPLD2,FERMT2,GJA5,GRB10,HPGD,JAM2,KCNN4,NEDD4,PPARG,PRKCH,SDCBP,SGCE,SLC31A2,SOCS2,TBC1D2B,ZNF331	6.668211166335658e-05	0	0
4	KRAS.KIDNEY UP.V1 UP	1.7796007409390743e-06	3.996031746031746	52.90394989013803	A2M,ANK2,AQP4,ASPA,ATP1A2,CA2,DNM3,DUSP6,LIMCH1,LMO3,MEF2C,NDN,PCDH9,PECAM1,PLCL1,SORBS1,SPARCL1,ST3GAL6,SYT1	7.765141067987233e-05	0	0
5	CRX DN.V1 DN	2.308019444945813e-06	4.108527686364287	53.32507708710265	CADPS2,COL4A2,EGR1,FMN1,GDAP1L1,GLIPR2,GNG11,MAP3K8,MYOCD,PPP1R14A,RGL3,RNASE4,SERPING1,SOCS3,STEAP4,TECTA,TGM2,TMEM176A	7.765141067987233e-05	0	0
6	ERB2 UP.V1 UP	2.5321112178219237e-06	3.456312597213421	44.53962411102926	ABCG1,ANXA6,CADPS2,CAST,DAB2,DOCK10,DUSP6,EDN1,FGFR4,IL1R1,KCNN4,KRT7,LIMCH1,LMO3,MGAT4A,MUC1,PAPSS2,PARM1,PNRC1,SDCBP,SERPINA1,VIPR1	7.765141067987233e-05	0	0
7	MEK UP.V1 UP	3.8845584030184365e-06	3.356114015315013	41.81215064750071	ABCG1,ARHGDIB,CADPS2,CCNJL,CORO1A,EDN1,FERMT2,GPX3,IL4R,KCNN4,KRT7,LIMCH1,MEF2C,NEDD9,PARM1,PCDH9,PPARG,PRKCH,SDCBP,SGCE,TIMP2,TNS3	0.00010210839230791318	0	0
8	CSR LATE UP.V1 DN	5.192089424317452e-06	3.533795654184004	43.00054841499238	ACVRL1,ANKRD29,APOL3,CFH,CLEC3B,DDX60L,DENND2A,MME,P2RX4,PDE5A,PRKG1,SFTPB,SGIP1,SVEP1,TBC1D2B,TNXB,TRIM22,TSC22D3,VAMP5,XAF1	0.0001194180567593014	0	0
9	EGFR UP.V1 UP	1.0411680801230641e-05	3.2366521317829458	37.13275772569325	A2M,CADPS2,CRISPLD2,DUSP6,EDN1,FERMT2,FNDC3B,IL1R1,IL4R,IRF1,KRT7,MGAT4A,MGLL,PAPSS2,PCDH9,RND1,RNF19A,SDCBP,SOCS2,TFPI,TNS3	0.00021286102971404864	0	0
10	ATF2 UP.V1 DN	2.16309324470905e-05	3.1712441967659686	34.06355868354263	ABCA8,AFF1,ARHGEF3,CD302,CELF2,CFH,FOS,IL1R1,ITIH5,LIMCH1,MFAP4,PDE4DIP,PLN,RNASE4,SCRG1,SDC3,SLCO4A1,SLIT3,SMAD6,SVEP1	0.00039800915702646513	0	0
11	KRAS.600 UP.V1 UP	2.6708932178873655e-05	2.6468826192964126	27.873030534920424	A2M,ATP1A2,CCNJL,CSF3,CXCL5,DNM3,DOCK4,DUSP6,GNG11,HPN,LAPTM5,LIMCH1,LMO3,MGAT4A,NAV3,NRP1,NTRK3,PCDH9,RNASE1,SEMA3A,SLCO4A1,ST3GAL6,SYT1,TFPI,TGM2,TLR4	0.00041816654000118475	0	0
12	ESC V6.5 UP LATE.V1 UP	2.7271730869642483e-05	3.114791547687036	32.7353997992767	CA4,CD55,COL4A1,COL4A2,CTSH,CYBA,DAB2,GPX3,HNF1B,HPN,KRT7,PARM1,PDZRN3,PODXL,RGL3,SGCE,SH3RF1,SLIT3,TNNC1,ZNF521	0.00041816654000118475	0	0
13	JNK DN.V1 UP	3.1729964983618864e-05	3.0782504918878817	31.885285251554	CCL4,CD37,CD83,EFHD1,ELN,HNF1B,MRAS,PAPSS2,PECAM1,PTPN22,S1PR1,SCN2B,SCNN1B,SLC7A7,SLCO2B1,STARD13,SYNE1,TBX2,TNNC1,UHRF2	0.000449101042845067	0	0
14	MEL18 DN.V1 DN	3.552357862354843e-05	3.4285352789844374	35.12642013457419	A2M,AK1,APOE,CA2,DMD,EFHD1,EGR1,FOS,IL1R1,PDE5A,PLN,PPARGC1A,SH3BGRL,SOCS2,STK17B,TMEM176A,UNC5C	0.0004668813190523507	0	0
15	ESC J1 UP EARLY.V1 DN	3.8309046891956086e-05	3.1412828947368423	31.946295676451765	ANXA3,ANXA5,ARHGEF10L,CNN1,DUSP6,EDN1,EGR1,LIMS2,MRAS,NAPSA,PTPN22,RNASE4,SOCS3,STK4,TAGLN,TRPS1,VWA5A,WSB1,ZFP36	0.00046992430854132805	0	0
16	CORDENONSI YAP CONSERVED SIGNATURE	4.0908535537886195e-05	5.591873562883837	56.50125129651627	COL4A3,CRIM1,DAB2,FGF2,GLS,PDLIM2,PMP22,TGM2,THBS1,TNS1	0.00047044815868569126	0	0
17	LTE2 UP.V1 UP	8.636424901891282e-05	2.9375192366882117	27.48618170632685	ANXA6,C4ORF19,CD302,DAB2,DPYSL2,EDN1,FERMT2,FGFR4,GPX3,IL1R1,MGAT4A,P2RX4,PCDH9,PNRC1,PRKCH,SASH1,SDCBP,SERPINA1,TNS3	0.0008828345455266643	0	0
18	IL15 UP.V1 DN	8.636424901891282e-05	2.9375192366882117	27.48618170632685	ACTN2,ATP8A1,FASLG,FSTL3,LRP2BP,MMP19,MYLK,PARP11,PLCL1,PNRC1,PRKG1,PTGDS,SELP,SNRPN,SYT1,TNFAIP2,TNS3,TSC22D3,VWF	0.0008828345455266643	0	0
19	ESC J1 UP LATE.V1 UP	9.265402846054871e-05	2.920287637698898	27.119654514446278	CA4,CD55,CITED2,COL4A1,COL4A2,CRIM1,CTSH,DAB2,GPX3,HNF1B,HNF4A,KRT7,P2RX4,PARM1,PDGFRA,PODXL,PTPN21,RGL3,SGCE	0.0008972811177232086	0	0
20	TGFB UP.V1 UP	9.934513665162398e-05	2.903255247946456	26.759043900433248	ABCG1,EDN1,FERMT2,HRH1,HS3ST2,JAM2,JMJD1C,KCNN4,LMCD1,NFATC4,PLEKHA1,PMP22,RAPGEF2,RNASE4,SLC7A6,SMAD6,TAGLN,TBC1D2B,TRIB1	0.0009139752571949405	0	0
21	BMI1 DN MEL18 DN.V1 DN	0.00011415772751682718	3.222405896288497	29.252773518270917	A2M,AK1,APOE,CA2,CTSH,EFHD1,FCGRT,FOS,GPX3,IL1R1,LMO3,PDE5A,PPARGC1A,SOCS2,TMEM176A,UNC5C	0.0010002391363379145	0	0
22	P53 DN.V2 UP	0.00012368917831954797	3.197826541274817	28.773207836292332	APOL3,C4BPA,CA3,CCL4,CD69,CD83,CLEC1A,CXCL5,FPR3,HS3ST2,IKZF1,NTRK3,POU6F1,RORC,SYN1,XAF1	0.001034491309581674	0	0
23	PTEN DN.V2 UP	0.0002779120034156308	3.0880358987603307	25.28547416355741	ANO2,ANXA3,APOL3,ARHGDIB,BNC2,CHRDL1,COL13A1,DENND2A,HSPB7,IL4R,NAV3,PTGDS,RND1,VAMP5,VPS13C	0.0022232960273250463	0	0
24	KRAS.300 UP.V1 UP	0.000348207029073551	3.0168443631316637	24.022266866923953	A2M,ATP1A2,CSF3,CXCL5,DNM3,DOCK4,DUSP6,HPN,LMO3,NAV3,RNASE1,SEMA3A,ST3GAL6,SYT1,TFPI	0.0026695872228972243	0	0
25	KRAS.600.LUNG.BREAST UP.V1 UP	0.00048330858930315245	2.29601093183371	17.529711018408168	A2M,ANO2,CD160,CD37,CLDN5,CSF3,CXCL5,DOCK4,ETS1,GNG11,HDAC9,HPN,LPL,MGLL,NAV3,NCAM1,PPP1R15A,RNASE1,SEMA3A,SLCO4A1,ST3GAL6,TFPI,TRIM46	0.003557151217271202	0	0
26	ESC V6.5 UP EARLY.V1 DN	0.0006811884156011315	2.7024580017683464	19.705436302739155	ANXA3,ANXA5,B2M,CAV1,CD37,COL4A1,COL4A2,FGF2,GPCPD1,MGP,MRAS,PMP22,SOCS3,TAGLN,TIMP2,WSB1	0.004820718018100315	0	0
27	MTOR UP.N4.V1 DN	0.0008719028637366336	2.5459175665494724	17.93556290440238	ADORA2A,ANXA5,BIN2,CD52,CLK4,CRBN,DMXL1,ELF2,FBLN5,GIMAP6,MME,PLCL1,PNRC1,S1PR1,SPRY1,TFPI,TPM2	0.005941856552871873	0	0
28	PRC2 EZH2 UP.V1 DN	0.0009235681554989732	2.5314011923713204	17.687573381926356	AATK,ABLIM3,CCNJL,COL13A1,DMD,EDN1,FPR3,GFPT2,IRF8,MCTP1,PCDH9,PTPRB,SEMA3A,SLC14A1,TBXAS1,TRIB1,VWA5A	0.006069162164707538	0	0
29	CAHOY ASTROGLIAL	0.0011865500852035326	3.245651839310451	21.864999851826084	ATP8A1,C3,CAPS2,CNN1,FBLN5,GLIPR2,MSN,PSTPIP1,SERPING1,TAGLN,TBC1D2B	0.007528455713015517	0	0
30	PKCA DN.V1 DN	0.0014109176510165918	2.597188995215311	17.04668884990415	ABI3BP,APOC1,CA3,CFH,CLEC7A,COL25A1,FERMT3,LPL,PARM1,SLC14A1,SLC46A2,SLIT3,TLR2,TRIB1,ZEB2	0.008653628259568431	0	0
31	ESC J1 UP LATE.V1 DN	0.0015643971360298078	2.478085192697769	16.009061626620895	ACACB,CORO1A,EDN1,EGR1,GFPT2,HCK,JAM2,MRAS,NAPSA,NXF1,RASGRP2,RNPC3,SOCS2,SOCS3,STK4,TRPS1	0.009285453968693052	0	0
32	CYCLIN D1 UP.V1 UP	0.001747081680610112	2.4490136327185246	15.550767567295305	CA4,CD52,COL4A2,EGR1,FAM189A2,HBA2,HSPG2,MSLN,MSN,NEK3,PTPN21,SELPLG,SGCA,STAT5A,SYN1,TAGLN	0.010045719663508144	0	0
33	P53 DN.V1 DN	0.002166387669106434	2.3928526645768025	14.67941928421597	APOC1,CA2,CAPN3,FBLN5,GLS,GRAMD1B,IL1R1,MGLL,NAV3,NCALD,NDN,NR4A1,SOCS3,ST3GAL6,TRIM22,VIM	0.011670728972212049	0	0
34	IL2 UP.V1 UP	0.002166387669106434	2.3928526645768025	14.67941928421597	AATK,ASPA,CD52,CD69,CLDN5,CNKSR2,DUSP6,EGR1,FOS,ITGA9,LMO3,MEGF6,RGS3,SLCO4A1,SOCS2,TRIB1	0.011670728972212049	0	0
35	KRAS.LUNG UP.V1 UP	0.002271556796835547	2.6689453125	16.246643761609693	CD48,CSF3,CXCL5,DOCK4,ETS1,HPN,IKZF1,NAV3,NRP1,RNASE1,SDCCAG8,SLCO4A1,ST3GAL6	0.011670728972212049	0	0
36	KRAS.DF.V1 UP	0.002283403494563227	2.3792090395480225	14.470559196936982	ARHGEF3,BBS9,CLDN5,CORO1A,CSF3,CXCL5,DPYSL2,FAR2,GFPT2,GNG11,INPP4B,NRP1,PDLIM2,PITPNC1,STK4,TLR2	0.011670728972212049	0	0
37	BMI1 DN.V1 DN	0.0027341749877525267	2.607415485278081	15.388772041860324	CA2,EFHD1,EGR1,FOS,GPX3,IL1R1,LMO3,PDE5A,PPARGC1A,SH3BGRL,SOCS2,TMEM176A,TRPS1	0.013596978317472024	0	0
38	HINATA NFKB IMMU INF	0.0030244488558400476	8.035069408203736	46.611649766965364	CD83,IRF1,OLR1,TNFAIP2	0.014644699723014968	0	0
39	CAMP UP.V1 DN	0.0032587436115205284	2.287856071964018	13.101210018097404	ATP8A1,CD160,CD83,CELF2,DST,FOSB,GLS,IL4R,KCNN4,MYH10,MYO15B,PTPRC,STXBP1,SVEP1,TIMP2,ZFP36	0.015374585244096852	0	0
40	NRL DN.V1 DN	0.0041787003604611414	2.582068407205019	14.143938126206795	ABCC9,ADRB2,ALDH2,ARHGDIB,MOXD1,MYOCD,NR4A1,PECAM1,PLEKHH2,RGL3,RNASE4,SOCS3	0.01922202165812125	0	0
41	LEF1 UP.V1 DN	0.004869665048514927	2.2531286894923257	11.997302203466694	ATP8A1,CTSH,CXCL5,EFHD1,HCFC1R1,HNF1B,LIMCH1,MEF2C,OLR1,PAPSS2,SELENBP1,SH3BGRL,SLC24A1,TNNC1,TNS3	0.021854106559188943	0	0
42	CYCLIN D1 UP.V1 DN	0.005109601512858438	2.2402094290007515	11.82076492573976	ACAA2,AGER,ALOX5,CASP2,CAV1,CHRM1,ERG,HRH1,NEDD4,RBMS2,RNASE4,ROS1,SYT1,TPM2,UCP2	0.022384920913475066	0	0
43	BMI1 DN MEL18 DN.V1 UP	0.007776080205638396	2.367152449023794	11.49655615768108	ABLIM3,ADRB2,ANXA3,COL13A1,CRISPLD2,EDN1,GFPT2,KCNN4,MGLL,PODXL,TAGLN,ZEB2	0.03251815358721511	0	0
44	KRAS.LUNG.BREAST UP.V1 UP	0.007776080205638396	2.367152449023794	11.49655615768108	A2M,CD37,CSF3,CXCL5,DOCK4,ETS1,HPN,MGLL,NAV3,RNASE1,SLCO4A1,ST3GAL6	0.03251815358721511	0	0
45	SNF5 DN.V1 DN	0.008151347358930857	2.2596972563859983	10.868176755107783	CACNB4,CELF4,DES,ESR1,GPX3,LMOD1,MYLK,NNMT,OLR1,RPS6KA2,SH3RF1,SYTL2,TMEM176A	0.0327285198125554	0	0
46	KRAS.50 UP.V1 UP	0.008271352829750663	3.73508260447036	17.909561228862277	A2M,CXCL5,DOCK4,HPN,LMO3,ST3GAL6	0.0327285198125554	0	0
47	RAPA EARLY UP.V1 UP	0.008360002343424478	2.1752683883675314	10.407129092714932	ARHGEF15,CYP4A11,HPGD,HSPB6,NUCB1,PARM1,PDE5A,PIP5K1B,PTGIR,SCN2B,SSH1,TIMP2,TNFAIP2,VSIG4	0.0327285198125554	0	0
48	AKT UP.V1 DN	0.0100102323089022	2.124527911839772	9.781639827751329	AXIN2,CAV2,FMO2,ITIH5,KCNN4,LPL,NCAM1,PDGFRA,PDZRN3,RORC,SASH1,SLIT3,STAT5A,TSPAN4	0.0383725571841251	0	0
49	GCNP SHH UP EARLY.V1 DN	0.010350362980271347	2.186698717948718	9.994817498538767	ANKRD44,C4BPA,CITED2,CNN1,CYBA,EGR1,ETS1,IL1R1,MGP,NR5A2,SLC43A3,TMEM176A,WWC2	0.038866669150406694	0	0
50	PRC1 BMI UP.V1 DN	0.012420776761811688	2.0643092283201705	9.058982957711498	AATK,ACE,COL13A1,DMD,EDN1,FOXP1,FPR3,HBA2,HSPB7,IRF8,MCTP1,PTGDS,SDCCAG8,SLCO4A1	0.04570845848346702	0	0
51	STK33 UP	0.013327128202909997	1.8233768728390318	7.8732567443450385	CCL4,DOCK4,EGR1,FOS,GNG11,IL6ST,NME7,NRP1,OLR1,PPP1R15A,RNF19A,TFPI,TNF,TRIB1,TYROBP,VSIG4,VWA5A,ZEB2,ZFP36	0.04600802042652107	0	0
52	P53 DN.V1 UP	0.013502353820826837	2.0411584899893014	8.786965326761372	CNR1,COL13A1,CRIM1,DMD,ELF4,HDAC9,IGFBP6,IRF1,MSLN,PODXL,PPARG,RNASE4,SMAD6,VIPR1	0.04600802042652107	0	0
53	RAF UP.V1 DN	0.013502353820826837	2.0411584899893014	8.786965326761372	B3GALNT1,CAV1,FOS,INPP4B,JMJD1C,MGP,MYLK,PMP22,SELENBP1,SH3BGRL,SYTL2,TFPI,TRPS1,TSC22D3	0.04600802042652107	0	0
54	HOXA9 DN.V1 UP	0.013502353820826837	2.0411584899893014	8.786965326761372	ARHGEF3,CLK4,CRISPLD2,FCGRT,FNDC3B,FOS,HLA-DMA,MNDA,PECAM1,SAMHD1,SNX10,ST3GAL6,TRIM22,TYROBP	0.04600802042652107	0	0
55	STK33 NOMO UP	0.013772796413971394	1.8166507177033493	7.7844571548854145	A2M,CADM1,CCL4,CLEC7A,DAB2,DOCK4,FOS,GNG11,IL1R1,IL6ST,MAP3K8,NRP1,OLR1,PPP1R15A,RNF19A,STK17B,VWA5A,ZEB2,ZFP36	0.04607626436674066	0	0
56	PRC2 EZH2 UP.V1 UP	0.014069735131407059	2.0297749777713605	8.65441090932433	AFF3,AGTR1,CACNA2D2,CORO1A,ETS1,FCN3,HCFC1R1,LMOD1,OXNAD1,PEAK1,PLN,PTGDS,RNF19A,SYN1	0.04622912971748033	0	0
