Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Dilated cardiomyopathy	8.2410197386233e-09	5.675498269483232	105.64452926730861	ADCY4,CACNA1C,CACNA1D,CACNA2D2,CACNA2D4,CACNG8,DES,DMD,ITGA3,ITGA7,ITGA9,ITGB6,ITGB7,LAMA2,MYL3,PLN,SGCA,SLC8A3,TNNC1,TTN	2.1905339557961043e-06	0	0
2	Hypertrophic cardiomyopathy	1.5426295463352847e-08	5.7664013526231	103.72136992801634	CACNA1C,CACNA1D,CACNA2D2,CACNA2D4,CACNG8,DES,DMD,IL6,ITGA3,ITGA7,ITGA9,ITGB6,ITGB7,LAMA2,MYL3,SGCA,SLC8A3,TNNC1,TTN	2.1905339557961043e-06	0	0
3	Arrhythmogenic right ventricular cardiomyopathy	4.351828121528569e-08	6.09502824858757	103.3112452411137	ACTN2,CACNA1C,CACNA1D,CACNA2D2,CACNA2D4,CACNG8,DES,DMD,ITGA3,ITGA7,ITGA9,ITGB6,ITGB7,LAMA2,SGCA,SLC8A3,TCF7L2	4.119730621713712e-06	0	0
4	ECM-receptor interaction	8.420260131208506e-06	4.407267841423298	51.498351058293636	COL4A1,COL4A2,COL4A3,HSPG2,ITGA3,ITGA7,ITGA9,ITGB6,ITGB7,LAMA2,LAMA4,NPNT,THBS1,TNXB,VWF	0.0005978384693158039	0	0
5	Cell adhesion molecules	1.1328931414309228e-05	3.3606150793650795	38.27119131156906	CADM1,CD34,CDH5,CLDN5,ESAM,HLA-DMA,HLA-DOA,HLA-DPA1,ICAM2,ITGA9,ITGB7,JAM2,NCAM1,NCAM2,PECAM1,PTPRC,PTPRM,SELE,SELP,SELPLG	0.0006434833043327641	0	0
6	Hematopoietic cell lineage	3.6018078401398105e-05	3.827911096794975	39.165232453096394	CD34,CD37,CD55,CSF1R,CSF3,CSF3R,EPOR,HLA-DMA,HLA-DOA,HLA-DPA1,IL1R1,IL5RA,IL6,IL7,ITGA3	0.0017048557109995105	0	0
7	Malaria	6.577494856748069e-05	5.341367713004484	51.433479959209485	ACKR1,CSF3,HBA2,HGF,IL6,PECAM1,SELE,SELP,THBS1,TLR4	0.002668583627594931	0	0
8	Complement and coagulation cascades	0.00010657099323809941	3.8641732283464565	35.34443014438786	A2M,C1QA,C1QB,C4BPA,CD55,CFH,F10,ITGAX,PLAT,SERPING1,TFPI,VSIG4,VWF	0.003783270259952529	0	0
9	Transcriptional misregulation in cancer	0.0011278634270965756	2.353871130342566	15.976736017016037	AFF1,CSF1R,ERG,ETV1,FLI1,HPGD,ID2,IL6,ITGB7,JMJD1C,MEF2C,MEIS1,MITF,NFKBIZ,PLAT,PPARG,RARA,RUNX1T1,SPI1	0.035051130032639	0	0
10	Adrenergic signaling in cardiomyocytes	0.0012341947194591198	2.5557090394528488	17.116443613739463	ADCY4,ADRA1A,ADRB2,AGTR1,ATP1A2,CACNA1C,CACNA1D,CACNA2D2,CACNA2D4,CACNG8,KCNE1B,MYL3,PLN,SCN7A,SLC8A3,TNNC1	0.035051130032639	0	0
11	Pathways in cancer	0.0019959708949706563	1.7089986716784897	10.624203325360858	ADCY4,AGTR1,ALK,AXIN2,CCND3,COL4A1,COL4A2,COL4A3,CSF1R,CSF3R,DAPK2,EDNRB,EPAS1,EPOR,ESR1,ETS1,FGFR4,FOS,GNG11,GSTM5,HGF,IL5RA,IL6,IL6ST,IL7,ITGA3,LAMA2,LAMA4,MITF,MMP2,PPARG,PTCH2,RARA,RASGRP2,RUNX1T1,SPI1,STAT4,STAT5A,TCF7L2	0.046478216156683454	0	0
12	Regulation of actin cytoskeleton	0.002120517848450261	2.1645021645021645	13.324880848462996	ACTR3C,CFL2,CHRM1,DIAPH2,FGFR4,IQGAP1,IQGAP2,ITGA3,ITGA7,ITGA9,ITGAX,ITGB6,ITGB7,MRAS,MYH10,MYLK,SPATA13,SSH2,TIAM1,VCL	0.046478216156683454	0	0
13	Pertussis	0.0021275239790031156	3.232776192417448	19.89061380471486	C1QA,C1QB,C4BPA,CFL2,CXCL5,FOS,IL6,NOD1,SERPING1,TLR4	0.046478216156683454	0	0
14	Cortisol synthesis and secretion	0.002453616910832798	3.4270116781314988	20.596998353220147	ADCY4,AGTR1,CACNA1C,CACNA1D,CACNA1G,CYP21A2,ITPR1,KCNK3,NR4A1	0.049773371619751046	0	0
