Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	ATF2 S UP.V1 DN	1.3924884718393507e-09	4.150572664056565	84.63919756984055	A2M,ABCA8,ADH1B,C4BPA,CD302,CELF2,CRELD1,CRIP2,DES,DGKD,EFEMP1,FBLN2,FOS,IL1R1,ITIH5,ITPR1,KLHL28,LAMA2,NFIB,PDE4DIP,PDLIM3,PLN,SERPINA3,SERPING1,SLIT3,SMAD6,SORBS1,ST3GAL6,SVEP1,TAF1C	2.576103672902799e-07	0	0
2	ATF2 UP.V1 DN	3.289512290369724e-07	3.491037749227148	52.111964469256556	ABCA8,AFF1,CD302,CD68,CELF2,CFH,DGKD,EFEMP1,FBLN2,FOS,FRY,IL1R1,ITIH5,LIMCH1,MFAP4,NFIB,PDE4DIP,PDLIM3,PLN,RNASE4,SERPINA3,SLCO4A1,SLIT3,SMAD6,SVEP1,TAF1C	3.0427988685919947e-05	0	0
3	KRAS.KIDNEY UP.V1 UP	2.2521927841292825e-06	3.6473765149573434	47.4290480299889	A2M,ANK2,ASPA,ATP1A2,DNM3,EPB41L3,ETV1,LIMCH1,LMO3,MEF2C,NDN,PCDH9,PECAM1,PLCL1,RTN1,SOBP,SORBS1,SPARCL1,ST3GAL6,SYT1,VIPR2	0.00013888522168797242	0	0
4	KRAS.600 UP.V1 UP	6.563733873740172e-06	2.619573407003444	31.261860493736755	A2M,ACOX2,ATP1A2,CCNJL,CSF3,CTNND2,CXCL5,DNM3,DOCK4,ETV1,GNG11,HPN,KCNK3,LAPTM5,LIMCH1,LMO3,MGAT4A,NAV3,NRP1,NTRK3,PCDH9,PLAT,RBP4,RTN1,SEMA3A,SLCO4A1,ST3GAL6,SYT1,TFPI,TGM2,TLR4	0.00030357269166048296	0	0
5	MEL18 DN.V1 DN	1.1328931414309228e-05	3.3606150793650795	38.27119131156906	A2M,AK1,ATXN3,DMD,EFHD1,EGR1,EPB41L3,FOS,ID2,IFIT2,IL1R1,PDE5A,PDE7B,PIK3C2B,PLN,PPARGC1A,RBP4,SH3BGRL,SOCS2,UNC5C	0.00041917046232944145	0	0
6	RAF UP.V1 UP	2.699606098321186e-05	2.862389604582191	30.11182224254582	C4ORF19,CAST,CCR1,CRIM1,CRISPLD2,EPAS1,GJA5,GRB10,HEG1,HPGD,ITGB6,JAM2,KCNN4,PDE4D,PPARG,PRKCH,RCAN1,SDCBP,SGCE,SOCS2,TBC1D2B,TLE2,ZNF331	0.0008323785469823656	0	0
7	LTE2 UP.V1 UP	4.9167643099960016e-05	2.8169642857142856	27.945059848155257	ACOX2,ACTG2,ANXA6,C4ORF19,CD302,DAB2,DIAPH2,DPYSL2,EPAS1,FGFR4,GPX3,IL1R1,MGAT4A,P2RX4,PCDH9,PLAGL1,PNRC1,PRKCH,RCAN1,SASH1,SDCBP,UNC13B	0.0011370017466865753	0	0
8	ESC V6.5 UP LATE.V1 UP	4.9167643099960016e-05	2.8169642857142856	27.945059848155257	CA4,CD55,COL4A1,COL4A2,CTSH,CYBA,DAB2,GPX3,HNF1B,HPN,KRT7,LGMN,MYL3,MYLIP,PARM1,PDLIM3,PLAGL1,RBP4,RGL3,SGCE,SLIT3,TNNC1	0.0011370017466865753	0	0
9	CRX DN.V1 DN	0.00011255259597338741	3.116297262059974	28.333654942203747	CADPS2,COL4A2,EGR1,GDAP1L1,GLIPR2,GNG11,MYOCD,PLAT,PPP1R14A,RBP4,RGL3,RNASE4,SERPINA3,SERPING1,SOCS3,STEAP4,TGM2	0.0021026083801628922	0	0
10	BMI1 DN MEL18 DN.V1 DN	0.000113654507035832	2.9941597390297803	27.193998775133	A2M,ACOX2,AK1,CTSH,EFHD1,FCGRT,FOS,GPX3,ID2,IL1R1,ITGA7,LMO3,PDE5A,PDE7B,PPARGC1A,RBP4,SOCS2,UNC5C	0.0021026083801628922	0	0
