Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Glycolysis / Gluconeogenesis	6.297524546339684e-08	6.047577756833176	100.2720088461468	ADH7,ALDH3A1,ALDOA,DLD,ENO1,ENO2,GAPDH,GPI,LDHA,LDHB,PDHA1,PDHB,PGAM1,PGM1,PGM2,PKM,TPI1	1.901852412994585e-05	0	0
2	RNA transport	2.4123739414713744e-07	3.3042387958201016	50.34828694106983	ALYREF,CLNS1A,EEF1A2,EIF1AY,EIF2B5,EIF2S2,EIF3J,EIF4A2,EIF4E,EIF4G1,EIF5,NCBP2,NUP205,NUP50,NUP54,NUP62,NUP93,PABPC1,PAIP1,PRMT5,RAE1,RAN,RANGAP1,RNPS1,RPP40,SENP2,STRAP,TACC3,TARDBP	2.6566761034435905e-05	0	0
3	Drug metabolism	2.6390822219638315e-07	4.301210321991322	65.15329063236712	ADH7,ALDH3A1,CYP2C9,GSTM2,GSTM3,GSTM4,GSTP1,NME1,NME2,NME4,RRM2,TK1,TYMP,UCK2,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UMPS	2.6566761034435905e-05	0	0
4	Metabolism of xenobiotics by cytochrome P450	2.308649566227351e-06	4.736220966729442	61.470691111020614	ADH7,AKR1C1,ALDH3A1,CBR1,CBR3,CYP2C9,GSTM2,GSTM3,GSTM4,GSTP1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9	0.00016958904882066463	0	0
5	Cell cycle	2.807765708951401e-06	3.6299749244518744	46.40241054574287	ANAPC10,CCNB1,CDC45,CDK1,CDK4,CDKN2A,DBF4,E2F3,HDAC1,MCM3,MCM4,MCM5,MDM2,ORC4,ORC6,PKMYT1,PLK1,PTTG1,TFDP1,WEE1,YWHAZ	0.00016958904882066463	0	0
6	Huntington disease	3.7373969281269697e-06	2.464605451578229	30.8004730321124	ADRM1,AP2M1,AP2S1,ATP5F1B,ATP5MC1,CACNA1B,COX5A,COX7A2,COX7B,COX8A,GPX2,HAP1,HDAC1,NDUFA1,NDUFA10,NDUFA9,NDUFB5,NDUFS6,NDUFS7,PLCB1,POLR2D,POLR2E,POLR2H,POLR2I,PSMA4,PSMC3,PSMD2,PSMD4,PSMD8,SDHA,SDHC,SEM1,SOD1,TBPL1,TUBA1C,TUBB,VDAC3	0.00018811564538239082	0	0
7	Parkinson disease	4.668431813173532e-06	2.6370372981117445	32.368808345766	ADRM1,ATP5F1B,ATP5MC1,CALM1,COX5A,COX7A2,COX7B,COX8A,DDIT3,DRD2,GNAI1,HSPA5,NDUFA1,NDUFA10,NDUFA9,NDUFB5,NDUFS6,NDUFS7,NFE2L2,PSMA4,PSMC3,PSMD2,PSMD4,PSMD8,SDHA,SDHC,SEM1,SEPTIN5,TUBA1C,TUBB,UCHL1,VDAC3	0.00020140948679691525	0	0
8	Pyrimidine metabolism	6.524914614867622e-06	5.359253193580085	63.988854441026135	CTPS1,DTYMK,ENTPD3,NME1,NME2,NME4,NT5M,RRM2,TK1,TYMP,TYMS,UCK2,UMPS	0.0002463155267112527	0	0
9	Retinol metabolism	1.2876742620695345e-05	4.597465886939571	51.76786941292533	ADH7,ALDH1A1,CYP26A1,CYP2C9,DGAT1,DHRS4,PNPLA4,RDH10,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9	0.0004320862523833327	0	0
10	Amyotrophic lateral sclerosis	1.572124787660268e-05	2.2119936249672922	24.46574972151022	ACTG1,ADRM1,ALYREF,ATP5F1B,ATP5MC1,CHCHD10,COX5A,COX7A2,COX7B,COX8A,DDIT3,DERL1,GPX2,HAP1,HNRNPA1,HSPA5,NDUFA1,NDUFA10,NDUFA9,NDUFB5,NDUFS6,NDUFS7,NUP205,NUP50,NUP54,NUP62,NUP93,PSMA4,PSMC3,PSMD2,PSMD4,PSMD8,RAE1,SDHA,SDHC,SEM1,SOD1,TARDBP,TUBA1C,TUBB	0.00047478168587340095	0	0
11	Prion disease	3.096289763945573e-05	2.3713811953063635	24.621389147264235	ADRM1,ATP5F1B,ATP5MC1,CACNA1B,COX5A,COX7A2,COX7B,COX8A,CSNK2A1,DDIT3,HSPA5,NDUFA1,NDUFA10,NDUFA9,NDUFB5,NDUFS6,NDUFS7,PIK3CA,PSMA4,PSMC3,PSMD2,PSMD4,PSMD8,RYR1,SDHA,SDHC,SEM1,SOD1,STIP1,TUBA1C,TUBB,VDAC3	0.0008500722806468755	0	0
12	Alzheimer disease	4.7863878904240306e-05	2.114760696473882	21.035840660484705	ADRM1,APH1A,ATP2A1,ATP2A2,ATP5F1B,ATP5MC1,CALM1,CHRNA7,COX5A,COX7A2,COX7B,COX8A,CSNK2A1,DDIT3,FZD10,FZD6,GAPDH,HRAS,NDUFA1,NDUFA10,NDUFA9,NDUFB5,NDUFS6,NDUFS7,PIK3CA,PLCB1,PSMA4,PSMC3,PSMD2,PSMD4,PSMD8,SDHA,SDHC,SEM1,TUBA1C,TUBB,VDAC3,WNT5A,WNT7B	0.0012045742857567144	0	0
13	Steroid hormone biosynthesis	8.480265662684124e-05	4.335796607573611	40.64888962768714	AKR1C1,AKR1C2,AKR1C3,DHRS11,HSD17B1,SRD5A1,UGT1A1,UGT1A3,UGT1A5,UGT1A6,UGT1A7,UGT1A9	0.001951974593787398	0	0
