Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	MEL18 DN.V1 UP	9.528976277961196e-08	8.30401691331924	134.24558946062783	TGFBR3,EDN1,ABLIM3,SLCO4A1,STC2,GFPT2,SLCO2A1,LTBP4,ADM,IL7R,CHST2,VEGFA	1.6294549435313646e-05	0	0
2	ESC J1 UP LATE.V1 UP	8.174435482979858e-05	4.874570703299985	45.8790392940877	TGFBR3,APP,GADD45B,COL4A1,SLCO2A1,CA4,GPC3,PTPN21,PHLDA1,CRYAB	0.004866293440041003	0	0
3	TGFB UP.V1 UP	8.537356912352637e-05	4.8475398475398475	45.41405102619316	IL1RL1,CYP26B1,EDN1,GADD45B,SLCO2A1,LTBP2,JUNB,LMCD1,CRYAB,SSBP3	0.004866293440041003	0	0
4	BMI1 DN.V1 UP	0.0003248856801587761	5.043422404933196	40.508956325699884	EDN1,FES,SLCO4A1,STC2,GFPT2,SLCO2A1,LTBP4,IL7R	0.013888862826787678	0	0
5	IL21 UP.V1 UP	0.00043597905759741866	4.29557418600117	33.23879372135161	TRMU,CDH5,NDRG4,ST6GALNAC2,SPINT1,NOS2,HEG1,FAM107A,FOSB	0.01491048376983172	0	0
6	CTIP DN.V1 DN	0.0013103379364896636	4.558474295190713	30.25673732940535	ANO1,EDN1,DDAH2,ABI3BP,EPB41L3,GZMB,CX3CL1	0.031718839993382174	0	0
7	BMI1 DN MEL18 DN.V1 UP	0.0015395468022410346	4.425442834138487	28.660350228508314	EDN1,ABLIM3,STC2,GFPT2,ADM,IL7R,VEGFA	0.031718839993382174	0	0
8	ATF2 UP.V1 DN	0.00156708309501156	3.908419792498005	25.242682787470947	ITIH5,SERPINA3,ST6GALNAC2,PER3,SLCO4A1,SVEP1,HMG20A,SLIT3	0.031718839993382174	0	0
9	E2F1 UP.V1 DN	0.0019112040524485049	3.7805019305019303	23.666024657101268	SERPINA3,IL1RL1,NDRG4,TNXB,LAMA4,PHLDA1,SASH1,TGM2	0.031718839993382174	0	0
10	LEF1 UP.V1 UP	0.002038282627566019	3.739686783804431	23.169781726978638	ANO1,STC2,FBXO17,GZMB,LTBP2,GNG11,CHST2,TGM2	0.031718839993382174	0	0
11	KRAS.600.LUNG.BREAST UP.V1 UP	0.002040393215948561	3.158014129237151	19.56267454791789	HSD11B1,ANO1,CLDN5,IL1RL1,SAMD14,SLCO4A1,DNAH9,SLIT2,GNG11,CHST2	0.031718839993382174	0	0
