Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Vascular smooth muscle contraction	5.854932682100715e-07	6.316318407960199	90.64429264526005	PPP1R14A,EDN1,RAMP2,ADCY4,ADM,CACNA1C,ADCY8,ADRA1A,ACTG2,MYLK,AGTR1,MYH10,PRKG1	0.00013817641129757686	0	0
2	ECM-receptor interaction	3.0298784466844373e-06	7.424518282506448	94.34326513627526	TNXB,VWF,COL4A2,COL4A1,LAMA4,LAMA3,COL6A6,CD36,NPNT,HSPG2	0.0003575256567087636	0	0
3	Calcium signaling pathway	5.1258999568698475e-06	4.179862306368331	50.915757314246186	MCOLN3,CHRM1,NOS2,TNNC1,NTRK3,ADCY4,ADRB2,CACNA1C,ADCY8,ADRA1A,MYLK,EDNRB,AGTR1,FGFR4,FGF10,FGFR1	0.00040323746327376134	0	0
4	Pathways in cancer	2.1758628948714457e-05	2.7971363868799766	30.02865808926531	EDN1,WNT2B,GADD45B,NOS2,EPAS1,LAMA4,PTCH2,LAMA3,ADCY4,IL5RA,FOS,ADCY8,PTGS2,GNG11,RASGRP1,EDNRB,COL4A2,COL4A1,AGTR1,FGFR4,IL7R,RUNX1T1,FGF10,FGFR1	0.001283759107974153	0	0
5	Relaxin signaling pathway	8.802572842932849e-05	4.856297548605241	45.34753063795419	EDN1,EDNRB,COL4A2,NOS2,COL4A1,ADCY4,FOS,ADCY8,RXFP1,GNG11	0.004154814381864305	0	0
6	Adrenergic signaling in cardiomyocytes	0.00030376872081940335	4.12341504649197	33.39654429805219	TNNC1,AGTR1,ADCY4,SCN7A,PPP2R5D,ATP1A2,ADRB2,CACNA1C,ADCY8,ADRA1A	0.011948236352229866	0	0
7	Regulation of lipolysis in adipocytes	0.00037571160303612774	7.018617973505192	55.35365521624046	FABP4,ADCY4,ADRB2,ADCY8,PTGS2,PRKG1	0.012666848330932307	0	0
8	PI3K-Akt signaling pathway	0.0005109425154409403	2.753831895629857	20.871989946159342	CSF3,CHRM1,TNXB,VWF,LAMA4,LAMA3,PPP2R5D,GNG11,COL4A2,COL4A1,COL6A6,TEK,FGFR4,IL7R,FGF10,FGFR1	0.015072804205507738	0	0
9	cGMP-PKG signaling pathway	0.0007081658040569564	3.6737270568725737	26.6449262784508	EDNRB,AGTR1,ADCY4,ATP1A2,ADRB2,CACNA1C,ADCY8,ADRA1A,PRKG1,MYLK	0.01856968108416019	0	0
10	Hypertrophic cardiomyopathy	0.0009865781007282496	4.839875631558492	33.49807665269147	EDN1,ACE,DES,TNNC1,DMD,CACNA1C,TTN	0.023283243177186694	0	0
11	Small cell lung cancer	0.001123184319595738	4.7255131964809385	32.09373628667009	COL4A2,GADD45B,NOS2,COL4A1,LAMA4,LAMA3,PTGS2	0.02409740903859947	0	0
12	Dilated cardiomyopathy	0.0014406680872487054	4.512207980493591	29.521789978892397	DES,TNNC1,ADCY4,DMD,CACNA1C,ADCY8,TTN	0.02833313904922454	0	0
13	Malaria	0.0017280057434241557	6.351473922902494	40.40037456894959	CSF3,CR1,HBB,HBA2,CD36	0.03136995041908467	0	0
14	Apelin signaling pathway	0.0027772514886445984	3.560966712266302	20.960895260162275	EGR1,NOS2,AGTR1,ADCY4,ADCY8,PPARGC1A,GNG11,MYLK	0.044480287507818184	0	0
15	Focal adhesion	0.0028271369178697998	3.0144985904148207	17.690557151703793	TNXB,COL4A2,VWF,COL4A1,CAV2,CAV1,LAMA4,LAMA3,COL6A6,MYLK	0.044480287507818184	0	0
