Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	BMI1 DN MEL18 DN.V1 UP	9.073602038544285e-06	5.24140708915145	60.85347657527834	OGFRL1,EDN1,ZEB2,COL13A1,ABLIM3,STC2,LSAMP,CDH13,ADM,ADRB2,TEK,IL7R	0.0016423219689765155	0	0
2	TGFB UP.V1 UP	3.342507118211983e-05	4.22161260735429	43.508802029524794	CDK17,EDN1,GADD45B,PLEKHA1,TBC1D2B,SMAD6,KLF4,HS3ST2,IL1RL1,SLCO2A1,LMCD1,CRYAB,JAM2	0.0030249689419818444	0	0
3	BMI1 DN.V1 UP	5.4390821596014474e-05	4.683976261127596	45.99343901160124	EDN1,GPRC5A,COL13A1,STC2,SLCO2A1,LSAMP,ADRB2,TEK,IL7R,GABRE,FGFR1	0.0032815795696262066	0	0
4	MEL18 DN.V1 UP	0.00018398461632304725	4.408735715253624	37.91802991034858	TGFBR3,EDN1,COL13A1,ABLIM3,STC2,SLCO2A1,CDH13,ADM,TEK,IL7R	0.008325303888617889	0	0
5	ATF2 S UP.V1 DN	0.0004515307736665831	3.6120178041543025	27.82289285069741	ITIH5,DES,ADH1B,SVEP1,SLIT3,ABCA8,FOS,A2M,SMAD6,PTGS2,IQCG	0.015217189469640319	0	0
6	ESC J1 UP LATE.V1 UP	0.0005394510087681993	3.5310253874052093	26.570819806249798	SGCE,TGFBR3,RAMP2,COL4A2,GADD45B,COL4A1,GPX3,SLCO2A1,PTPN21,LMO7,CRYAB	0.015217189469640319	0	0
7	EGFR UP.V1 UP	0.0005885100899860896	3.4918642188671862	25.972194440909313	SOCS2,SDCBP,EDN1,EPAS1,SLCO2A1,SAMD4A,ADM,A2M,KLF4,ACTG2,IQCG	0.015217189469640319	0	0
8	ESC J1 UP LATE.V1 DN	0.0016037073501997496	3.2739376008606778	21.069219945521702	SOCS2,SOCS3,EGR1,EDN1,PTCH2,ADAM23,RNPC3,KLF4,ACACB,JAM2	0.030465906900674033	0	0
9	STK33 UP	0.0019711049080155287	2.684818763326226	16.724168403583743	PPP1R15A,EGR1,WDR19,EMP1,ADM,FOS,GNG11,TTLL7,ZEB2,FABP4,CFL2,CD36,TRIM23	0.030465906900674033	0	0
10	STK33 NOMO UP	0.0020307737494614665	2.6751261486163487	16.58401226111883	PPP1R15A,DENND1B,EPAS1,WDR19,EMP1,FOS,GNG11,ZEB2,FABP4,CFL2,A2M,IL7R,TRIM23	0.030465906900674033	0	0
11	PRC2 EZH2 UP.V1 DN	0.0021868386339469227	3.1303061487007975	19.174059006911286	TTLL7,SLC14A1,IL1RL1,EDN1,PTPRB,COL13A1,ABLIM3,CDH13,DMD,KLF4	0.030465906900674033	0	0
12	KRAS.DF.V1 DN	0.0021868386339469227	3.1303061487007975	19.174059006911286	OGFRL1,MPP3,TNXB,SEMA6A,HSPB6,ADRB2,PTGS2,SMAD6,KLF4,SYNE1	0.030465906900674033	0	0
13	LEF1 UP.V1 UP	0.0022703849338687795	3.1132256516871903	18.952713451374503	RAMP2,STC2,CXCR2,FBXO17,FHL1,EMP1,GZMB,HBA2,GNG11,ARHGAP4	0.030465906900674033	0	0
14	MEK UP.V1 UP	0.0023564789867924667	3.0963288159317934	18.734606041573564	SGCE,SDCBP,EDN1,EPAS1,GPX3,FHL1,SAMD4A,AKR1C2,ADM,KLF4	0.030465906900674033	0	0
15	PTEN DN.V2 UP	0.003611450770370574	3.401655773420479	19.12970690361972	COL13A1,BNC2,LAMA3,SAMD4A,EMP1,IL7R,PTGS2,APOL3	0.04357817262913826	0	0
16	MEL18 DN.V1 DN	0.004444654258038816	3.279327731092437	17.76101343628776	SOCS2,EGR1,EPB41L3,DMD,FOS,NDRG2,A2M,PPARGC1A	0.049271354072854164	0	0
17	RELA DN.V1 UP	0.004627696238886855	3.2559032123487692	17.502746224397978	PPP1R15A,EGR1,GADD45B,FOSB,LMO7,FOS,PTGS2,PRKG1	0.049271354072854164	0	0
