Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Hypertrophic cardiomyopathy	1.0682570892832956e-07	8.354700854700855	134.11021971501413	EDN1,CACNB4,ACE,DES,SGCA,TNNC1,CACNA2D2,CACNA1D,CACNA2D4,TNF,ITGA9,TTN	1.4422252545313999e-05	0	0
2	Cell adhesion molecules	1.1630848826866128e-07	6.158779301194162	98.33735100973524	CADM1,ICAM2,SELP,CDH5,CLDN5,HLA-DMA,PECAM1,ESAM,NCAM2,HLA-DOA,HLA-DQA1,JAM2,HLA-DPA1,HLA-DQB1,ITGA9	1.4422252545313999e-05	0	0
3	Hematopoietic cell lineage	3.102843767898339e-07	7.486973180076628	112.1981076027721	CSF3,HLA-DMA,MME,IL1R1,IL7,HLA-DOA,TNF,HLA-DQA1,CD33,EPOR,HLA-DPA1,HLA-DQB1	2.5650175147959606e-05	0	0
4	Malaria	3.606275624359619e-06	10.249084249084248	128.45008180689996	SELP,CSF3,HGF,PECAM1,ACKR1,TNF,TLR4,THBS1	0.00022358908871029638	0	0
5	ECM-receptor interaction	5.464497332077468e-06	6.923785238702366	83.89715650663418	TNXB,VWF,COL4A2,COL4A1,LAMA4,COL4A3,NPNT,HSPG2,THBS1,ITGA9	0.00023101823570240236	0	0
6	Allograft rejection	5.589150863767799e-06	12.12364118426867	146.63159917308192	HLA-DMA,FASLG,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.00023101823570240236	0	0
7	Rheumatoid arthritis	9.008941939657855e-06	6.505025627371364	75.57078819793618	HLA-DMA,ANGPT1,TNFSF13,FOS,HLA-DOA,TNF,TLR4,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.00029691090185445223	0	0
8	Graft-versus-host disease	1.1208016431622376e-05	10.735890410958904	122.3771402604089	HLA-DMA,FASLG,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.00029691090185445223	0	0
9	PI3K-Akt signaling pathway	1.1754983978561943e-05	3.282185628742515	37.25685460528704	PDGFRA,CSF3,TNXB,CHRM1,VWF,ANGPT1,HGF,LAMA4,FASLG,GNG11,THBS1,EPOR,NR4A1,COL4A2,COL4A1,IL7,COL4A3,FGFR4,TLR4,ITGA9	0.00029691090185445223	0	0
10	Dilated cardiomyopathy	1.1972213784453719e-05	6.2771424900424	71.1383669198998	CACNB4,DES,SGCA,TNNC1,CACNA2D2,CACNA1D,CACNA2D4,TNF,ITGA9,TTN	0.00029691090185445223	0	0
11	Type I diabetes mellitus	1.3175219960078577e-05	10.437138508371385	117.2839286264369	HLA-DMA,FASLG,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.000297041322736317	0	0
12	Asthma	1.9757475685940965e-05	12.854426229508197	139.23887012243722	HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.0004083211641761133	0	0
13	Complement and coagulation cascades	2.8677195526005018e-05	6.378425402348848	66.71455579850142	SERPINA1,VWF,F10,SERPING1,C4BPA,VSIG4,TFPI,A2M,C2	0.0005470726531114804	0	0
14	Arrhythmogenic right ventricular cardiomyopathy	9.137830677852831e-05	6.229972925625099	57.941878467271025	CACNB4,DES,SGCA,ACTN2,CACNA2D2,CACNA1D,CACNA2D4,ITGA9	0.0015107880054050016	0	0
15	Leishmaniasis	9.137830677852831e-05	6.229972925625099	57.941878467271025	HLA-DMA,FOS,HLA-DOA,TNF,TLR4,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.0015107880054050016	0	0
16	Viral myocarditis	0.00012042953357121305	7.0832256397001805	63.92218558938606	HLA-DMA,SGCA,CAV1,HLA-DOA,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.0018666577703538023	0	0
17	Vascular smooth muscle contraction	0.0001952163946465354	4.380586623545794	37.41635090309159	PPP1R14A,EDN1,PTGIR,PRKCH,AGTR1,CACNA1D,MYH10,ADRA1A,PRKG1,MYLK	0.0027625526093449475	0	0
18	Inflammatory bowel disease	0.0002005078506782623	6.4709494567784605	55.09791610138978	HLA-DMA,HLA-DOA,TNF,TLR4,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.0027625526093449475	0	0
19	Toxoplasmosis	0.00024669065089583906	4.69991173874669	39.04393131009039	HLA-DMA,LAMA4,ALOX5,HLA-DOA,TNF,TLR4,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.003129289836566528	0	0
20	Intestinal immune network for IgA production	0.0002523620835940748	7.644808743169399	63.334531591378266	HLA-DMA,TNFSF13,HLA-DOA,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.003129289836566528	0	0
21	Staphylococcus aureus infection	0.00039519315934500286	4.936465833017557	38.68281714108156	SELP,HLA-DMA,FPR3,HLA-DOA,HLA-DQA1,HLA-DPA1,HLA-DQB1,C2	0.004512593786186694	0	0
22	Focal adhesion	0.00040126637403682035	3.428395061728395	26.81308377559244	PDGFRA,TNXB,COL4A2,VWF,COL4A1,HGF,CAV1,LAMA4,COL4A3,THBS1,MYLK,ITGA9	0.004512593786186694	0	0
23	MAPK signaling pathway	0.0004317458455939629	2.9139182554742327	22.57608714196748	PDGFRA,ANGPT1,IL1R1,HGF,CACNA2D2,CACNA1D,FASLG,CACNA2D4,FOS,TNF,DUSP6,NR4A1,CACNB4,RPS6KA2,FGFR4	0.004512593786186694	0	0
24	Autoimmune thyroid disease	0.00043670262446968003	6.829787234042553	52.83699672672528	HLA-DMA,FASLG,HLA-DOA,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.004512593786186694	0	0
25	Pertussis	0.0005288495800428757	5.436291443319436	41.01576709511098	SFTPA2,SERPING1,C4BPA,FOS,TNF,TLR4,C2	0.0052461878340253265	0	0
26	Phagosome	0.0005687061030689695	3.7907555832230955	28.325082094981358	MSR1,HLA-DMA,SFTPA2,OLR1,HLA-DOA,TLR4,THBS1,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.005424581290811708	0	0
27	Antigen processing and presentation	0.0006191719890482183	5.282616245417712	39.02335960132055	CD74,HLA-DMA,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.005644467986490046	0	0
28	Amoebiasis	0.0006372786436359729	4.567220014028525	33.60699132003195	COL4A2,IL1R1,COL4A1,LAMA4,COL4A3,TNF,TLR4,SERPINB6	0.005644467986490046	0	0
29	Th17 cell differentiation	0.0008743328098510183	4.335442335442336	30.530399380952975	HLA-DMA,IL1R1,FOS,HLA-DOA,IL6ST,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.0074770529945880175	0	0
30	Fluid shear stress and atherosclerosis	0.0011884093175021891	3.718626827717737	25.045470708415476	CDH5,EDN1,IL1R1,CAV1,PECAM1,FOS,ARHGEF2,TNF,GSTM5	0.009824183691351431	0	0
31	Influenza A	0.0014651046818899454	3.319350658208853	21.66151340516373	SOCS3,NXF1,HLA-DMA,FASLG,HLA-DOA,TNF,TLR4,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.011720837455119563	0	0
32	Proteoglycans in cancer	0.0016472661429486712	3.052431676043065	19.56193038935064	HPSE2,HGF,CAV1,ANK2,FASLG,HSPG2,TLR4,TNF,ESR1,THBS1,DCN	0.012766312607852203	0	0
33	Calcium signaling pathway	0.0018734877993272683	2.8362573099415203	17.81156388429056	PDGFRA,HRH1,CHRM1,TNNC1,HGF,NTRK3,AGTR1,CACNA1D,ADRB2,FGFR4,ADRA1A,MYLK	0.0140795446737322	0	0
34	Adrenergic signaling in cardiomyocytes	0.002014696863485323	3.4265869526991386	21.269807052010748	CACNB4,TNNC1,AGTR1,CACNA2D2,SCN7A,CACNA1D,CACNA2D4,ADRB2,ADRA1A	0.014695435945422356	0	0
35	Pathways in cancer	0.0023815019095784797	2.1256226650062264	12.838811775297572	PDGFRA,EDN1,SPI1,HGF,DAPK2,LAMA4,FASLG,FOS,AXIN2,GNG11,ESR1,EPOR,COL4A2,COL4A1,IL7,COL4A3,AGTR1,IL6ST,FGFR4,GSTM5	0.016874642102156084	0	0
36	Osteoclast differentiation	0.002612511846530951	3.603102779573368	21.429248862767743	SOCS3,SPI1,TYROBP,IL1R1,FOSB,FOS,TNF,SIRPB1	0.017772215934857234	0	0
37	AGE-RAGE signaling pathway in diabetic complications	0.0026514999580230553	4.028428339961703	23.899173925047627	EDN1,COL4A2,COL4A1,COL4A3,AGTR1,TNF,AGER	0.017772215934857234	0	0
38	Coronavirus disease	0.004270719773358818	2.675787468194182	14.599023914654513	SELP,NRP1,CSF3,ACE,VWF,AGTR1,FOS,IL6ST,TLR4,TNF,C2	0.027872065889289126	0	0
39	Th1 and Th2 cell differentiation	0.007419019444346747	3.7251239039268014	18.26692130755092	HLA-DMA,FOS,HLA-DOA,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.04687658363038267	0	0
40	Histidine metabolism	0.007560739295223011	8.390671801454857	40.98663869038013	ALDH2,ALDH3B1,ASPA	0.04687658363038267	0	0
41	Human T-cell leukemia virus 1 infection	0.008125326837213098	2.56668164635597	12.352846695795098	NRP1,HLA-DMA,SPI1,IL1R1,FOS,HLA-DOA,TNF,HLA-DQA1,HLA-DPA1,HLA-DQB1	0.04914831842997191	0	0
