Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Dilated cardiomyopathy	5.309877133072382e-07	5.556132456443983	80.2779295611104	LAMA2,TNNC1,ADCY4,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,TTN,SLC8A3,PLN,DES,SGCA,MYL3,DMD,ITGA9	0.00014389767030626154	0	0
2	Hypertrophic cardiomyopathy	1.3387155930477944e-06	5.519726610460833	74.64767827265595	LAMA2,TNNC1,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,TTN,SLC8A3,IL6,DES,SGCA,MYL3,DMD,ITGA9	0.00018139596285797615	0	0
3	Malaria	4.280909604015061e-06	7.4586553323029365	92.19901214661816	SELP,CSF3,IL6,HGF,PECAM1,HBA2,ACKR1,TLR4,THBS1,SELE	0.00029055528465339614	0	0
4	Hematopoietic cell lineage	4.2886388878730056e-06	4.93297959930473	60.969364354260414	CSF1R,CSF3,CSF3R,IL1R1,IL5RA,EPOR,IL6,HLA-DMA,IL7,CD37,HLA-DOA,CD34,CD55,HLA-DPA1	0.00029055528465339614	0	0
5	Cell adhesion molecules	7.619297589244249e-06	3.8955629770992366	45.90853330787876	CADM1,ICAM2,PTPRM,SELE,SELP,CDH5,CLDN5,HLA-DMA,PTPRC,PECAM1,ESAM,NCAM2,HLA-DOA,CD34,JAM2,HLA-DPA1,ITGA9	0.0004129659293370383	0	0
6	Arrhythmogenic right ventricular cardiomyopathy	4.118786326801669e-05	4.973426212590299	50.21850934731214	SLC8A3,DES,SGCA,LAMA2,ACTN2,CACNA2D2,CACNA1D,DMD,CACNA2D4,CACNA1C,ITGA9	0.0018603184909387538	0	0
7	Complement and coagulation cascades	0.00010375044686616441	4.4339176637938245	40.67464164167569	C1QB,VWF,CFH,F10,ITGAX,SERPING1,C4BPA,VSIG4,TFPI,A2M,CD55	0.004016624442961508	0	0
8	Adrenergic signaling in cardiomyocytes	0.00012878036969407594	3.3243336794738663	29.77739369809047	TNNC1,ADCY4,CACNA2D2,CACNA1D,ATP1A2,CACNA2D4,ADRB2,CACNA1C,ADRA1A,KCNE1B,SLC8A3,PLN,MYL3,AGTR1,SCN7A	0.004288283804257803	0	0
9	ECM-receptor interaction	0.00014241532929269458	4.260504201680672	37.7342756137243	TNXB,VWF,COL4A2,LAMA2,COL4A1,LAMA4,COL4A3,NPNT,HSPG2,THBS1,ITGA9	0.004288283804257803	0	0
10	JAK-STAT signaling pathway	0.000300880162914628	3.0510521965795663	24.740367482191242	STAT5A,CSF3,CSF3R,FHL1,IL5RA,LIFR,EPOR,SOCS2,SOCS3,CCND3,IL6,IL7,STAT4,IL6ST,CRLF2	0.007889127150115475	0	0
