Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Glycolysis / Gluconeogenesis	5.243712832298266e-09	7.7552941176470584	147.86426815812246	GPI,TPI1,PDHA1,PGAM1,ENO1,PDHB,ENO2,ADH7,ALDH3A1,LDHB,LDHA,PKM,PGM2,ALDOA,DLD,GAPDH	1.0923735089664785e-06	0	0
2	Drug metabolism	7.612358947501592e-09	5.63642259167551	105.36442475842547	GSTM4,GSTM3,GSTM2,RRM2,UGT1A1,GSTP1,NME2,NME4,ADH7,NME1,TYMP,ALDH3A1,UCK2,UGT1A5,UGT1A3,TK1,UMPS,UGT1A9,UGT1A7,UGT1A6	1.0923735089664785e-06	0	0
3	Metabolism of xenobiotics by cytochrome P450	2.3763651059065738e-07	6.0676863275308435	92.54752889083504	GSTM4,CBR1,GSTM3,GSTM2,UGT1A1,GSTP1,AKR1C1,ADH7,ALDH3A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,CBR3,UGT1A6	2.2733892846506222e-05	0	0
4	Cell cycle	1.8511833606960831e-06	4.196514437745613	55.39267064408847	HDAC1,CDKN2A,PLK1,PKMYT1,YWHAZ,ORC4,CCNB1,WEE1,ORC6,DBF4,TFDP1,PTTG1,CDK4,CDK1,MDM2,MCM3,MCM4,MCM5	0.00013282240612994396	0	0
5	Steroid hormone biosynthesis	3.942879379427661e-06	6.023420921642084	74.95303633163921	DHRS11,UGT1A1,SRD5A1,HSD17B1,AKR1C1,UGT1A5,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.00022632127637914773	0	0
6	Pyrimidine metabolism	1.0097243792993102e-05	6.005811965811966	69.0863448633195	DTYMK,UCK2,RRM2,NME2,NME4,NT5M,TK1,UMPS,TYMS,NME1,TYMP	0.00048298482809817006	0	0
7	Glutathione metabolism	1.206921357441618e-05	5.8749442586399105	66.53287823448098	GSTM4,GGCT,GSTM3,GPX2,GSTM2,GCLC,RRM2,GSTP1,GSS,GSR,PGD	0.0004948377565510634	0	0
8	DNA replication	6.529310647813938e-05	6.999087757708447	67.44757772338751	FEN1,RNASEH2A,RFC4,RFC2,POLD2,MCM3,MCM4,MCM5	0.00234239019490325	0	0
9	Hepatocellular carcinoma	0.0001228036860994587	2.958706338939198	26.642924316870715	GSTM4,GSTM3,NQO1,GSTM2,CDKN2A,GSTP1,TXNRD1,WNT7B,WNT5A,FZD6,KEAP1,TGFA,FZD10,PIK3CA,CDK4,DPF1,HRAS,NFE2L2	0.0035277852483119074	0	0
10	Ascorbate and aldarate metabolism	0.0001352112812941846	7.4479813664596275	66.35162273050894	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.0035277852483119074	0	0
11	Citrate cycle (TCA cycle)	0.0001352112812941846	7.4479813664596275	66.35162273050894	PDHA1,MDH2,SDHC,PDHB,SDHA,DLD,IDH3A	0.0035277852483119074	0	0
12	Pentose and glucuronate interconversions	0.0003113374901632776	6.343253968253968	51.219448179680995	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.007111001941411057	0	0
13	Retinol metabolism	0.0003221011332346472	4.227780475959204	33.99408187478429	CYP26A1,UGT1A1,RDH10,UGT1A5,PNPLA4,UGT1A3,ADH7,UGT1A9,UGT1A7,UGT1A6	0.007111001941411057	0	0
14	HIF-1 signaling pathway	0.00037041871029087567	3.326759318766067	26.284314664926498	EGLN3,PDHA1,SLC2A1,ENO1,PDHB,ENO2,LDHB,LDHA,PIK3CA,LTBR,ALDOA,GAPDH,EIF4E	0.0075935835609629515	0	0
15	Central carbon metabolism in cancer	0.0004093672021329141	4.0864276568501925	31.877805335390203	LDHB,LDHA,PKM,PDHA1,PIK3CA,PGAM1,SLC2A1,PDHB,HRAS,FGFR2	0.0078034938931226235	0	0
16	RNA transport	0.00043515264474733024	2.6392071705784512	20.42697176574162	EIF4A2,EIF2B5,PRMT5,NUP205,ALYREF,RPP40,EIF2S2,RANGAP1,SENP2,CLNS1A,NUP50,EEF1A2,TACC3,STRAP,PABPC1,EIF4E,RAN,EIF4G1	0.0078034938931226235	0	0
17	Pyruvate metabolism	0.00046222786126510313	5.02210433244916	38.56701208424207	LDHB,LDHA,PDHA1,PKM,MDH2,PDHB,ADH7,DLD	0.0078034938931226235	0	0
18	Pathways in cancer	0.0006499424369178983	1.859059375637625	13.642942877991649	NOTCH3,HDAC1,GSTP1,SLC2A1,KEAP1,TGFA,FZD10,PLD1,CKS1B,GNGT1,HEY1,HRAS,GSTM4,GSTM3,NQO1,GSTM2,EGLN3,JAG1,JUP,LAMB3,CDKN2A,WNT7B,TXNRD1,FZD6,WNT5A,FN1,PGF,MSH6,RAD51,PIK3CA,CDK4,MDM2,BIRC5,COL4A5,CALM1,FGFR2,NFE2L2	0.010362971077524267	0	0
19	Cysteine and methionine metabolism	0.0007110082487014693	4.662652800583835	33.79876130556692	LDHB,LDHA,GCLC,MDH2,GSS,APIP,PHGDH,BCAT1	0.010739966704069563	0	0
20	Alzheimer disease	0.0008019286310199338	2.030509295380559	14.47446712141324	NDUFB5,NDUFA10,ATP2A2,ATP2A1,FZD10,COX5A,APH1A,TUBA1C,PSMD4,PSMD2,HRAS,COX8A,NDUFA9,CSNK2A1,TUBB,WNT7B,FZD6,WNT5A,ADRM1,SDHC,SDHA,SEM1,PIK3CA,NDUFS6,DDIT3,VDAC3,CALM1,GAPDH	0.01150767585513605	0	0
21	Glycine, serine and threonine metabolism	0.0008782120744043914	5.188311688311688	36.51337881989841	GCSH,GAMT,SHMT2,PGAM1,PHGDH,DLD,GCAT	0.011771731551545837	0	0
22	One carbon pool by folate	0.0009023626973310398	8.139949109414758	57.06506451601099	ALDH1L1,ATIC,SHMT2,MTHFD2,TYMS	0.011771731551545837	0	0
23	Pentose phosphate pathway	0.0009879929870923445	6.109872611464968	42.2793100877355	GPI,PGM2,TALDO1,PGD,ALDOA,TKT	0.012328434230239256	0	0
