Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Staphylococcus aureus infection	2.3247524164125913e-07	6.417908329785725	98.0302259358288	IL10,CFD,ITGB2,DEFA3,FPR3,FPR2,ITGAL,C2,C3,FCGR2A,FCGR2C,HLA-DQA1,HLA-DRB1,HLA-DQB1	5.3681869945613766e-05	0	0
2	Hematopoietic cell lineage	3.9183846675630485e-07	6.1146270002253775	90.2055221502167	CR1,MME,ITGB3,ITGA1,CD3G,TNF,CD5,CD36,IL7R,HLA-DQA1,CD22,HLA-DRB1,CD33,HLA-DQB1	5.3681869945613766e-05	0	0
3	Leishmaniasis	6.242412087969406e-06	6.158095238095238	73.79949946917259	IL10,C3,NFKBIA,CR1,FCGR2A,ITGB2,TNF,FCGR2C,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.00043003203102138805	0	0
4	Malaria	6.277839868925373e-06	8.090294811866524	96.90947186657029	IL10,CR1,ITGB2,KLRC4-KLRK1,HBB,CCL2,CD36,ITGAL,TNF	0.00043003203102138805	0	0
5	Hypertrophic cardiomyopathy	2.8413596566382706e-05	5.141289933694997	53.82232771868505	MYBPC3,CACNG6,EDN1,CACNB4,ACE,ITGB3,ITGA1,LMNA,CACNA1S,TNF,SLC8A1	0.0015570650918377723	0	0
6	Asthma	0.0001499046511501743	8.802566037735849	77.51109317368665	IL10,CCL11,TNF,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.00684564573585796	0	0
7	Inflammatory bowel disease	0.00033305981037332934	5.1586921850079746	41.306620601517466	IL10,NFATC1,IL12RB1,TNF,HLA-DQA1,HLA-DRB1,IL18R1,HLA-DQB1	0.011135480126635575	0	0
8	Cholesterol metabolism	0.0003512849543143947	5.97648041499978	47.536404240383774	NPC2,SORT1,APOC2,CD36,LRP2,APOE,APOB	0.011135480126635575	0	0
9	Tuberculosis	0.0003657639457654021	3.1178968748557447	24.673546727517035	IL10,CR1,ITGB2,CAMK2A,TNF,C3,FCGR2A,EP300,CLEC4E,CTSD,FCGR2C,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.011135480126635575	0	0
10	Osteoclast differentiation	0.0006253436184618718	3.494712643678161	25.781226510117175	NFKBIA,LILRA6,JUND,FCGR2A,ITGB3,PLCG2,NFATC1,LILRB1,TNF,JUNB,FCGR2C	0.017134415145855286	0	0
11	Th1 and Th2 cell differentiation	0.0008057525426287344	3.987768912461992	28.407804513970632	NFKBIA,MAML2,CD3G,NFATC1,MAML3,IL12RB1,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.020070563334570295	0	0
12	Vascular smooth muscle contraction	0.0009191595640449978	3.3218110850897737	23.22627193060453	EDN1,PLA2G4F,RAMP2,PPP1R12A,ADORA2A,PLA2G1B,MYH9,MYH11,CACNA1S,PPP1R12B,PLCB2	0.020987476712360783	0	0
13	Dilated cardiomyopathy	0.001094590073212813	3.803638029182752	25.930828133502846	MYBPC3,CACNG6,CACNB4,ITGB3,ITGA1,LMNA,CACNA1S,TNF,SLC8A1	0.02307059077387006	0	0
14	Complement and coagulation cascades	0.001993647834076588	3.8148366784730423	23.71985043589911	CFD,C3,SERPINA1,CR1,ITGB2,F11,C8B,C2	0.035089485699341325	0	0
15	cAMP signaling pathway	0.0021461088438992078	2.557452296953833	15.713239887043589	EDN1,PPP1R12A,PDE4C,CAMK2A,NFATC1,NFKBIA,ADORA2A,FXYD1,PDE4B,EP300,CACNA1S,VIP,CFTR,RAPGEF3	0.035089485699341325	0	0
16	Calcium signaling pathway	0.002159368901746185	2.461804222648752	15.11040482579058	PDGFRA,MCOLN3,NOS3,CAMK2A,FGF2,RYR3,SLC8A1,HRH1,ADORA2A,ERBB4,P2RX2,PLCG2,CACNA1S,PLCB2,FGF10	0.035089485699341325	0	0
17	Cell adhesion molecules	0.0021770848791562137	2.955815085158151	18.118462225781332	NLGN3,CLDN15,ITGB2,NRXN3,CD226,SIGLEC1,ITGAL,HLA-DQA1,CD22,HLA-DRB1,HLA-DQB1	0.035089485699341325	0	0
18	Oxytocin signaling pathway	0.0029675547862897137	2.830915750915751	16.475977709690927	CACNG6,PLA2G4F,CACNB4,PPP1R12A,NOS3,CAMK2A,NFATC1,CACNA1S,PPP1R12B,PLCB2,RYR3	0.04517277841352119	0	0
19	Allograft rejection	0.0032808215874332407	5.544427324088341	31.71224697275137	IL10,TNF,HLA-DQA1,HLA-DRB1,HLA-DQB1	0.047312900787195154	0	0
