Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	NFE2L2.V2	2.9570752446346005e-14	3.1512641072396628	98.16814989441647	HJURP,IDE,SLC7A11,TSKU,SMG6,PANX2,UCHL1,TRIM29,PHGDH,NRCAM,HTATIP2,WDHD1,CBR1,SREBF1,GPX2,G6PD,ABCC2,UGT1A1,EIF1AX,IGFBP3,NDUFC2,TALDO1,ESCO2,PTGR1,PGD,ALDH3A1,DBF4,MTHFD2,NRG4,MCM3,TKT,PFN2,ABCB6,MGST1,CPLX2,LRP8,NT5DC1,BRIP1,CDC45,PTPRZ1,PTPMT1,STC2,GPC1,SPP1,UGT1A5,GCNT3,UGT1A3,B4GALNT1,UGT1A9,UGT1A7,UGT1A6,CBR3,NQO1,RRM2,TXNRD1,AKR1C1,CYP4F3,GSR,OSGIN1,AKR1C3,CYP4F11,TPD52L1,STXBP5L,FERMT1,GCLC,TMEM237,PNPLA4,RPL22L1,TMEM18	5.559301459913049e-12	0	0
2	CSR LATE UP.V1 UP	9.708210834773076e-08	3.563298678795755	57.53910921415869	CXCL6,FEN1,DTYMK,UHRF1,MAZ,YEATS4,RPF2,FOXM1,PBK,PGM2,CLSPN,PRMT5,GINS2,RRM2,UBE2C,IGFBP3,ACTL6A,FANCA,IMP4,ZWINT,ANLN,KRT18,CDK1,MCM3,BIRC5,ITGA6,UMPS,EZH2	9.125718184686692e-06	0	0
3	E2F1 UP.V1 UP	2.138158931274225e-07	3.3219146341463412	51.0184649149664	TOP2A,DLX1,SLBP,FEN1,HMGB3,USP39,TYMS,NCAPH,AURKB,SMC2,DNAJC21,E2F3,BUB1,KPNA1,PLK4,WDHD1,STIL,RRM1,KLHL21,WBP11,GPN2,UCK2,DBF4,PRC1,UBE2T,MCM4,DNA2,GRSF1,EZH2	1.3399129302651809e-05	0	0
4	RB P107 DN.V1 UP	4.079970156508165e-06	3.4014584154513203	42.21012909729077	WDHD1,SLBP,FKBP10,FEN1,RRM1,RRM2,PAQR4,RFC2,FANCA,NCAPH,COL1A1,ORC6,CDC45,CENPH,CCNE1,PRC1,RPA3,CENPK,SPIRE2,MCM5,DNA2,TCFL5	0.00019175859735588377	0	0
5	VEGF A UP.V1 DN	1.043653265047561e-05	2.844043430648431	32.62174170321726	RIF1,MRPL19,BUB1B,HMMR,CENPA,RND3,LRP8,IPO5,CCNB1,CDC45,EXO1,NBN,BUB1,PLK4,SERPINB2,RFC4,RRM2,SPAG5,KIF23,NDC80,NUDT21,DBF4,CCNE1,BIRC5,MCM4,CDKN3	0.00039241362765788296	0	0
6	P53 DN.V1 UP	0.000237239210288236	2.4493621703790676	20.443458311694904	COL17A1,SUN1,CDKN2A,ITGB4,THOC1,ADM,GRIK2,SULF1,KLK10,NDC80,UGT8,AZGP1,UCHL1,KRT18,CALB1,KLF5,EPCAM,KRT15,NMU,SCNN1A,PRSS2,PITX1,DSC2	0.006871610201567542	0	0
7	HOXA9 DN.V1 DN	0.00025585782665411063	2.4349919924209957	20.13954759007342	PLK4,FANCI,HELLS,SREBF1,RNASEH2A,DLX5,FZD6,IGFBP2,ADM,STAM,TEX15,SLC2A5,LSS,FANCG,COCH,PER2,SQLE,CDC45,SPP1,MVD,PDK1,APOBEC3B,TMEM45A	0.006871610201567542	0	0
8	RPS14 DN.V1 DN	0.0008892964374396872	2.29988686595365	16.156889057748675	GINS2,ERCC6L,CDCA3,PLK1,KRT13,PYCR1,KIF23,NCAPH,KIF15,SLC6A8,TRIM29,EXO1,EPCAM,PRC1,PES1,NMU,ZNF74,PBK,KIF2C,MCM5,ECT2	0.020898466279832648	0	0
9	MEL18 DN.V1 UP	0.0012209236541508785	2.4883659439450025	16.69232606744735	CA12,JAG1,WNT5B,LAMB3,DDX11,ABCC5,FZD6,ADM,SLC7A11,PTHLH,SLC7A5,STC2,COL7A1,ADAM12,SPP1,CLSPN,CHST2	0.025023199619718408	0	0
10	PRC2 EDD UP.V1 UP	0.0013310212563680003	2.2189490983588103	14.693456598526117	HELLS,JUP,PLK1,BUB1B,KIF23,RANGAP1,KLK8,LSS,DLK2,RECQL4,CDC45,MAPK7,BTBD2,TACC3,RAD54L,CA9,MCM5,MVD,CLSPN,TNS4,ANKZF1	0.025023199619718408	0	0
11	PRC2 EZH2 UP.V1 UP	0.0015148911454489302	2.1932102680508727	14.23922399123609	HELLS,RFC4,HJURP,HMMR,SULF1,TPD52L1,NCAPH,AURKB,KIF15,HOXA10,CENPF,CDC45,TACC3,RAD54L,DNA2,ECT2,LGALS7,PITX1,BUB1,EZH2,NUP37	0.025890866849490806	0	0
12	LEF1 UP.V1 UP	0.0034260538562425834	2.074716772589113	11.776810583810956	RYR1,KCNG1,PRPS1,PTPRN2,S100A2,CDKN2A,WNT5A,KRT13,PAX6,KRT5,MPP6,DHRS2,BMP7,ANO1,SLC6A8,STC2,SCN5A,SLC26A4,CHST2,STRA6	0.047752760913510356	0	0
13	E2F3 UP.V1 UP	0.003631893185602065	2.0628187093370847	11.588918042044641	RYR1,RTN4R,L3MBTL3,FEN1,ATRNL1,FANCA,SLC4A3,SYNGR3,RASGRP1,RECQL4,UGT8,CYP26A1,HEY1,CCNE1,EEF1A2,ANKRD18A,SLC27A2,CHST2,SAC3D1,E2F7	0.047752760913510356	0	0
14	GCNP SHH UP LATE.V1 UP	0.0037333878029965563	2.1023801107576294	11.753228183149552	TOP2A,NAA30,RRM1,RRM2,CDCA7,USP39,AURKB,SMC2,FTSJ3,PSMC3IP,SFRP1,SIX4,PIK3CA,PRC1,ZMYM6,CDK1,MCM4,KIF2C,MCM5	0.047752760913510356	0	0
15	MTOR UP.V1 UP	0.0038100607111843368	2.1482676285307862	11.966087333930949	FDPS,HELLS,GPX2,RRM2,KCNE3,UBE2C,UHRF1,TMPRSS4,SLC2A1,HSPE1,LSS,SQLE,CYP26A1,DBF4,BDH1,CDK1,MCM5,PDK1	0.047752760913510356	0	0
