Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Malaria	2.383662899923084e-10	12.329690346083789	273.1915701889269	CSF3,HGF,ITGB2,HBB,TNF,THBS1,SELP,IL6,KLRC4-KLRK1,PECAM1,CCL2,CD36,ACKR1,TLR4	6.53123634578925e-08	0	0
2	Hematopoietic cell lineage	1.469577105926093e-09	7.0755408874220755	143.90441068703498	CSF1R,CSF3,MME,IL1R1,ITGA1,CD3E,TNF,EPOR,IL6,HLA-DMA,IL7,CD36,HLA-DOA,HLA-DQA1,HLA-DRB1,CD33,HLA-DPA1,HLA-DQB1	2.0133206351187475e-07	0	0
3	Hypertrophic cardiomyopathy	1.679051864031368e-08	6.864153627311522	122.88517724018594	EDN1,ACE,LAMA2,TNNC1,ITGA1,CACNA2D2,CACNA1D,CACNA2D4,TNF,TTN,IL6,CACNB4,DES,SGCA,MYL3,ITGA9	1.533534035815316e-06	0	0
4	Cell adhesion molecules	1.848753276376374e-07	4.6856685245691585	72.64465624016951	NLGN3,CADM1,ITGB2,ICAM2,PTPRM,SELP,CDH5,CLDN5,HLA-DMA,PECAM1,ESAM,NCAM2,HLA-DOA,HLA-DQA1,HLA-DRB1,JAM2,HLA-DPA1,HLA-DQB1,ITGA9	1.2663959943178162e-05	0	0
5	ECM-receptor interaction	5.48462080092263e-07	5.986442179884802	86.30143462354559	TNXB,VWF,LAMA2,LAMA4,ITGA1,NPNT,HSPG2,THBS1,COL4A2,COL4A1,COL4A3,COL6A1,CD36,ITGA9	3.005572198905601e-05	0	0
6	Rheumatoid arthritis	1.0958469492585137e-06	5.606100850798921	76.9380329073467	ANGPT1,ITGB2,TNFSF13,FOS,TNF,HLA-DMA,IL6,CCL2,HLA-DOA,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	4.5416908450707374e-05	0	0
7	Th17 cell differentiation	1.1602859823173416e-06	5.162775754979653	70.5588510916523	STAT5B,IL1R1,FOS,CD3E,IL2RG,IL6,HLA-DMA,HLA-DOA,IL6ST,JAK2,RXRG,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	4.5416908450707374e-05	0	0
8	Complement and coagulation cascades	2.202266751705887e-06	5.704491725768322	74.30684262711637	SERPINA1,VWF,F10,ITGB2,FGG,F11,C4BPA,C8B,TFPI,C2,SERPING1,VSIG4,A2M	7.542763624592663e-05	0	0
9	Leishmaniasis	4.412328386301802e-06	5.825339366515837	71.83288903458264	HLA-DMA,FCGR2A,ITGB2,FOS,HLA-DOA,JAK2,TNF,TLR4,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00012048918267529876	0	0
10	Graft-versus-host disease	4.693160241936564e-06	8.577827050997783	105.24482876338979	HLA-DMA,IL6,FASLG,HLA-DOA,TNF,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00012048918267529876	0	0
11	Inflammatory bowel disease	4.837156968716374e-06	6.420820494229956	78.5855996907163	HLA-DMA,IL6,HLA-DOA,IL2RG,TNF,TLR4,HLA-DQA1,HLA-DRB1,IL18R1,HLA-DPA1,HLA-DQB1	0.00012048918267529876	0	0
12	Th1 and Th2 cell differentiation	5.4511320600719606e-06	5.197145165634258	62.98777401808494	STAT5B,MAML2,FOS,CD3E,IL2RG,HLA-DMA,MAML3,HLA-DOA,JAK2,HLA-DQA1,HLA-DRB1,HLA-DPA1,HLA-DQB1	0.00012446751537164308	0	0
13	PI3K-Akt signaling pathway	7.0439821016385426e-06	2.745295837279203	32.56836943051633	CSF1R,CSF3,TNXB,CHRM1,LAMA2,LAMA4,FASLG,IL2RG,THBS1,JAK2,MAGI1,PDGFRA,VWF,ANGPT1,HGF,ITGA1,GNG11,EPOR,NR4A1,IL6,COL4A2,COL4A1,IL7,COL4A3,COL6A1,FGFR4,TLR4,ITGA9	0.0001484654689114585	0	0
