Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	1.6199469616217127e-09	4.800665780292504	97.16966362825887	CPM,ITGB2,PTPN22,FRY,AIF1,HLA-DMA,SPTLC3,ENPP2,SH3BP5,CTSH,CCL2,ST3GAL6,PTGDS,TRIM22,VWF,CD300A,AZU1,DCN,HCK,MS4A6A,TYROBP,CACNB4,MNDA,CD69,HLA-DQB1	2.9969018790001687e-07	0	0
2	KRAS.600 UP.V1 UP	1.0760925544843856e-07	3.467621984400508	55.63715965220501	NRP1,CSF3,DOCK4,RTN1,HPN,ITGB2,TFPI,HSD11B1,ST3GAL6,A2M,SCN1B,TGM2,SYT1,PCDH9,LIMCH1,NTRK3,LAPTM5,ETV1,RNASE1,GNG11,DUSP6,DNM3,ZEB1,SLCO4A1,MGAT4A,TLR4,KCNK3,CCNJL	9.953856128980566e-06	0	0
3	ESC J1 UP LATE.V1 UP	5.996802111781428e-07	3.934503950834065	56.369123884334016	PDGFRA,RAMP2,PARM1,CITED2,GPX3,PTPN21,GKN2,LMO7,HNF1B,PARVA,TGFBR3,DAB2,COL4A2,COL4A1,PODXL,SLCO2A1,MYL3,CA4,CTSH,RGL3,HLA-DRB1	3.6980279689318806e-05	0	0
4	ATF2 S UP.V1 DN	2.3986320975204474e-05	3.3757689378405296	35.911520598359076	ITIH5,LAMA2,IL1R1,ADH1B,CELF2,TMEM176A,C4BPA,ABCA8,FOS,SMAD6,DES,SERPING1,CCL2,SVEP1,ST3GAL6,CCIN,SLIT3,A2M	0.0009087017245250175	0	0
5	CSR LATE UP.V1 DN	2.4559506068243717e-05	3.518762584660443	37.34959427703402	ACVRL1,ANKRD29,SFTPB,BTBD19,TNXB,MME,SGIP1,NTN4,TBC1D2B,CLEC3B,DAAM2,CCL2,SVEP1,PDE5A,TRIM22,PRKG1,APOL3	0.0009087017245250175	0	0
6	KRAS.KIDNEY UP.V1 UP	4.923929920845677e-05	3.6464569912845777	36.16854502416492	RTN1,SYT1,PCDH9,LIMCH1,AQP4,ANK2,ETV1,DUSP6,DNM3,EPB41L3,PECAM1,ST3GAL6,A2M,ASPA,SCN1B	0.0012833183058112813	0	0
7	KRAS.300 UP.V1 UP	5.3329596992442085e-05	3.6184334223291845	35.601835519074974	CSF3,DOCK4,RTN1,SYT1,HPN,ITGB2,ETV1,TFPI,RNASE1,DUSP6,HSD11B1,DNM3,ST3GAL6,A2M,SCN1B	0.0012833183058112813	0	0
8	P53 DN.V2 UP	6.241322851541987e-05	3.5636505055742806	34.502313803653145	CD83,NTRK3,PKD2L1,C4BPA,FPR3,CYP17A1,HS3ST2,CLEC1A,CA3,NCKAP1L,ME3,CD69,CD68,APOL3,KCNK3	0.0012833183058112813	0	0
9	CORDENONSI YAP CONSERVED SIGNATURE	6.243170136379206e-05	5.892682926829268	57.04964073813534	DAB2,ITGB2,COL4A3,PMP22,AMOTL2,SLIT2,THBS1,TNS1,TGM2	0.0012833183058112813	0	0
10	CRX DN.V1 DN	7.822558969850569e-05	3.682841530054645	34.82463178925956	CADPS2,PPP1R14A,STEAP4,TMEM176A,RNASE4,GNG11,SOCS3,COL4A2,GLIPR2,SERPING1,RGL3,RXRG,CTNNAL1,TGM2	0.0014471734094223551	0	0
11	EGFR UP.V1 UP	0.00012131708116658184	3.0552643402725774	27.549633048028962	CADPS2,EDN1,PCDH9,IL1R1,EPAS1,FGG,TFPI,DUSP6,PAPSS2,RND1,SOCS2,CRISPLD2,MGAT4A,SLCO2A1,CCL2,A2M,CTNNAL1	0.0020403327287106944	0	0
12	ESC V6.5 UP LATE.V1 UP	0.00031745182285657255	2.9041137326073807	23.3931718966162	RAMP2,PARM1,GPX3,TNNC1,HPN,HNF1B,DAB2,COL4A2,COL4A1,PODXL,MYL3,CA4,CTSH,RGL3,SLIT3,ZNF521	0.004894048935705493	0	0
13	CYCLIN D1 KE .V1 DN	0.00040066190690024833	2.8382613837965702	22.201994877334055	ALK,PTCRA,ANGPT1,IL1R1,ACTN2,ADH1B,CAV1,HPN,EML1,FES,NCKAP1L,A2M,RXRG,ROS1,CFTR,GPSM3	0.00570172713665738	0	0
14	MEL18 DN.V1 UP	0.0004802398729021403	3.199468085106383	24.447855018462096	NRP1,NRP2,EDN1,CD83,COL13A1,GFPT2,LPL,TGFBR3,ABLIM3,CRISPLD2,SLCO4A1,SLCO2A1,HLA-DQA1	0.0063382092904133965	0	0
15	KRAS.KIDNEY UP.V1 DN	0.00051390886138487	3.17450107207653	24.041971557782716	SEMA5A,ITIH5,CSF1R,EGFL7,ACE,ABCA3,IFI30,SPATA6,IL6,CLEC3B,TYROBP,ADAMTSL2,FOLR2	0.0063382092904133965	0	0
16	KRAS.BREAST UP.V1 DN	0.0006271433113581965	3.1018697614442297	22.87422822588787	EGFL7,NDNF,TSPAN12,SELENBP1,CYP21A2,DPEP2,KCNQ3,SERPING1,SCN7A,MAML3,CAMK1,APOL3,IL18R1	0.007251344537579148	0	0
17	KRAS.50 UP.V1 UP	0.0006740415665120174	5.350239158793533	39.06861684983649	HSD11B1,DOCK4,ITGB2,HPN,ST3GAL6,ETV1,A2M	0.007335158223807248	0	0
18	ATF2 UP.V1 DN	0.0008021250399598089	2.750028640164967	19.602880797352306	ITIH5,IL1R1,LIMCH1,CELF2,RNASE4,ABCA8,FOS,FRY,SMAD6,MFAP4,SLCO4A1,CCL2,SVEP1,SLIT3,CD68	0.008244062910698036	0	0
19	LTE2 UP.V1 UP	0.0009439529332234356	2.702463054187192	18.82382872222501	UNC13B,EDN1,PRKCH,SERPINA1,PCDH9,IL1R1,EPAS1,GPX3,C4ORF19,ASRGL1,DIAPH2,DAB2,MGAT4A,DEGS1,FGFR4	0.00891674724732384	0	0
20	ERB2 UP.V1 UP	0.000995706590499268	2.6869682042095837	18.572479887948074	CADPS2,VIPR1,EDN1,PARM1,SERPINA1,IL1R1,LIMCH1,EPAS1,DUSP6,PAPSS2,DAB2,MUC1,MGAT4A,VWA1,FGFR4	0.00891674724732384	0	0
21	NRL DN.V1 DN	0.001012171309155679	3.09450337512054	21.338635236054515	SOCS3,NR4A1,PLEKHH2,ALDH2,RASGRF2,ARHGDIB,PECAM1,CCL2,RNASE4,RGL3,ADRB2,RXRG	0.00891674724732384	0	0
22	HINATA NFKB IMMU INF	0.0016151692049373883	9.609429280397022	61.77244373645764	IL6,CD83,CCL2,OLR1	0.013582104677882583	0	0
23	MTOR UP.V1 DN	0.0019515738754490664	2.5929026036644167	16.177428201315454	ITIH5,AOC3,PPP1R14A,SLC12A4,LIFR,UPB1,C2,FXYD1,CRY2,MYH11,SLIT3,KCNK3,HLA-DQB1,GCOM1	0.015697442041655532	0	0
24	PRC2 SUZ12 UP.V1 DN	0.002753525912822127	2.489450773362971	14.674996244418688	MTMR10,EDN1,PTGIR,ACE,MCTP1,COL13A1,AATK,PKD2L1,IPCEF1,HIGD1B,SLCO4A1,MYL3,PDE6A,SLC15A3	0.021225095578003894	0	0
25	TGFB UP.V1 UP	0.0028875242137761884	2.4753361576717627	14.474171281696483	CDK17,CSF1R,EDN1,PLEKHA1,TBC1D2B,RNASE4,LTBP2,SMAD6,HS3ST2,HRH1,SLCO2A1,PMP22,LMCD1,JAM2	0.021367679181943794	0	0
26	PRC2 EZH2 UP.V1 DN	0.0031715926588634963	2.4475774134790527	14.082189029585523	SLC14A1,MTMR10,EDN1,MCTP1,COL13A1,PCDH9,GFPT2,AATK,FPR3,ETV1,PTPRB,ABLIM3,TBXAS1,CCNJL	0.022567101611144107	0	0
27	GCNP SHH UP LATE.V1 DN	0.004350335626036531	2.4473181296980506	13.30729791366018	CD52,NRP2,EDN1,PPM1M,SLC11A1,TNNC1,ADRB2,HSPG2,AGER,LGALS4,S1PR1,AMOTL2,KANK3	0.029807855215435494	0	0
28	KRAS.LUNG UP.V1 UP	0.004739294377378707	2.6566194001756807	14.217873752196574	HSD11B1,NRP1,CSF3,DOCK4,EGFL7,SLCO4A1,HPN,ST3GAL6,NDNF,RNASE1,SLC6A4	0.03131319499339503	0	0
29	SNF5 DN.V1 DN	0.0054363429590644635	2.4798761609907123	12.931682985054268	CACNB4,NNMT,DES,FABP4,GPX3,RPS6KA2,NFKBIZ,TMEM176A,OLR1,CLEC1B,ESR1,MYLK	0.034680118876790546	0	0
30	PKCA DN.V1 DN	0.0062635703410884366	2.4314990512333967	12.335006636330201	SLC14A1,ZEB2,SLC46A2,PARM1,CA3,ABI3BP,NFKBIZ,RHOJ,LPL,SLIT3,CAMP,FERMT3	0.03732529475868459	0	0
31	BMI1 DN MEL18 DN.V1 DN	0.006456267201502199	2.538623932444103	12.801528959071886	SOCS2,IL1R1,GPX3,AK1,TMEM176A,CTSH,UNC5C,PDE5A,FOS,A2M,PPARGC1A	0.03732529475868459	0	0
32	BMI1 DN.V1 UP	0.006456267201502199	2.538623932444103	12.801528959071886	NRP2,EDN1,GPRC5A,COL13A1,CRISPLD2,PODXL,FES,SLCO4A1,GFPT2,SLCO2A1,ADRB2	0.03732529475868459	0	0
33	CYCLIN D1 UP.V1 DN	0.007097846571200729	2.2947645230695675	11.354411883231059	CHRM1,SYT1,CAV1,RNASE4,EML1,AGER,SLC6A4,HRH1,ALOX5,NCKAP1L,ERG,ROS1,RXRG	0.03804640454521225	0	0
34	PTEN DN.V1 UP	0.007097846571200729	2.2947645230695675	11.354411883231059	CDKL2,EDN1,ACSS3,ITGB2,NR2F1,AZU1,KALRN,CCDC102B,C2,TGFBR3,SCEL,CLEC1B,KANK3	0.03804640454521225	0	0
35	PRC1 BMI UP.V1 DN	0.007403624668257518	2.2818257458694875	11.194147837101374	CDK17,EDN1,ACE,MCTP1,COL13A1,HSPB7,AATK,FPR3,AZU1,SLCO4A1,MYL3,PDE6A,PTGDS	0.03804640454521225	0	0
36	JNK DN.V1 UP	0.007403624668257518	2.2818257458694875	11.194147837101374	STARD13,CD83,TNNC1,F11,HNF1B,PTPN22,PAPSS2,SYNE1,SLCO2B1,PECAM1,S1PR1,PDE6A,SCN2B	0.03804640454521225	0	0
37	HOXA9 DN.V1 UP	0.008046389259019657	2.2563771012107674	10.881450385267984	FOS,IFI30,FRY,IPCEF1,MS4A6A,HLA-DMA,TYROBP,CRISPLD2,PECAM1,ST3GAL6,MNDA,JAK2,TRIM22	0.040231946295098284	0	0
38	KRAS.600.LUNG.BREAST UP.V1 UP	0.009287312406275278	1.9744129072262715	9.238487414266785	CSF3,DOCK4,HPN,SEMA3B,LPL,TFPI,RNASE1,GNG11,ANO2,HSD11B1,CLDN5,SLCO4A1,TRIM46,ST3GAL6,SLIT2,A2M,IMPG1	0.045214547241077006	0	0
