Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Metabolism of xenobiotics by cytochrome P450	3.164687046413493e-08	5.617682198327359	97.00965608721808	GSTM4,CBR1,GSTM3,GSTM2,GSTM1,UGT1A1,GSTP1,AKR1C1,MGST1,ADH7,ALDH3A1,CYP2S1,UGT1A5,UGT1A3,UGT2A1,UGT1A9,UGT1A7,CBR3,UGT1A6	9.335826786919804e-06	0	0
2	Drug metabolism	6.141719066175086e-07	4.0687797932272645	58.19572064055876	GSTM4,GSTM3,GSTM2,RRM1,GSTM1,RRM2,UGT1A1,GSTP1,MGST1,FMO1,ADH7,CYP2C19,ALDH3A1,UCK2,UGT1A5,UGT1A3,UGT2A1,UMPS,UGT1A9,UGT1A7,UGT1A6	9.059035622608253e-05	0	0
3	Cell cycle	1.703723795854472e-06	3.636048129943801	48.29651553135134	CDKN2A,PLK1,BUB1B,CDC6,PKMYT1,YWHAZ,ORC4,CCNB1,WEE1,ORC6,DBF4,TFDP1,PTTG1,CCNE1,CDK4,CDK1,MCM3,MCM4,MCM5,E2F3,BUB3,BUB1	0.00016753283992568973	0	0
4	Glutathione metabolism	2.566725736376574e-06	5.466630707632305	70.37127839147824	GSTM4,GSTM3,G6PD,GPX2,GSTM2,RRM1,GSTM1,RRM2,GSTP1,GSR,MGST1,PGD,GGCT,GCLC	0.00018929602305777234	0	0
5	Citrate cycle (TCA cycle)	3.522412583656081e-06	8.375555555555556	105.16652769213016	PDHA1,MDH1,MDH2,SDHC,PDHB,ACO2,SDHA,SDHB,DLD,IDH3A	0.00020782234243570878	0	0
6	Steroid hormone biosynthesis	6.070584811931553e-06	5.000322660238768	60.06415387722811	UGT1A1,SRD5A1,AKR1C1,AKR1C3,AKR1C2,CYP19A1,HSD17B1,HSD17B2,UGT1A5,UGT1A3,UGT2A1,UGT1A9,UGT1A7,UGT1A6	0.000298470419919968	0	0
7	DNA replication	2.1816425715252796e-05	6.44068376068376	69.12687594677426	FEN1,RNASEH2A,RFC4,RFC2,RPA3,POLD2,MCM3,MCM4,MCM5,DNA2	0.0009194065122856537	0	0
8	Homologous recombination	7.425554898010157e-05	5.400430107526882	51.34727892793641	BLM,BRIP1,RAD51,RPA3,POLD2,RBBP8,RAD54L,NBN,PALB2,RAD54B	0.0027381733686412456	0	0
9	Glycolysis / Gluconeogenesis	8.539023320331782e-05	4.036162276358355	37.81189360405956	GPI,TPI1,PDHA1,PGAM1,PDHB,ADH7,HK2,ALDH3A1,PKM,PGM2,ALDOA,DLD,GAPDH	0.002798902088330973	0	0
10	Central carbon metabolism in cancer	0.00013641058312192786	3.823122869562498	34.02518652925027	G6PD,PDHA1,PGAM1,SLC2A1,PDHB,HK2,SLC7A5,PKM,PIK3CA,HRAS,FGFR3,FGFR2,PDK1	0.004024112202096872	0	0
11	Fanconi anemia pathway	0.00018811529879983737	4.283745758503683	36.74792232679204	FANCI,BLM,BRIP1,RAD51,FANCD2,RPA3,UBE2T,FANCA,FAAP24,PALB2,FANCG	0.004913331296547339	0	0
12	Pentose phosphate pathway	0.00020009576662771952	6.079858030168589	51.780414878602514	GPI,PRPS1,G6PD,PGM2,TALDO1,PGD,ALDOA,TKT	0.004913331296547339	0	0
