Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Cell cycle	9.437656423172114e-07	3.309519034056721	45.91424152669451	HDAC1,PKMYT1,ORC4,CCNB1,FZR1,ORC6,PTTG1,CHEK2,E2F3,SKP2,BUB1,CDKN2A,PLK1,YWHAZ,WEE1,DBF4,RBL1,TFDP1,CCNE1,CDK4,CDK1,MDM2,MCM3,MCM4,MCM5,TP53,MCM2	0.00015330247759783353	0	0
2	Glutathione metabolism	1.001976977763618e-06	5.036195231958763	69.56766178199277	GSTM4,GSTM3,G6PD,GPX2,GSTM2,RRM1,GSTM1,RRM2,GSTP1,GSS,GSR,IDH2,MGST1,TXNDC12,PGD,GGCT,GCLC	0.00015330247759783353	0	0
3	DNA replication	1.6873902221474608e-06	6.686710629261205	88.8819473803205	FEN1,RNASEH2A,RFC4,RFC2,POLD1,POLE2,RPA3,POLD2,MCM3,MCM4,MCM5,DNA2,MCM2	0.000172113802659041	0	0
4	Drug metabolism	2.551023715915292e-06	3.3928802588996763	43.69695853697722	GSTM4,GSTM3,GSTM2,RRM1,GSTM1,RRM2,UGT1A1,GSTP1,MGST1,NME2,NME4,ADH7,NME1,TYMP,ALDH3A1,UCK2,UGT1A5,UGT1A3,TK1,UGT2A1,UMPS,UGT1A9,UGT1A7,UGT1A6	0.00019515331426751982	0	0
5	Metabolism of xenobiotics by cytochrome P450	4.477099446946139e-06	3.9513978494623654	48.6675305681489	GSTM4,CBR1,GSTM3,GSTM2,GSTM1,UGT1A1,GSTP1,AKR1C1,MGST1,ADH7,ALDH3A1,CYP2S1,UGT1A5,UGT1A3,UGT2A1,UGT1A9,UGT1A7,CBR3,UGT1A6	0.000263554334505866	0	0
6	Central carbon metabolism in cancer	5.167732049134627e-06	4.101844963547091	49.93207311037218	G6PD,PDHA1,GLS2,PGAM1,IDH2,SLC2A1,PDHB,SLC1A5,HK2,SLC7A5,LDHB,LDHA,PKM,PIK3CA,HRAS,TP53,FGFR3,FGFR2	0.000263554334505866	0	0
7	Homologous recombination	8.876283124831264e-06	5.49116323907455	63.8739117746934	BLM,PALB2,RAD54B,SEM1,BRIP1,RAD51,POLD1,RPA3,POLD2,RBBP8,RAD54L,NBN,TOPBP1	0.0003880203765997667	0	0
8	Glycolysis / Gluconeogenesis	1.139076931616161e-05	4.026765463917526	45.83549239856274	GPI,TPI1,PDHA1,PGAM1,ENO1,PDHB,ENO2,ADH7,HK2,ALDH3A1,LDHB,LDHA,PKM,PGM2,ALDOA,DLD,GAPDH	0.0004356969263431816	0	0
9	Pyrimidine metabolism	1.8344993300969074e-05	4.329503719747622	47.218233728070565	DTYMK,RRM1,RRM2,ENTPD3,NME2,NME4,TYMS,NME1,TYMP,UCK2,NT5C1B,NT5M,TK1,UMPS,DCTPP1	0.0006237297722329485	0	0
10	Huntington disease	3.221584586491911e-05	2.055615892840981	21.261342315996743	HDAC1,NDUFB5,CLTC,NDUFA10,CLTB,NDUFA4L2,CACNA1B,COX5A,ATP5MC1,TUBA1C,PSMB7,ACTR1A,TUBA3D,KLC3,PSMD4,TUBB3,PSMD2,CREB3L2,POLR2D,POLR2E,PSMD1,POLR2H,POLR2I,AP2M1,COX8A,NDUFA9,GPX2,DNAH17,TUBB,ADRM1,NDUFC2,SDHC,SDHA,SEM1,PSMC5,NDUFS6,PSMC2,VDAC3,PPIF,TBPL1,VDAC2,MAP3K10,BAX,HAP1,TP53	0.0009858048834665248	0	0
11	Steroid hormone biosynthesis	5.4832363984023294e-05	3.8578563035084774	37.8503153258571	DHRS11,UGT1A1,SRD5A1,AKR1C1,AKR1C3,AKR1C2,CYP19A1,HSD17B1,HSD17B2,UGT1A5,UGT1A3,UGT2A1,UGT1A9,UGT1A7,UGT1A6	0.0015253366708282842	0	0
12	Citrate cycle (TCA cycle)	5.989940922457669e-05	5.904746632456703	57.41092986846086	PDHA1,PC,MDH2,IDH2,SDHC,PDHB,ACO2,SDHA,DLD,IDH3A	0.0015274349352267056	0	0
13	Retinol metabolism	0.0002048611942441404	3.34705325271363	28.427118747568098	DGAT1,UGT1A1,ADH7,CYP26A1,CYP26B1,RDH10,CYP2S1,UGT1A5,PNPLA4,UGT1A3,UGT2A1,RDH13,UGT1A9,UGT1A7,UGT1A6	0.004667916236103487	0	0
14	Fanconi anemia pathway	0.0002135647951158458	3.7474136309486488	31.671529675196815	FANCI,BLM,FANCA,FAAP24,FANCB,PALB2,FANCG,BRIP1,RAD51,FANCD2,RPA3,UBE2T,PMS2	0.004667916236103487	0	0
15	Mismatch repair	0.00023694255849051243	6.292035020286141	52.52397553336251	MSH6,RFC4,RFC2,EXO1,POLD1,RPA3,POLD2,PMS2	0.004833628193206453	0	0
16	RNA transport	0.0006426975903460559	2.101397251497055	15.444925704918587	EIF4A2,NUP205,FXR1,SUMO2,SAP18,EIF4E,EIF2B5,EIF5B,PRMT5,NCBP2,ALYREF,RPP40,THOC1,THOC3,THOC5,EIF2S2,MAGOHB,RANGAP1,SENP2,EIF2S3,XPOT,CLNS1A,NUP50,TACC3,STRAP,PABPC1,RAN,EIF4G1	0.011629701741069231	0	0
17	Hepatocellular carcinoma	0.0006460945411705129	2.170246364773215	15.939514876453355	SHC2,GSTP1,MGST1,KEAP1,TGFA,FZD10,IGF1R,DPF1,E2F3,HRAS,GSTM4,GSTM3,NQO1,GSTM2,GSTM1,CDKN2A,TXNRD1,WNT7B,WNT5A,FZD6,ACTL6A,PIK3CA,CDK4,BAX,TP53,NFE2L2	0.011629701741069231	0	0
18	Prion disease	0.000778793103999925	1.8620143160596538	13.32786116009692	RYR1,NDUFB5,NDUFA10,NDUFA4L2,CACNA1B,COX5A,ATP5MC1,TUBA1C,PSMB7,STIP1,PPP3R1,TUBA3D,KLC3,PSMD4,TUBB3,PSMD2,CREB3L2,PSMD1,COX8A,NDUFA9,CSNK2A1,TUBB,ADRM1,NDUFC2,SDHC,SDHA,MAPK12,SEM1,PSMC5,PIK3CA,NDUFS6,DDIT3,PSMC2,VDAC3,PPIF,VDAC2,BAX	0.013239482767998724	0	0
19	Pentose and glucuronate interconversions	0.0009528204840690798	4.247538461538461	29.54623450729074	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT2A1,UGT1A9,UGT1A7,XYLB,UGT1A6	0.015345424638165179	0	0
20	Parkinson disease	0.001091998123866877	1.8766578289523521	12.798329947061593	NDUFB5,NDUFA10,NDUFA4L2,COX5A,ATP5MC1,TUBA1C,PSMB7,UCHL1,TUBA3D,KLC3,PSMD4,TUBB3,PSMD2,PSMD1,COX8A,NDUFA9,TUBB,ADRM1,SEPTIN5,NDUFC2,SDHC,SDHA,SEM1,PSMC5,NDUFS6,DDIT3,PSMC2,VDAC3,PPIF,VDAC2,BAX,CALM1,TP53,NFE2L2	0.01621271733344756	0	0
21	Cellular senescence	0.0011126374640601266	2.153456899087967	14.645707721676493	CXCL8,CDKN2A,IGFBP3,LIN9,FOXM1,MAPK12,CCNB1,PPP3R1,RBL1,PIK3CA,RBBP4,CCNE1,CDK4,RHEB,CHEK2,VDAC3,CDK1,MDM2,VDAC2,E2F3,NBN,CALM1,TP53,HRAS	0.01621271733344756	0	0
22	Cysteine and methionine metabolism	0.0014364259374377165	3.3295809881175735	21.794096121260136	MPST,LDHB,MTAP,LDHA,GCLC,MDH2,GSS,APIP,PHGDH,KYAT1,BCAT1	0.018308461340870257	0	0
23	p53 signaling pathway	0.0014413415714942296	2.803509728050575	18.34106794226311	RRM2,CDKN2A,IGFBP3,SIAH1,CCNB1,COP1,SESN3,CCNE1,CDK4,CHEK2,CDK1,MDM2,BAX,TP53	0.018308461340870257	0	0
24	Spliceosome	0.0014609514245436394	2.144176997280256	13.99861845093991	ISY1,RBM17,NCBP2,ALYREF,SRSF1,THOC1,PRPF40B,THOC3,MAGOHB,LSM4,U2SURP,CHERP,PRPF4,HNRNPM,LSM7,SNRPD2,PUF60,SNRPD1,TRA2B,SNRPE,SNRPC,HNRNPA1,SNRPB	0.018308461340870257	0	0
25	Porphyrin and chlorophyll metabolism	0.0014957893252344982	3.576107450385834	23.262940991013036	ALAD,UGT1A1,UGT1A5,CPOX,UGT1A3,UGT2A1,UGT1A9,EARS2,UGT1A7,UGT1A6	0.018308461340870257	0	0
26	Ascorbate and aldarate metabolism	0.0017254906083032278	4.288393221128647	27.28380343320949	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT2A1,UGT1A9,UGT1A7,UGT1A6	0.020307697159261066	0	0
27	Alzheimer disease	0.0020995074805143375	1.6501713327500729	10.175043063230824	NDUFB5,CHRNA7,NDUFA10,NDUFA4L2,PSEN2,ATP2A2,ATP2A1,FZD10,IDE,COX5A,RTN4,ATP5MC1,APH1A,TUBA1C,PSMB7,PPP3R1,TUBA3D,KLC3,PSMD4,TUBB3,PSMD2,PSMD1,HRAS,COX8A,NDUFA9,CSNK2A1,TUBB,WNT7B,FZD6,WNT5A,ADRM1,NDUFC2,SDHC,SDHA,SEM1,PSMC5,PIK3CA,NDUFS6,DDIT3,PSMC2,VDAC3,PPIF,VDAC2,CALM1,GAPDH	0.023794418112495826	0	0
28	One carbon pool by folate	0.0034258103943641638	5.049904030710173	28.665362218272648	ALDH1L1,ATIC,SHMT2,MTHFD2,SHMT1,TYMS	0.03743921359555122	0	0
29	Bladder cancer	0.003871087579001056	3.317127403846154	18.424054650022317	CXCL8,CDKN2A,CDK4,MDM2,E2F3,HRAS,FGFR3,TP53,TYMP	0.04084664824739045	0	0
