Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Parkinson disease	1.5626505886218804e-07	3.1287886249241885	49.033474790155154	COX7B,NDUFA12,NDUFB5,NDUFA10,COX7A2,COX5A,ATP5MC1,PSMD8,TUBA1C,UCHL1,ATP5F1B,PSMD4,COX8A,NDUFA9,TUBB,SEPTIN5,NDUFA1,NDUFC2,SDHC,SDHA,SEM1,PSMA4,PSMC6,GNAL,PSMA1,PSMA2,NDUFS6,DDIT3,VDAC3,CALM1,NFE2L2,SLC25A6	2.106169755854179e-05	0	0
2	Alzheimer disease	1.8018309590095638e-07	2.6634943181818183	41.36218181603187	COX7B,NDUFA12,NDUFB5,NDUFA10,ATP2A2,COX7A2,ATP2A1,FZD10,IDE,COX5A,RTN4,ATP5MC1,PSMD8,APH1A,TUBA1C,ATP5F1B,PSMD4,HRAS,COX8A,NDUFA9,CSNK2A1,WNT5B,TUBB,WNT7B,FZD6,WNT5A,NDUFA1,NDUFC2,SDHC,SDHA,SEM1,PSMA4,PSMC6,PSMA1,PSMA2,NDUFS6,DDIT3,VDAC3,CALM1,GAPDH,SLC25A6	2.106169755854179e-05	0	0
3	Huntington disease	2.5056102726426005e-07	2.8337476459510356	43.071726789659465	DCTN5,COX7B,NDUFA12,HDAC1,NDUFB5,NDUFA10,CACNA1B,COX7A2,COX5A,ATP5MC1,PSMD8,TUBA1C,ATP5F1B,PSMD4,POLR2I,AP2M1,COX8A,NDUFA9,GPX2,KCNJ10,DNAH17,TUBB,NDUFA1,NDUFC2,SDHC,SDHA,SOD1,SEM1,PSMA4,PSMC6,PSMA1,PSMA2,NDUFS6,VDAC3,HAP1,SLC25A6	2.106169755854179e-05	0	0
4	Pathways of neurodegeneration	2.9664362758509565e-07	2.401731894380196	36.09979402605984	RYR1,DCTN5,COX7B,TOMM40,NDUFB5,NDUFA12,NDUFA10,CACNA1B,ATP2A2,COX7A2,ATP2A1,FZD10,COX5A,ATP5MC1,PSMD8,TUBA1C,UCHL1,ATP5F1B,PSMD4,HRAS,NDUFA9,COX8A,GPX2,CSNK2A1,DNAH17,WNT5B,WNT7B,TUBB,FZD6,WNT5A,SEPTIN5,NDUFA1,NDUFC2,SDHC,SDHA,SOD1,SEM1,PSMA4,PSMC6,PSMA1,PSMA2,NDUFS6,DDIT3,VDAC3,HAP1,CALM1,TARDBP,SLC25A6	2.106169755854179e-05	0	0
5	Prion disease	1.249206803057979e-06	2.813623400809339	38.2455878549926	RYR1,COX7B,NDUFA12,NDUFB5,NDUFA10,CACNA1B,COX7A2,COX5A,ATP5MC1,PSMD8,TUBA1C,STIP1,ATP5F1B,PSMD4,COX8A,NDUFA9,CSNK2A1,TUBB,NDUFA1,NDUFC2,SDHC,SDHA,SOD1,SEM1,PSMA4,PSMC6,PSMA1,PSMA2,NDUFS6,DDIT3,VDAC3,SLC25A6	7.095494641369321e-05	0	0
6	Metabolism of xenobiotics by cytochrome P450	1.617722781627948e-06	5.161763109325806	68.82948417958245	GSTM4,CBR1,GSTM3,GSTM2,UGT1A1,GSTP1,AKR1C1,ADH7,ALDH3A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,CBR3,UGT1A6	7.657221166372288e-05	0	0
7	Drug metabolism	8.640846016585067e-06	3.9239035300982206	45.74883073720464	GSTM4,GSTM3,GSTM2,RRM1,RRM2,UGT1A1,GSTP1,ADH7,CYP2C19,ALDH3A1,UCK2,UGT1A5,UGT1A3,UMPS,UGT1A9,UGT1A7,UGT1A6	0.0003126575548061108	0	0
8	Glutathione metabolism	8.807255064960867e-06	5.583865053171984	64.99582479882052	GSTM4,GSTM3,G6PD,GPX2,GSTM2,RRM1,GCLC,RRM2,GSTP1,GSS,GSR,PGD	0.0003126575548061108	0	0
9	DNA replication	2.7394314452523033e-05	6.963450292397661	73.15226439780041	FEN1,POLA2,RNASEH2A,RFC4,RFC2,RPA3,POLD2,MCM3,MCM4	0.0008644428116129491	0	0
10	Hepatocellular carcinoma	3.1422194432263704e-05	3.0050793650793652	31.156651094309876	GSTM4,GSTM3,NQO1,GSTM2,SMAD4,WNT5B,CDKN2A,GSTP1,TXNRD1,WNT7B,WNT5A,FZD6,ACTL6A,KEAP1,TGFA,FZD10,GADD45G,CDK4,DPF1,HRAS,NFE2L2	0.0008753620306286993	0	0
