Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	RPS14 DN.V1 UP	4.897020068439039e-08	3.9917371959990633	67.18913553044003	TNFAIP2,PTPN22,HLA-DMA,CLEC7A,SPTLC3,ANXA6,ITGAX,SH3BP5,CTSH,ST3GAL6,PTGDS,TRIM22,VWF,SLC31A2,ANXA3,CRIM1,DCN,HCK,TYROBP,CACNB4,CDC42EP3,ARHGEF3,MNDA,CD69,HLA-DQB1	9.010516925927832e-06	0	0
2	ATF2 S UP.V1 DN	1.1934750343755347e-07	3.9214518571758608	62.51275188124727	ITIH5,IL4R,IL1R1,ADH1B,CELF2,SDC3,TMEM176A,ITPR1,PDE4DIP,C4BPA,ABCA8,FOS,SORBS1,SMAD6,SLC7A7,PLN,DES,SERPING1,SVEP1,ST3GAL6,SLIT3,CD302,CRELD1,A2M	1.0979970316254919e-05	0	0
3	RAF UP.V1 UP	1.0872083423373355e-06	3.53404608176212	48.529157851431535	CCR1,ZNF331,CAST,PRKCH,SLC31A2,HPGD,C4ORF19,CRIM1,TBC1D2B,CORO1A,SOCS2,SGCE,SDCBP,CRISPLD2,GJA5,NEDD4,CDC42EP3,ARHGEF3,GRB10,PPARG,KCNN4,FERMT2,JAM2	6.668211166335658e-05	0	0
4	KRAS.KIDNEY UP.V1 UP	1.7796007409390743e-06	3.996031746031746	52.90394989013803	MEF2C,SYT1,PCDH9,LIMCH1,LMO3,PLCL1,AQP4,ANK2,ATP1A2,SORBS1,DUSP6,DNM3,CA2,PECAM1,SPARCL1,NDN,ST3GAL6,A2M,ASPA	7.765141067987233e-05	0	0
5	CRX DN.V1 DN	2.308019444945813e-06	4.108527686364287	53.32507708710265	CADPS2,EGR1,PPP1R14A,MYOCD,STEAP4,TMEM176A,RNASE4,FMN1,GNG11,SOCS3,COL4A2,GLIPR2,GDAP1L1,SERPING1,MAP3K8,RGL3,TECTA,TGM2	7.765141067987233e-05	0	0
6	ERB2 UP.V1 UP	2.5321112178219237e-06	3.456312597213421	44.53962411102926	CAST,CADPS2,VIPR1,EDN1,PARM1,SERPINA1,IL1R1,LIMCH1,LMO3,KRT7,DUSP6,PAPSS2,PNRC1,DOCK10,SDCBP,DAB2,MUC1,MGAT4A,ANXA6,KCNN4,FGFR4,ABCG1	7.765141067987233e-05	0	0
7	MEK UP.V1 UP	3.8845584030184365e-06	3.356114015315013	41.81215064750071	CADPS2,MEF2C,EDN1,PRKCH,IL4R,PARM1,PCDH9,LIMCH1,GPX3,KRT7,NEDD9,CORO1A,SGCE,SDCBP,ARHGDIB,TIMP2,PPARG,KCNN4,TNS3,FERMT2,ABCG1,CCNJL	0.00010210839230791318	0	0
8	CSR LATE UP.V1 DN	5.192089424317452e-06	3.533795654184004	43.00054841499238	ACVRL1,ANKRD29,SFTPB,TNXB,CFH,MME,SGIP1,TSC22D3,DENND2A,DDX60L,TBC1D2B,CLEC3B,P2RX4,SVEP1,PDE5A,XAF1,VAMP5,TRIM22,PRKG1,APOL3	0.0001194180567593014	0	0
9	EGFR UP.V1 UP	1.0411680801230641e-05	3.2366521317829458	37.13275772569325	CADPS2,EDN1,IL4R,PCDH9,IL1R1,FNDC3B,KRT7,TFPI,DUSP6,PAPSS2,RND1,SOCS2,SDCBP,CRISPLD2,RNF19A,IRF1,MGAT4A,A2M,TNS3,FERMT2,MGLL	0.00021286102971404864	0	0
10	ATF2 UP.V1 DN	2.16309324470905e-05	3.1712441967659686	34.06355868354263	ITIH5,CFH,IL1R1,LIMCH1,CELF2,SDC3,PDE4DIP,RNASE4,ABCA8,FOS,SMAD6,AFF1,MFAP4,PLN,SLCO4A1,ARHGEF3,SVEP1,SLIT3,CD302,SCRG1	0.00039800915702646513	0	0
11	KRAS.600 UP.V1 UP	2.6708932178873655e-05	2.6468826192964126	27.873030534920424	NRP1,CSF3,DOCK4,SEMA3A,HPN,ATP1A2,TFPI,CXCL5,ST3GAL6,A2M,TGM2,SYT1,PCDH9,LIMCH1,LMO3,NTRK3,LAPTM5,RNASE1,GNG11,DUSP6,DNM3,NAV3,SLCO4A1,MGAT4A,TLR4,CCNJL	0.00041816654000118475	0	0
12	ESC V6.5 UP LATE.V1 UP	2.7271730869642483e-05	3.114791547687036	32.7353997992767	PARM1,GPX3,TNNC1,HPN,KRT7,CYBA,HNF1B,SH3RF1,SGCE,DAB2,COL4A2,COL4A1,PODXL,CA4,CTSH,RGL3,SLIT3,ZNF521,PDZRN3,CD55	0.00041816654000118475	0	0
13	JNK DN.V1 UP	3.1729964983618864e-05	3.0782504918878817	31.885285251554	STARD13,CD83,UHRF2,ELN,TNNC1,HNF1B,PTPN22,PAPSS2,SYNE1,TBX2,MRAS,SLC7A7,SLCO2B1,SCNN1B,CCL4,PECAM1,S1PR1,EFHD1,CD37,SCN2B	0.000449101042845067	0	0
14	MEL18 DN.V1 DN	3.552357862354843e-05	3.4285352789844374	35.12642013457419	EGR1,IL1R1,AK1,TMEM176A,UNC5C,FOS,SOCS2,SH3BGRL,PLN,CA2,STK17B,EFHD1,PDE5A,DMD,APOE,A2M,PPARGC1A	0.0004668813190523507	0	0
15	ESC J1 UP EARLY.V1 DN	3.8309046891956086e-05	3.1412828947368423	31.946295676451765	EGR1,NAPSA,EDN1,TAGLN,WSB1,ANXA3,ANXA5,VWA5A,RNASE4,PTPN22,ARHGEF10L,STK4,DUSP6,CNN1,SOCS3,ZFP36,MRAS,TRPS1,LIMS2	0.00046992430854132805	0	0
16	CORDENONSI YAP CONSERVED SIGNATURE	4.0908535537886195e-05	5.591873562883837	56.50125129651627	DAB2,PDLIM2,COL4A3,CRIM1,PMP22,FGF2,THBS1,GLS,TNS1,TGM2	0.00047044815868569126	0	0
17	LTE2 UP.V1 UP	8.636424901891282e-05	2.9375192366882117	27.48618170632685	EDN1,PRKCH,SERPINA1,PCDH9,IL1R1,GPX3,C4ORF19,PNRC1,SDCBP,DAB2,P2RX4,DPYSL2,MGAT4A,ANXA6,CD302,FGFR4,TNS3,FERMT2,SASH1	0.0008828345455266643	0	0
18	IL15 UP.V1 DN	8.636424901891282e-05	2.9375192366882117	27.48618170632685	SNRPN,ATP8A1,SYT1,VWF,ACTN2,TSC22D3,PLCL1,TNFAIP2,FASLG,LRP2BP,PNRC1,MYLK,FSTL3,SELP,PARP11,MMP19,PTGDS,TNS3,PRKG1	0.0008828345455266643	0	0
19	ESC J1 UP LATE.V1 UP	9.265402846054871e-05	2.920287637698898	27.119654514446278	PDGFRA,PARM1,CITED2,GPX3,CRIM1,KRT7,PTPN21,HNF1B,SGCE,DAB2,P2RX4,COL4A2,COL4A1,PODXL,HNF4A,CA4,CTSH,RGL3,CD55	0.0008972811177232086	0	0
20	TGFB UP.V1 UP	9.934513665162398e-05	2.903255247946456	26.759043900433248	EDN1,TAGLN,PLEKHA1,JMJD1C,TBC1D2B,RNASE4,SMAD6,NFATC4,HS3ST2,HRH1,SLC7A6,PMP22,RAPGEF2,TRIB1,KCNN4,LMCD1,ABCG1,FERMT2,JAM2	0.0009139752571949405	0	0
21	BMI1 DN MEL18 DN.V1 DN	0.00011415772751682718	3.222405896288497	29.252773518270917	IL1R1,GPX3,LMO3,AK1,TMEM176A,UNC5C,FOS,SOCS2,FCGRT,CA2,EFHD1,CTSH,PDE5A,APOE,A2M,PPARGC1A	0.0010002391363379145	0	0
22	P53 DN.V2 UP	0.00012368917831954797	3.197826541274817	28.773207836292332	CD83,NTRK3,RORC,C4BPA,FPR3,IKZF1,CXCL5,SYN1,POU6F1,HS3ST2,CLEC1A,CA3,CCL4,CD69,XAF1,APOL3	0.001034491309581674	0	0
23	PTEN DN.V2 UP	0.0002779120034156308	3.0880358987603307	25.28547416355741	IL4R,COL13A1,BNC2,ANXA3,VPS13C,HSPB7,DENND2A,CHRDL1,ANO2,RND1,NAV3,ARHGDIB,PTGDS,VAMP5,APOL3	0.0022232960273250463	0	0
24	KRAS.300 UP.V1 UP	0.000348207029073551	3.0168443631316637	24.022266866923953	CSF3,DOCK4,SYT1,LMO3,SEMA3A,HPN,ATP1A2,TFPI,RNASE1,CXCL5,DUSP6,DNM3,NAV3,ST3GAL6,A2M	0.0026695872228972243	0	0
25	KRAS.600.LUNG.BREAST UP.V1 UP	0.00048330858930315245	2.29601093183371	17.529711018408168	PPP1R15A,CSF3,DOCK4,CD160,SEMA3A,HPN,LPL,TFPI,RNASE1,GNG11,ETS1,HDAC9,ANO2,CXCL5,CLDN5,NAV3,SLCO4A1,TRIM46,ST3GAL6,CD37,NCAM1,A2M,MGLL	0.003557151217271202	0	0
26	ESC V6.5 UP EARLY.V1 DN	0.0006811884156011315	2.7024580017683464	19.705436302739155	TAGLN,WSB1,ANXA3,CAV1,ANXA5,GPCPD1,FGF2,SOCS3,MRAS,COL4A2,COL4A1,MGP,TIMP2,PMP22,CD37,B2M	0.004820718018100315	0	0
27	MTOR UP.N4.V1 DN	0.0008719028637366336	2.5459175665494724	17.93556290440238	CD52,MME,CRBN,TPM2,PLCL1,ANXA5,GIMAP6,TFPI,CLK4,FBLN5,PNRC1,ELF2,BIN2,ADORA2A,DMXL1,S1PR1,SPRY1	0.005941856552871873	0	0
28	PRC2 EZH2 UP.V1 DN	0.0009235681554989732	2.5314011923713204	17.687573381926356	SLC14A1,EDN1,MCTP1,COL13A1,PCDH9,GFPT2,SEMA3A,VWA5A,AATK,FPR3,PTPRB,ABLIM3,TBXAS1,IRF8,DMD,TRIB1,CCNJL	0.006069162164707538	0	0
