Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Dilated cardiomyopathy	8.2410197386233e-09	5.675498269483232	105.64452926730861	LAMA2,ITGA3,TNNC1,ADCY4,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,TTN,SLC8A3,CACNG8,PLN,DES,SGCA,MYL3,ITGA7,ITGB7,DMD,ITGB6,ITGA9	2.1905339557961043e-06	0	0
2	Hypertrophic cardiomyopathy	1.5426295463352847e-08	5.7664013526231	103.72136992801634	LAMA2,ITGA3,TNNC1,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,TTN,SLC8A3,CACNG8,IL6,DES,SGCA,MYL3,ITGA7,ITGB7,DMD,ITGB6,ITGA9	2.1905339557961043e-06	0	0
3	Arrhythmogenic right ventricular cardiomyopathy	4.351828121528569e-08	6.09502824858757	103.3112452411137	TCF7L2,LAMA2,ACTN2,ITGA3,CACNA2D2,CACNA1D,CACNA2D4,CACNA1C,SLC8A3,CACNG8,DES,SGCA,ITGA7,ITGB7,DMD,ITGB6,ITGA9	4.119730621713712e-06	0	0
4	ECM-receptor interaction	8.420260131208506e-06	4.407267841423298	51.498351058293636	TNXB,VWF,LAMA2,ITGA3,LAMA4,NPNT,HSPG2,THBS1,COL4A2,COL4A1,COL4A3,ITGA7,ITGB7,ITGB6,ITGA9	0.0005978384693158039	0	0
5	Cell adhesion molecules	1.1328931414309228e-05	3.3606150793650795	38.27119131156906	SELPLG,CADM1,ICAM2,PTPRM,SELE,SELP,CDH5,CLDN5,HLA-DMA,PTPRC,PECAM1,ESAM,ITGB7,NCAM1,NCAM2,HLA-DOA,CD34,JAM2,HLA-DPA1,ITGA9	0.0006434833043327641	0	0
6	Hematopoietic cell lineage	3.6018078401398105e-05	3.827911096794975	39.165232453096394	CSF1R,CSF3,CSF3R,IL1R1,ITGA3,IL5RA,EPOR,IL6,HLA-DMA,IL7,CD37,HLA-DOA,CD34,CD55,HLA-DPA1	0.0017048557109995105	0	0
7	Malaria	6.577494856748069e-05	5.341367713004484	51.433479959209485	SELP,CSF3,IL6,HGF,PECAM1,HBA2,ACKR1,TLR4,THBS1,SELE	0.002668583627594931	0	0
8	Complement and coagulation cascades	0.00010657099323809941	3.8641732283464565	35.34443014438786	C1QB,C1QA,VWF,CFH,F10,C4BPA,PLAT,TFPI,ITGAX,SERPING1,VSIG4,A2M,CD55	0.003783270259952529	0	0
9	Transcriptional misregulation in cancer	0.0011278634270965756	2.353871130342566	15.976736017016037	CSF1R,MEF2C,SPI1,HPGD,JMJD1C,PLAT,MITF,ETV1,FLI1,AFF1,IL6,MEIS1,ID2,NFKBIZ,RARA,ITGB7,PPARG,ERG,RUNX1T1	0.035051130032639	0	0
10	Adrenergic signaling in cardiomyocytes	0.0012341947194591198	2.5557090394528488	17.116443613739463	TNNC1,ADCY4,CACNA2D2,CACNA1D,ATP1A2,CACNA2D4,ADRB2,CACNA1C,ADRA1A,KCNE1B,SLC8A3,CACNG8,PLN,MYL3,AGTR1,SCN7A	0.035051130032639	0	0
11	Pathways in cancer	0.0019959708949706563	1.7089986716784897	10.624203325360858	ALK,CSF1R,SPI1,CSF3R,LAMA2,EPAS1,LAMA4,ADCY4,IL5RA,RASGRP2,ETS1,CCND3,EDNRB,STAT4,RUNX1T1,STAT5A,TCF7L2,ITGA3,DAPK2,HGF,MMP2,PTCH2,MITF,FOS,AXIN2,GNG11,ESR1,EPOR,IL6,COL4A2,COL4A1,IL7,COL4A3,AGTR1,RARA,PPARG,IL6ST,FGFR4,GSTM5	0.046478216156683454	0	0
12	Regulation of actin cytoskeleton	0.002120517848450261	2.1645021645021645	13.324880848462996	CHRM1,ITGA3,IQGAP1,IQGAP2,SSH2,MYLK,TIAM1,ACTR3C,DIAPH2,MRAS,CFL2,SPATA13,ITGAX,ITGA7,ITGB7,ITGB6,FGFR4,MYH10,VCL,ITGA9	0.046478216156683454	0	0
13	Pertussis	0.0021275239790031156	3.232776192417448	19.89061380471486	C1QB,C1QA,IL6,CFL2,SERPING1,C4BPA,NOD1,FOS,TLR4,CXCL5	0.046478216156683454	0	0
14	Cortisol synthesis and secretion	0.002453616910832798	3.4270116781314988	20.596998353220147	NR4A1,CYP21A2,AGTR1,ADCY4,ITPR1,CACNA1D,CACNA1C,KCNK3,CACNA1G	0.049773371619751046	0	0
