Rank	Term name	P-value	Z-score	Combined score	Overlapping genes	Adjusted p-value	Old p-value	Old adjusted p-value
1	Glycolysis / Gluconeogenesis	6.297524546339684e-08	6.047577756833176	100.2720088461468	GPI,TPI1,PDHA1,PGAM1,ENO1,PDHB,ENO2,ADH7,ALDH3A1,LDHB,LDHA,PKM,PGM2,ALDOA,DLD,GAPDH,PGM1	1.901852412994585e-05	0	0
2	RNA transport	2.4123739414713744e-07	3.3042387958201016	50.34828694106983	EIF4A2,NUP205,NUP62,EIF4E,RAE1,PAIP1,EIF2B5,PRMT5,EIF1AY,NCBP2,ALYREF,RPP40,EIF2S2,RANGAP1,SENP2,NUP93,EIF5,CLNS1A,NUP50,EEF1A2,EIF3J,TACC3,STRAP,RNPS1,NUP54,PABPC1,TARDBP,RAN,EIF4G1	2.6566761034435905e-05	0	0
3	Drug metabolism	2.6390822219638315e-07	4.301210321991322	65.15329063236712	GSTM4,GSTM3,GSTM2,RRM2,UGT1A1,GSTP1,NME2,NME4,ADH7,NME1,TYMP,ALDH3A1,CYP2C9,UCK2,UGT1A5,UGT1A3,TK1,UMPS,UGT1A9,UGT1A7,UGT1A6	2.6566761034435905e-05	0	0
4	Metabolism of xenobiotics by cytochrome P450	2.308649566227351e-06	4.736220966729442	61.470691111020614	GSTM4,CBR1,GSTM3,GSTM2,UGT1A1,GSTP1,AKR1C1,ADH7,ALDH3A1,CYP2C9,UGT1A5,UGT1A3,UGT1A9,UGT1A7,CBR3,UGT1A6	0.00016958904882066463	0	0
5	Cell cycle	2.807765708951401e-06	3.6299749244518744	46.40241054574287	HDAC1,CDKN2A,PLK1,PKMYT1,YWHAZ,ANAPC10,ORC4,CCNB1,WEE1,ORC6,DBF4,TFDP1,CDC45,PTTG1,CDK4,CDK1,MDM2,MCM3,MCM4,MCM5,E2F3	0.00016958904882066463	0	0
6	Huntington disease	3.7373969281269697e-06	2.464605451578229	30.8004730321124	COX7B,HDAC1,NDUFB5,NDUFA10,CACNA1B,COX7A2,COX5A,ATP5MC1,PSMD8,TUBA1C,ATP5F1B,PSMD4,PSMD2,POLR2D,AP2S1,POLR2E,POLR2H,POLR2I,AP2M1,COX8A,NDUFA9,GPX2,TUBB,ADRM1,NDUFA1,SDHC,SDHA,SOD1,SEM1,PSMA4,PSMC3,NDUFS7,NDUFS6,VDAC3,TBPL1,HAP1,PLCB1	0.00018811564538239082	0	0
7	Parkinson disease	4.668431813173532e-06	2.6370372981117445	32.368808345766	COX7B,NDUFB5,NDUFA10,COX7A2,COX5A,GNAI1,ATP5MC1,PSMD8,TUBA1C,UCHL1,ATP5F1B,PSMD4,PSMD2,DRD2,COX8A,NDUFA9,HSPA5,TUBB,ADRM1,SEPTIN5,NDUFA1,SDHC,SDHA,SEM1,PSMA4,PSMC3,NDUFS7,NDUFS6,DDIT3,VDAC3,CALM1,NFE2L2	0.00020140948679691525	0	0
8	Pyrimidine metabolism	6.524914614867622e-06	5.359253193580085	63.988854441026135	DTYMK,RRM2,ENTPD3,NME2,CTPS1,NME4,TYMS,NME1,TYMP,UCK2,NT5M,TK1,UMPS	0.0002463155267112527	0	0
9	Retinol metabolism	1.2876742620695345e-05	4.597465886939571	51.76786941292533	DGAT1,UGT1A1,ADH7,DHRS4,CYP26A1,CYP2C9,RDH10,ALDH1A1,UGT1A5,PNPLA4,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.0004320862523833327	0	0
10	Amyotrophic lateral sclerosis	1.572124787660268e-05	2.2119936249672922	24.46574972151022	NUP205,COX7B,NDUFB5,NDUFA10,DERL1,COX7A2,COX5A,ACTG1,ATP5MC1,PSMD8,TUBA1C,ATP5F1B,PSMD4,PSMD2,NUP62,HNRNPA1,RAE1,COX8A,NDUFA9,GPX2,HSPA5,TUBB,ALYREF,ADRM1,NDUFA1,CHCHD10,SDHC,SDHA,SOD1,NUP93,SEM1,PSMA4,PSMC3,NDUFS7,NDUFS6,DDIT3,NUP50,NUP54,HAP1,TARDBP	0.00047478168587340095	0	0
11	Prion disease	3.096289763945573e-05	2.3713811953063635	24.621389147264235	RYR1,COX7B,NDUFB5,NDUFA10,CACNA1B,COX7A2,COX5A,ATP5MC1,PSMD8,TUBA1C,STIP1,ATP5F1B,PSMD4,PSMD2,COX8A,NDUFA9,CSNK2A1,HSPA5,TUBB,ADRM1,NDUFA1,SDHC,SDHA,SOD1,SEM1,PSMA4,PSMC3,NDUFS7,PIK3CA,NDUFS6,DDIT3,VDAC3	0.0008500722806468755	0	0
12	Alzheimer disease	4.7863878904240306e-05	2.114760696473882	21.035840660484705	COX7B,NDUFB5,CHRNA7,NDUFA10,ATP2A2,COX7A2,ATP2A1,FZD10,COX5A,ATP5MC1,PSMD8,APH1A,TUBA1C,ATP5F1B,PSMD4,PSMD2,HRAS,COX8A,NDUFA9,CSNK2A1,TUBB,WNT7B,FZD6,WNT5A,ADRM1,NDUFA1,SDHC,SDHA,SEM1,PSMA4,PSMC3,NDUFS7,PIK3CA,NDUFS6,DDIT3,VDAC3,CALM1,PLCB1,GAPDH	0.0012045742857567144	0	0
13	Steroid hormone biosynthesis	8.480265662684124e-05	4.335796607573611	40.64888962768714	DHRS11,UGT1A1,SRD5A1,HSD17B1,AKR1C1,UGT1A5,AKR1C3,AKR1C2,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.001951974593787398	0	0
14	Pathways of neurodegeneration	9.048888845372043e-05	1.921446124934497	17.889208142189933	RYR1,COX7B,NDUFB5,CHRNA7,NDUFA10,DERL1,CACNA1B,ATP2A2,COX7A2,ATP2A1,FZD10,COX5A,ATP5MC1,PSMD8,TUBA1C,UCHL1,ATP5F1B,PSMD4,PSMD2,HRAS,NDUFA9,COX8A,GPX2,CSNK2A1,HSPA5,WNT7B,TUBB,FZD6,ADRM1,WNT5A,SEPTIN5,NDUFA1,SDHC,SDHA,SOD1,SEM1,PSMA4,PSMC3,NDUFS7,NDUFS6,DDIT3,VDAC3,HAP1,PLCB1,CALM1,TARDBP	0.001951974593787398	0	0
15	Diabetic cardiomyopathy	0.0001001095005901413	2.500080028169916	23.023851911991994	COX7B,NDUFB5,NDUFA10,SLC2A1,ATP2A2,COX7A2,ATP2A1,PDHB,COX5A,ATP5MC1,ATP5F1B,COX8A,NDUFA9,PDHA1,GSR,NDUFA1,SDHC,SDHA,COL1A1,NDUFS7,PIK3CA,NDUFS6,VDAC3,PLCB1,GAPDH	0.0020155379452148447	0	0
16	Citrate cycle (TCA cycle)	0.00014019381895851856	6.423109600679694	56.988941476359024	PDHA1,MDH1,MDH2,SDHC,PDHB,SDHA,DLD,IDH3A	0.002646158332842038	0	0
17	Glutathione metabolism	0.00019877885782943472	4.2303899596593455	36.05695727562903	GSTM4,GGCT,GSTM3,GPX2,GSTM2,GCLC,RRM2,GSTP1,GSS,GSR,PGD	0.003531247944969958	0	0
18	Cysteine and methionine metabolism	0.0002836036403316348	4.419943820224719	36.1018046657665	IL4I1,LDHB,LDHA,GCLC,MDH1,MDH2,GSS,APIP,PHGDH,BCAT1	0.00452820773623028	0	0
19	Oxidative phosphorylation	0.00028488724168336196	2.7770795734208367	22.670458875500827	COX8A,NDUFA9,COX7B,NDUFB5,NDUFA10,NDUFA1,SDHC,COX7A2,SDHA,COX5A,ATP5MC1,ATP5F1B,PPA2,NDUFS7,NDUFS6,ATP6V1E1,ATP5MF,LHPP	0.00452820773623028	0	0
20	One carbon pool by folate	0.00048755901876727017	7.559168443496802	57.64696850062066	ALDH1L1,ATIC,MTHFD1L,SHMT2,MTHFD2,TYMS	0.00736214118338578	0	0
21	DNA replication	0.0005435911149449171	5.0451268357810415	37.92579866252828	FEN1,RNASEH2A,RFC4,RFC2,POLD2,MCM3,MCM4,MCM5	0.007817357938731666	0	0
22	Hepatocellular carcinoma	0.0007387558180608683	2.397946150309099	17.290494101200096	GSTM4,GSTM3,NQO1,GSTM2,CDKN2A,GSTP1,TXNRD1,WNT7B,WNT5A,FZD6,KEAP1,TGFA,FZD10,ACTG1,PIK3CA,CDK4,DPF1,E2F3,HRAS,NFE2L2	0.009960845203159924	0	0
23	mRNA surveillance pathway	0.0007586074161346962	2.950814536340852	21.19872880077132	HBS1L,NCBP2,ALYREF,CPSF2,PPP2R2A,PPP2R3B,MSI2,PABPN1,PPP2R1A,PPP2R2B,CSTF1,RNPS1,PABPC1,TARDBP	0.009960845203159924	0	0
24	Pyruvate metabolism	0.0007922962873288504	4.183841268278273	29.87503293300917	LDHB,LDHA,PDHA1,PKM,MDH1,MDH2,PDHB,ADH7,DLD	0.009969728282221368	0	0
25	Ascorbate and aldarate metabolism	0.0008841747380832959	5.37055981813015	37.75963190081775	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.010270029650044437	0	0
26	Pentose phosphate pathway	0.0008841747380832959	5.37055981813015	37.75963190081775	GPI,PGM2,TALDO1,PGD,ALDOA,TKT,PGM1	0.010270029650044437	0	0
27	Mismatch repair	0.0011051200510155711	6.224209833187006	42.37318383405596	MSH6,RFC4,MSH2,RFC2,EXO1,POLD2	0.012360972422470463	0	0
28	Central carbon metabolism in cancer	0.001230796359373259	3.295998602131749	22.083500037766605	LDHB,LDHA,PKM,PDHA1,PIK3CA,GLS2,PGAM1,SLC2A1,PDHB,HRAS,FGFR2	0.013275017876097294	0	0
29	Arachidonic acid metabolism	0.0014565015766754635	3.4646030696922963	22.629809883432188	CBR1,CYP2C9,GPX2,PLA2G12A,PTGES2,CYP4F3,AKR1C3,ALOX12B,PTGS1,CBR3	0.015167706074344482	0	0
30	Spinocerebellar ataxia	0.0018127443128989674	2.3901680056251218	15.088923599879596	RYR1,NOP56,ADRM1,ATP2A2,ATP2A1,PSMD8,SEM1,PSMA4,PSMD4,OPA1,PIK3CA,PSMC3,PSMD2,VDAC3,TBPL1,ATXN10,PLCB1	0.017951446569289844	0	0
31	Sphingolipid signaling pathway	0.0018426981577747852	2.5532780953759318	16.076777805475846	CERS4,ABCC1,PPP2R2A,PPP2R3B,PLD1,GNAI1,SMPD2,SGPL1,SPTLC2,PIK3CA,PPP2R1A,PPP2R2B,PLCB1,S1PR5,HRAS	0.017951446569289844	0	0
32	Pentose and glucuronate interconversions	0.0019358756457995253	4.5739530380053255	28.574378949362657	UGDH,UGT1A1,UGT1A5,UGT1A3,UGT1A9,UGT1A7,UGT1A6	0.01826982640723302	0	0
33	Chemical carcinogenesis	0.00255005081430807	1.9812364855919862	11.831234995089442	GSTM4,GSTM3,CBR1,GSTM2,JAG1,UGT1A1,GSTP1,CHRNA7,CACNA1B,AKR1C2,GNAI1,AR,CYP2C9,KLF5,PIK3CA,UGT1A5,BIRC5,UGT1A3,KPNA2,UGT1A9,HRAS,UGT1A7,KPNA1,UGT1A6	0.023336828664273855	0	0
34	Proteasome	0.0029103757218567946	3.715494343334973	21.696529241728697	PSMD8,SEM1,PSMA4,PSMD4,PSMC3,PSMD2,PSME3,ADRM1	0.025850984352963294	0	0
35	Hippo signaling pathway	0.0030730960801154416	2.1989980481457385	12.721357045582804	WNT7B,WNT5A,FZD6,PPP2R2A,SCRIB,FZD10,BMP7,YWHAZ,ACTG1,DLG1,PAK1,FRMD6,PPP2R1A,PPP2R2B,PARD3,SNAI2,BIRC5,AJUBA	0.026516429034138953	0	0
36	Human papillomavirus infection	0.0038603318309076203	1.7709099439527276	9.840950335265653	NOTCH3,ITGB4,HDAC1,PPP2R2A,FZD10,HEY1,PPP2R1A,SPP1,ATP6V1E1,HRAS,JAG1,LAMB3,WNT7B,FZD6,WNT5A,FN1,SCRIB,PPP2R3B,HLA-A,COL1A1,DLG1,PKM,PIK3CA,CDK4,RHEB,PPP2R2B,PARD3,MDM2,TBPL1,COL4A5	0.03238389480372504	0	0
37	Glyoxylate and dicarboxylate metabolism	0.004709751893590832	4.407182835820896	23.614214711609165	GCSH,MDH1,SHMT2,MDH2,AFMID,DLD	0.03844175869903868	0	0
38	Glycine, serine and threonine metabolism	0.00506685422267771	3.7411368587839178	19.77203969805946	GCSH,GAMT,SHMT2,PGAM1,PHGDH,DLD,GCAT	0.04026815724338601	0	0
39	HIF-1 signaling pathway	0.005797308974953763	2.393759780907668	12.328728069654675	EGLN3,PDHA1,SLC2A1,ENO1,PDHB,ENO2,LDHB,LDHA,PIK3CA,LTBR,ALDOA,GAPDH,EIF4E	0.04489198231887273	0	0
