Gene Symbol	Genome Location
BRD4	19:15235519-15280451
CALR	19:12938607-12944489
CRTC1	19:18683678-18782333
DNAJB1	19:14514770-14518420
DNM2	19:10718131-10831903
ELL	19:18442663-18522127
FSTL3	19:676365-683399
GNA11	19:3094410-3124004
JAK3	19:17824786-17848032
KEAP1	19:10486120-10503741
LYL1	19:13099033-13102867
MAP2K2	19:4090321-4124129
MLLT1	19:6210379-6279948
PRKACA	19:14091688-14117744
SH3GL1	19:4360370-4400547
SMARCA4	19:10960825-11062282
STK11	19:1206464-1228435
TCF3	19:1609290-1652329
TPM4	19:16067538-16102943
