Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
12P1	chr1	69381	125312698	13133	-0.292736
12P1	chr1	143281044	248918365	11298	0.00810427
12P1	chr2	41605	90525254	6751	-0.0221618
12P1	chr2	91283966	220514449	9949	-0.063998
12P1	chr2	220514449	242003780	2134	-0.273457
12P1	chr3	150500	124384342	9640	-0.294222
12P1	chr3	124384842	167576153	3140	0.217323
12P1	chr3	167576653	169565468	73	0.743124
12P1	chr3	169566540	177355715	413	0.871623
12P1	chr3	177355715	182484845	243	1.09443
12P1	chr3	182484845	198038669	1686	0.569078
12P1	chr4	59429	9172672	1190	-0.251001
12P1	chr4	9368889	45601226	1586	-0.331595
12P1	chr4	45601226	190026768	7876	-0.0743801
12P1	chr5	140305	47365108	2385	0.151487
12P1	chr5	49488671	180981772	9461	-0.320297
12P1	chr5	180982272	180997488	4	-21.8339
12P1	chr5	181002671	181260815	58	-0.364936
12P1	chr6	150500	32459319	3102	-0.341624
12P1	chr6	32741441	58266583	3247	-0.319395
12P1	chr6	58266583	139166803	4485	-0.0224475
12P1	chr6	139166803	170583749	2131	-0.273877
12P1	chr7	150500	46535559	3360	0.0013081
12P1	chr7	46535559	51017570	344	-0.271807
12P1	chr7	51025106	60159979	246	0.512474
12P1	chr7	60159979	143478798	6788	-0.00506747
12P1	chr7	143623899	159142547	1233	0.0412725
12P1	chr8	150500	7235829	320	-0.40119
12P1	chr8	7414960	7894772	53	0.416361
12P1	chr8	7896471	33895701	1944	-0.319249
12P1	chr8	33895701	37204027	76	0.10997
12P1	chr8	37204027	43963170	729	0.692107
12P1	chr8	43963170	125436473	4160	-0.036273
12P1	chr8	125436973	145054159	1624	0.30995
12P1	chr9	154630	11475294	593	0.148194
12P1	chr9	11475294	45525913	2018	-0.311442
12P1	chr9	60497470	138177264	7303	-0.0801598
12P1	chr10	49179	79614115	5246	-0.0231682
12P1	chr10	79907667	133626306	5045	0.00194856
12P1	chr11	150500	50877111	4954	0.0248653
12P1	chr11	51026130	134986058	9081	0.0110138
12P1	chr12	99144	6052785	706	0.477357
12P1	chr12	6057846	9443678	919	0.362967
12P1	chr12	9595271	109991762	9265	0.0320892
12P1	chr12	109996170	133234356	2751	-0.277808
12P1	chr13	15879861	57017795	2765	-0.0299957
12P1	chr13	57171357	114326283	2148	-0.0222836
12P1	chr14	15939217	106874055	7790	0.00198744
12P1	chr15	16962086	22542615	74	0.39799
12P1	chr15	22542722	67641981	5273	0.00416108
12P1	chr15	67646228	84444649	1962	0.273165
12P1	chr15	84603925	101922767	1368	0.272863
12P1	chr16	47427	38279231	5017	0.00575163
12P1	chr16	46324795	90094829	4664	0.0323157
12P1	chr17	156218	37874251	5856	-0.0391261
12P1	chr17	38195871	40095122	517	0.242294
12P1	chr17	40095441	83135126	7179	0.0339204
12P1	chr18	117084	20950881	1142	0.20796
12P1	chr18	20951381	80247350	3141	-0.100112
12P1	chr19	110970	8696948	2490	-0.224122
12P1	chr19	8697448	25027980	3817	0.0397937
12P1	chr19	27126811	36237321	1041	0.238003
12P1	chr19	36246030	38222710	378	0.726812
12P1	chr19	38230090	38360649	41	1.58388
12P1	chr19	38360728	58571429	5789	-0.278454
12P1	chr20	87707	64273602	6006	0.0253641
12P1	chr21	4942906	46664374	2529	-0.306842
12P1	chr22	10395631	50782296	4934	0.0316281
12P1	chrX	150500	2713919	139	-0.250061
12P1	chrX	2714419	120875450	7179	-0.58701
12P1	chrX	121047962	149549424	1284	-0.572501
12P1	chrX	149549924	156007790	1029	-0.456776
