Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
55A1	chr1	69381	125312698	13137	-0.0348758
55A1	chr1	143281044	152601018	1189	-0.04525
55A1	chr1	152601518	152614100	2	-22.1371
55A1	chr1	152622831	248918365	10108	-0.0277072
55A1	chr2	41605	90525254	6755	-0.0339185
55A1	chr2	91283966	242003780	12086	-0.0245409
55A1	chr3	150500	198038669	15202	-0.0262201
55A1	chr4	59429	9172672	1192	-0.0148543
55A1	chr4	9368889	190026768	9469	-0.0338775
55A1	chr5	140305	47365108	2385	-0.00791601
55A1	chr5	49488671	181260815	9524	-0.033859
55A1	chr6	150500	32459319	3101	-0.0181831
55A1	chr6	32741441	170583749	9868	-0.0243774
55A1	chr7	150500	143478798	10751	-0.0380422
55A1	chr7	143623899	159142547	1231	-0.00562158
55A1	chr8	150500	145054159	8909	-0.0192153
55A1	chr9	154630	45525913	2611	-0.0281616
55A1	chr9	60497470	138177264	7303	-0.0230486
55A1	chr10	49179	39637386	2566	-0.0363729
55A1	chr10	39933707	133626306	7732	-0.0335759
55A1	chr11	150500	89875073	10223	-0.0146966
55A1	chr11	90038692	134986058	3817	-0.0199368
55A1	chr12	99144	9443678	1625	-0.030999
55A1	chr12	9595271	133234356	12025	-0.0411075
55A1	chr13	15879861	57017795	2767	-0.0333514
55A1	chr13	57171357	114326283	2146	-0.0202987
55A1	chr14	15939217	106874055	7795	-0.0344335
55A1	chr15	16962086	84285874	7309	-0.0343225
55A1	chr15	84603925	101922767	1370	-0.00342812
55A1	chr16	47427	38428223	5019	-0.0219876
55A1	chr16	46324795	90094829	4667	-0.0280338
55A1	chr17	156218	37873703	5849	-0.0233816
55A1	chr17	38195871	83135126	7702	-0.0399079
55A1	chr18	117084	80247350	4285	-0.0212878
55A1	chr19	110970	25027980	6315	-0.0439441
55A1	chr19	27126811	58571429	7254	-0.046625
55A1	chr20	87707	64273602	6010	-0.0249625
55A1	chr21	4942906	46664374	2529	-0.0217984
55A1	chr22	10395631	38962511	3146	-0.0299408
55A1	chr22	38965122	38992259	8	-17.108
55A1	chr22	38992259	50782296	1780	-0.0251161
55A1	chrX	150500	120875450	7328	0.0100688
55A1	chrX	121047962	156007790	2318	0.0310847
55A1	chrY	2786986	2979728	22	-19.5694
55A1	chrY	2979763	6865570	50	-2.42472
55A1	chrY	6868034	9255287	47	-13.503
55A1	chrY	9547584	12708945	30	-4.33764
55A1	chrY	12709445	13705261	114	-21.6971
55A1	chrY	13705761	18547302	51	-6.62484
55A1	chrY	18547776	20779668	71	-17.4796
55A1	chrY	20780928	56959891	52	-7.52727
55A2	chr1	69381	125312698	13137	-0.0327887
55A2	chr1	143281044	248918365	11299	-0.0334112
55A2	chr2	41605	90525254	6755	-0.0382919
55A2	chr2	91283966	242003780	12086	-0.0316202
55A2	chr3	150500	198038669	15202	-0.0306237
55A2	chr4	59429	9172672	1192	0.0148136
55A2	chr4	9368889	190026768	9469	-0.0551334
55A2	chr5	140305	47365108	2385	-0.0246927
55A2	chr5	49488671	181260815	9524	-0.035127
55A2	chr6	150500	32459319	3101	-0.0672925
55A2	chr6	32741441	170583749	9868	-0.0345991
55A2	chr7	150500	143478798	10751	-0.0459438
55A2	chr7	143623899	159142547	1231	-0.00912305
55A2	chr8	150500	145054159	8909	-0.0247932
55A2	chr9	154630	45525913	2611	-0.0325351
55A2	chr9	60497470	138177264	7303	-0.0152387
55A2	chr10	49179	39637386	2566	-0.05437
55A2	chr10	39933707	69860191	1666	-0.0130537
55A2	chr10	69867797	69958701	35	-0.566639
55A2	chr10	69959201	133626306	6031	-0.0231744
55A2	chr11	150500	89875073	10223	-0.00841266
55A2	chr11	90038692	134986058	3817	-0.0234674
55A2	chr12	99144	9443678	1625	-0.0383078
55A2	chr12	9595271	133234356	12025	-0.0446537
55A2	chr13	15879861	57017795	2767	-0.0444042
55A2	chr13	57171357	114326283	2146	-0.0230438
55A2	chr14	15939217	106874055	7795	-0.0423302
55A2	chr15	16962086	22542839	74	0.63706
55A2	chr15	22572928	84285874	7235	-0.0341076
55A2	chr15	84603925	101922767	1370	-0.00668144
55A2	chr16	47427	38428223	5019	-0.0125405
55A2	chr16	46324795	90094829	4667	-0.0218781
55A2	chr17	156218	21284971	4083	-0.0198347
55A2	chr17	21298346	27142100	64	0.417219
55A2	chr17	27142100	37873703	1702	-0.0375503
55A2	chr17	38195871	83135126	7702	-0.0265477
55A2	chr18	117084	80247350	4285	-0.0332541
55A2	chr19	110970	25027980	6315	-0.0331761
55A2	chr19	27126811	58571429	7254	-0.0410135
55A2	chr20	87707	64273602	6010	-0.017506
55A2	chr21	4942906	46664374	2529	-0.0254557
55A2	chr22	10395631	50782296	4934	-0.023292
55A2	chrX	150500	120875450	7328	0.018807
55A2	chrX	121047962	156007790	2318	0.0470127
55A2	chrY	2786986	2979995	23	-21.5598
55A2	chrY	2980495	6868249	50	-3.02693
55A2	chrY	6868249	9255287	46	-14.1162
55A2	chrY	9547584	12406944	26	-4.87421
55A2	chrY	12407809	13705261	118	-22.3085
55A2	chrY	13705761	14621617	9	-3.59782
55A2	chrY	14622117	14824375	8	-21.8721
55A2	chrY	14829727	18546285	32	-6.61764
55A2	chrY	18546785	22314765	90	-19.1156
55A2	chrY	22315265	56959891	35	-5.83557
55P1	chr1	69381	125312698	13137	-0.0289724
55P1	chr1	143281044	152579938	1188	0.0114172
55P1	chr1	152600729	152614100	3	-23.8708
55P1	chr1	152622831	248918365	10108	-0.0234982
55P1	chr2	41605	90525254	6755	-0.063672
55P1	chr2	91283966	242003780	12086	-0.0725015
55P1	chr3	150500	198038669	15202	-0.0836823
55P1	chr4	59429	9172672	1192	0.0667238
55P1	chr4	9368889	190026768	9469	-0.124928
55P1	chr5	140305	47365108	2385	-0.0636061
55P1	chr5	49488671	181260815	9524	-0.0700158
55P1	chr6	150500	32459319	3101	-0.0628212
