Gene Symbol	Name	Chromosome	Start	End
CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)	chr16	88874858	88977204
CBFB	core-binding factor, beta subunit	chr16	67029245	67101022
CDH1	cadherin 1, type 1, E-cadherin (epithelial) (ECAD)	chr16	68737225	68835548
CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	chr16	64943753	65122198
CTCF	CCCTC-binding factor	chr16	67562467	67639176
CYLD	familial cylindromatosis gene	chr16	50742760	50801935
FANCA	Fanconi anemia, complementation group A	chr16	89737549	89816646
HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	chr16	56932048	56944863
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog	chr16	79593838	79600714
ZFHX3	zinc finger homeobox 3	chr16	72782885	73891871
