Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
48A1	chr1	69381	125312698	13137	-0.0465171
48A1	chr1	143281044	248918365	11299	-0.0500126
48A1	chr2	41605	90525254	6755	-0.0571293
48A1	chr2	91283966	242003780	12086	-0.026083
48A1	chr3	150500	198038669	15202	-0.0440061
48A1	chr4	59429	9172672	1192	0.00904278
48A1	chr4	9368889	190026768	9469	-0.0371025
48A1	chr5	140305	47365108	2385	-0.014447
48A1	chr5	49488671	181260815	9524	-0.0384673
48A1	chr6	150500	32459319	3101	-0.11057
48A1	chr6	32741441	170583749	9868	-0.0447953
48A1	chr7	150500	143478798	10751	-0.052496
48A1	chr7	143623899	144375679	104	-0.193077
48A1	chr7	144377117	159142547	1127	-0.0115843
48A1	chr8	150500	145054159	8909	-0.0447233
48A1	chr9	154630	45525913	2611	-0.0335675
48A1	chr9	60497470	138177264	7303	-0.0408148
48A1	chr10	49179	39637386	2566	-0.0374903
48A1	chr10	39933707	133626306	7732	-0.0459198
48A1	chr11	150500	89875073	10223	-0.0366684
48A1	chr11	90038692	134986058	3817	-0.0385286
48A1	chr12	99144	9443678	1625	-0.0673889
48A1	chr12	9595271	133234356	12025	-0.0626548
48A1	chr13	15879861	57017795	2767	-0.0382466
48A1	chr13	57171357	114326283	2146	-0.0190531
48A1	chr14	15939217	106874055	7795	-0.0536438
48A1	chr15	16962086	84285874	7309	-0.0469396
48A1	chr15	84603925	101922767	1370	-0.0472081
48A1	chr16	47427	38428223	5019	-0.0323862
48A1	chr16	46324795	90094829	4667	-0.0219913
48A1	chr17	156218	37873703	5849	-0.0544151
48A1	chr17	38195871	83135126	7702	-0.0609565
48A1	chr18	117084	80247350	4285	-0.0316785
48A1	chr19	110970	25027980	6315	-0.0562238
48A1	chr19	27126811	58571429	7254	-0.0678723
48A1	chr20	87707	64273602	6010	-0.0345179
48A1	chr21	4942906	46664374	2529	-0.0456227
48A1	chr22	10395631	50782296	4934	-0.0331312
48A1	chrX	150500	120875450	7328	-0.880405
48A1	chrX	121047962	156007790	2318	-0.857843
48A1	chrY	2786986	9255287	119	0.474118
48A1	chrY	9547584	21386263	274	0.155592
48A1	chrY	21386763	56959891	44	2.52961
48A2	chr1	69381	125312698	13137	-0.0388938
48A2	chr1	143281044	248918365	11299	-0.0580046
48A2	chr2	41605	90525254	6755	-0.0544988
48A2	chr2	91283966	242003780	12086	-0.0377227
48A2	chr3	150500	198038669	15202	-0.0405871
48A2	chr4	59429	9172672	1192	0.00900649
48A2	chr4	9368889	190026768	9469	-0.045303
48A2	chr5	140305	47365108	2385	-0.0232215
48A2	chr5	49488671	181260815	9524	-0.0516207
48A2	chr6	150500	32459319	3101	-0.0736234
48A2	chr6	32741441	170583749	9868	-0.0504589
48A2	chr7	150500	143478798	10751	-0.0521359
48A2	chr7	143623899	159142547	1231	-0.0349681
48A2	chr8	150500	145054159	8909	-0.0439486
48A2	chr9	154630	45525913	2611	-0.0628489
48A2	chr9	60497470	138177264	7303	-0.0519056
48A2	chr10	49179	39637386	2566	-0.0550908
48A2	chr10	39933707	133626306	7732	-0.052236
48A2	chr11	150500	89875073	10223	-0.0341911
48A2	chr11	90038692	134986058	3817	-0.0382507
48A2	chr12	99144	9443678	1625	-0.0897973
48A2	chr12	9595271	133234356	12025	-0.0540981
48A2	chr13	15879861	57017795	2767	-0.049874
48A2	chr13	57171357	114326283	2146	-0.0331912
48A2	chr14	15939217	106874055	7795	-0.052493
48A2	chr15	16962086	84285874	7309	-0.0483263
48A2	chr15	84603925	101922767	1370	-0.0412116
48A2	chr16	47427	38428223	5019	-0.0120545
48A2	chr16	46324795	90094829	4667	-0.0219052
48A2	chr17	156218	37873703	5849	-0.0344984
48A2	chr17	38195871	38256397	12	-0.979368
48A2	chr17	38256897	83135126	7690	-0.0362347
48A2	chr18	117084	80247350	4285	-0.0506305
48A2	chr19	110970	25027980	6315	-0.0183888
48A2	chr19	27126811	58571429	7254	-0.0407269
48A2	chr20	87707	64273602	6010	-0.0277939
48A2	chr21	4942906	46664374	2529	-0.0192602
48A2	chr22	10395631	50782296	4934	-0.0211218
48A2	chrX	150500	120875450	7328	-0.90167
48A2	chrX	121047962	156007790	2318	-0.907621
48A2	chrY	2786986	9255287	119	0.242847
48A2	chrY	9547584	21386263	274	0.0345455
48A2	chrY	21386763	56959891	44	2.41723
48A3	chr1	69381	125312698	13137	-0.0381628
48A3	chr1	143281044	248918365	11299	-0.0370101
48A3	chr2	41605	90525254	6755	-0.0445239
48A3	chr2	91283966	242003780	12086	-0.0234465
48A3	chr3	150500	198038669	15202	-0.050283
