Gene Symbol	Genome Location
ARID2	12:45729665-45908040
ATF1	12:50764292-50821122
BCL7A	12:122019422-122062044
BTG1	12:92140278-92145897
CDK4	12:57747727-57752521
CLIP1	12:122271434-122422569
COL2A1	12:47972965-48004486
DDIT3	12:57516589-57520517
ERBB3	12:56079861-56103505
HMGA2	12:65824460-65915447
HNF1A	12:120978749-121001269
HOXC11	12:53973126-53977643
HOXC13	12:53938765-53946544
KMT2D	12:49018975-49055324
LRIG3	12:58872149-58920522
MDM2	12:68808176-68850686
NAB2	12:57088894-57095476
NCOR2	12:124324415-124495252
POLE	12:132623762-132687359
PTPN11	12:112419112-112504764
PTPRB	12:70515866-70637440
SH2B3	12:111405948-111451623
SMARCD1	12:50084972-50100712
STAT6	12:57095408-57111433
TBX3	12:114670255-114683590
WIF1	12:65050626-65121566
