Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
12C1	chr1	69381	125312698	13137	-0.0507135
12C1	chr1	143281044	248918365	11299	0.000441716
12C1	chr2	41605	90525254	6755	0.0249061
12C1	chr2	91283966	242003780	12086	0.0151638
12C1	chr3	150500	198038669	15202	0.00581795
12C1	chr4	59429	9172672	1192	-0.0358226
12C1	chr4	9368889	190026768	9469	-0.0111877
12C1	chr5	140305	47365108	2385	0.105212
12C1	chr5	49488671	181260815	9524	-0.0677775
12C1	chr6	150500	346458	11	-2.15795
12C1	chr6	348100	32294125	3061	-0.029753
12C1	chr6	32299919	32459319	29	-0.494709
12C1	chr6	32741441	170583749	9868	-0.0331754
12C1	chr7	150500	54751908	3767	0.00808423
12C1	chr7	54752408	108057930	4279	-0.0427212
12C1	chr7	108062771	143478798	2705	0.0297858
12C1	chr7	143623899	159142547	1231	0.0496417
12C1	chr8	150500	145054159	8909	0.0120137
12C1	chr9	154630	45525913	2611	-0.0280135
12C1	chr9	60497470	138177264	7303	-0.0174515
12C1	chr10	49179	39637386	2566	-0.0202163
12C1	chr10	39933707	133626306	7732	-0.0148512
12C1	chr11	150500	89875073	10223	0.00889422
12C1	chr11	90038692	134986058	3817	-0.000790586
12C1	chr12	99144	9443678	1625	-0.0337423
12C1	chr12	9595271	133234356	12025	-0.0434984
12C1	chr13	15879861	57017795	2767	-0.0243613
12C1	chr13	57171357	114326283	2146	-0.0297889
12C1	chr14	15939217	106874055	7795	-0.0466444
12C1	chr15	16962086	84285874	7309	0.0232656
12C1	chr15	84603925	101922767	1370	0.0439767
12C1	chr16	47427	38428223	5019	-0.030735
12C1	chr16	46324795	90094829	4667	0.00336101
12C1	chr17	156218	37873703	5849	-0.0440741
12C1	chr17	38195871	46286091	2306	-0.0371511
12C1	chr17	46331024	46694664	37	0.783628
12C1	chr17	46704756	83135126	5359	-0.0210453
12C1	chr18	117084	80247350	4285	0.00195438
12C1	chr19	110970	25027980	6315	-0.0608575
12C1	chr19	27126811	58571429	7254	-0.0229367
12C1	chr20	87707	31863983	2100	0.0706248
12C1	chr20	31864950	64273602	3910	-0.0147374
12C1	chr21	4942906	46664374	2529	-0.0532951
12C1	chr22	10395631	50782296	4934	-0.0260808
12C1	chrX	150500	2726444	147	-0.178532
12C1	chrX	2733355	120875450	7181	-0.856359
12C1	chrX	121047962	155659573	2296	-0.842554
12C1	chrX	155659573	156007790	22	-0.0454217
12C1	chrY	2786986	9255287	119	0.272381
12C1	chrY	9547584	12391369	24	1.77038
12C1	chrY	12392643	17476315	161	-0.175925
12C1	chrY	17476315	18466645	6	2.66871
12C1	chrY	18467711	21386263	83	0.160642
12C1	chrY	21386763	56959891	44	2.1915
14C1	chr1	69381	77866393	9710	-0.0361702
14C1	chr1	77873000	77942913	16	-0.978051
14C1	chr1	77948763	125312698	3411	-0.0478396
14C1	chr1	143281044	248918365	11299	-0.0188701
14C1	chr2	41605	90525254	6755	-0.0386823
14C1	chr2	91283966	242003780	12086	-0.031317
14C1	chr3	150500	198038669	15202	-0.0296558
14C1	chr4	59429	9172672	1192	-0.00709267
14C1	chr4	9368889	190026768	9469	-0.0309951
14C1	chr5	140305	47365108	2385	-0.0239641
14C1	chr5	49488671	181260815	9524	-0.0805908
14C1	chr6	150500	29043710	1857	-0.0606825
14C1	chr6	29044210	29621294	83	0.27068
14C1	chr6	29621749	32459319	1161	-0.106836
14C1	chr6	32741441	170583749	9868	-0.0266769
14C1	chr7	150500	143478798	10751	-0.0234827
14C1	chr7	143623899	159142547	1231	-0.0164559
14C1	chr8	150500	8327959	379	0.0971078
14C1	chr8	8327959	35595051	1955	-0.0642327
14C1	chr8	35595551	38305447	227	0.104678
14C1	chr8	38314644	38975132	91	0.353173
14C1	chr8	38976532	145054159	6257	-0.0104637
14C1	chr9	154630	45525913	2611	-0.0223482
14C1	chr9	60497470	138177264	7303	-0.0452477
14C1	chr10	49179	39637386	2566	-0.0632212
14C1	chr10	39933707	133626306	7732	-0.0318091
14C1	chr11	150500	5778146	1230	-0.00492183
14C1	chr11	5778146	5778636	2	-26.1348
14C1	chr11	5787851	89875073	8991	-0.0181836
14C1	chr11	90038692	134986058	3817	-0.00672489
14C1	chr12	99144	9443678	1625	-0.0386884
14C1	chr12	9595271	133234356	12025	-0.0430847
14C1	chr13	15879861	57017795	2767	-0.0593369
14C1	chr13	57171357	114326283	2146	-0.0531945
14C1	chr14	15939217	106874055	7795	-0.0494728
14C1	chr15	16962086	84285874	7309	-0.028006
14C1	chr15	84603925	101922767	1370	-0.0125427
14C1	chr16	47427	38428223	5019	-0.0529732
14C1	chr16	46324795	90094829	4667	-0.0197793
