Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
14C1	chr1	69381	125312698	13133	-0.0344094
14C1	chr1	143281044	248918365	11298	-0.0157356
14C1	chr2	41605	90525254	6751	-0.035397
14C1	chr2	91283966	242003780	12083	-0.0328613
14C1	chr3	150500	198038669	15195	-0.0276451
14C1	chr4	59429	9172672	1190	0.00867682
14C1	chr4	9368889	190026768	9462	-0.0291755
14C1	chr5	140305	47365108	2385	-0.0248169
14C1	chr5	49488671	181260815	9523	-0.0733499
14C1	chr6	150500	32459319	3102	-0.0555924
14C1	chr6	32741441	170583749	9863	-0.0242531
14C1	chr7	150500	143478798	10738	-0.0209701
14C1	chr7	143623899	159142547	1233	-0.00681508
14C1	chr8	150500	145054159	8906	-3.07188e-05
14C1	chr9	154630	45525913	2611	-0.0127553
14C1	chr9	60497470	138177264	7303	-0.0409273
14C1	chr10	49179	79614115	5246	-0.0452337
14C1	chr10	79907667	133626306	5045	-0.0246423
14C1	chr11	150500	50877111	4954	-0.0219204
14C1	chr11	51026130	134986058	9081	-0.00357191
14C1	chr12	99144	9443678	1625	-0.0412769
14C1	chr12	9595271	133234356	12016	-0.0411139
14C1	chr13	15879861	18126913	15	0.761513
14C1	chr13	18126913	57017795	2750	-0.0578691
14C1	chr13	57171357	114326283	2148	-0.0465313
14C1	chr14	15939217	106874055	7790	-0.041832
14C1	chr15	16962086	84444649	7309	-0.027424
14C1	chr15	84603925	101922767	1368	-0.00638669
14C1	chr16	47427	38279231	5017	-0.0526457
14C1	chr16	46324795	90094829	4664	-0.0169917
14C1	chr17	156218	37874251	5856	-0.053582
14C1	chr17	38195871	46286091	2306	-0.0522913
14C1	chr17	46331024	46694664	37	0.898239
14C1	chr17	46704756	83135126	5353	-0.0392354
14C1	chr18	117084	15452504	1105	-0.0508572
14C1	chr18	15452504	20950881	37	0.852701
14C1	chr18	20951381	80247350	3141	0.00255101
14C1	chr19	110970	8731975	2500	-0.0509584
14C1	chr19	8732475	9155514	247	0.710603
14C1	chr19	9156014	25027980	3560	-0.0586222
14C1	chr19	27126811	51630218	5414	-0.0545258
14C1	chr19	51643534	51645532	3	-26.3433
14C1	chr19	51645779	58571429	1832	-0.016788
14C1	chr20	87707	64273602	6006	-0.014826
14C1	chr21	4942906	46664374	2529	-0.0332082
14C1	chr22	10395631	50782296	4934	-0.0456279
14C1	chrX	150500	2726375	146	-0.0618998
14C1	chrX	2733355	120875450	7172	-0.588511
14C1	chrX	121047962	155773369	2292	-0.578177
14C1	chrX	155773869	156007790	21	0.0370262
14C1	chrY	2786986	9255287	119	0.332749
14C1	chrY	9547584	12391369	24	2.26657
14C1	chrY	12392643	21386263	250	0.0380019
14C1	chrY	21386763	56959891	41	1.979
14P1	chr1	69381	125312698	13133	-0.0388136
14P1	chr1	143281044	248918365	11298	0.300737
14P1	chr2	41605	90525254	6751	-0.00396227
14P1	chr2	91283966	242003780	12083	-0.082542
14P1	chr3	150500	51698903	5296	-0.0342074
14P1	chr3	51699403	80467100	1996	-0.564805
14P1	chr3	80467100	82212324	33	1.17173
14P1	chr3	82212324	89209357	107	-0.656161
14P1	chr3	89209857	198038669	7763	0.57738
14P1	chr4	59429	9172672	1190	-0.0318492
14P1	chr4	9368889	190026768	9462	-0.147467
14P1	chr5	140305	47365108	2385	-0.175815
14P1	chr5	49488671	181260815	9523	-0.584502
14P1	chr6	150500	16129411	905	-0.614331
14P1	chr6	16130554	17837583	131	0.913236
14P1	chr6	17838083	19046707	72	0.595681
14P1	chr6	19046707	32294125	1962	-0.0901001
14P1	chr6	32299919	32459319	32	-0.673176
14P1	chr6	32741441	62440551	3299	-0.0501711
14P1	chr6	62440551	115363891	2834	-0.577591
14P1	chr6	115363891	170583749	3730	-0.0749081
14P1	chr7	150500	18996062	1408	0.305768
14P1	chr7	18996562	62998928	2561	0.41227
14P1	chr7	62998928	72826985	335	-0.0557813
14P1	chr7	72828071	85731144	1023	-0.490462
14P1	chr7	85731144	143478798	5411	-0.047592
14P1	chr7	143623899	159142547	1233	-0.0634872
14P1	chr8	150500	7235829	320	-0.564973
14P1	chr8	7414960	7896612	54	-0.157755
14P1	chr8	8037291	37735379	2028	-0.57545
14P1	chr8	37737920	38305447	158	1.33613
14P1	chr8	38314644	38957386	87	2.61194
14P1	chr8	38957886	40280143	145	1.38561
14P1	chr8	40280143	40972340	16	-0.369065
14P1	chr8	40972340	46083379	328	0.717561
14P1	chr8	46083379	100259999	2740	-0.0336831
14P1	chr8	100261539	123541016	1186	0.231161
14P1	chr8	123541516	138167392	670	0.604532
14P1	chr8	138167892	145054159	1174	0.0143578
14P1	chr9	154630	21350889	1194	-0.0735521
14P1	chr9	21351389	22607368	46	-0.626341
14P1	chr9	22607368	45525913	1371	-0.02499
14P1	chr9	60497470	138177264	7303	-0.0315735
14P1	chr10	49179	18150977	1282	-0.571566
14P1	chr10	18151477	42470205	1304	0.265406
14P1	chr10	42470705	79614115	2660	-0.0433339
14P1	chr10	79907667	133626306	5045	-0.0407232
14P1	chr11	150500	50877111	4954	-0.0207175
14P1	chr11	51026130	69294852	3574	0.312706
14P1	chr11	69295352	72105012	255	1.78629
14P1	chr11	72105935	73139530	196	2.0302
14P1	chr11	73140030	73365949	40	1.59858
14P1	chr11	73367581	73393803	7	1.30443
14P1	chr11	73393805	79885384	750	0.862106
14P1	chr11	79885384	113351301	1960	-0.55219
14P1	chr11	113352067	134986058	2299	-0.462011
14P1	chr12	99144	9443678	1625	-0.0127285
14P1	chr12	9595271	133234356	12016	-0.0315609
14P1	chr13	15879861	57017795	2765	-0.593205
14P1	chr13	57171357	114326283	2148	-0.608986
14P1	chr14	15939217	106874055	7790	-0.0117575
14P1	chr15	16962086	84444649	7309	-0.0325286
14P1	chr15	84603925	101922767	1368	-0.0319249
14P1	chr16	47427	38279231	5017	-0.0169407
14P1	chr16	46324795	90094829	4664	-0.0139991
14P1	chr17	156218	21284971	4086	-0.542895
14P1	chr17	21298346	37874251	1770	-0.0112846
14P1	chr17	38195871	41728333	982	-0.027399
14P1	chr17	41731490	43104263	606	0.144261
14P1	chr17	43104865	46286091	718	-0.00451965
14P1	chr17	46331024	46694664	37	0.90382
14P1	chr17	46704756	83135126	5353	-0.0104842
14P1	chr18	117084	15452504	1105	0.234795
14P1	chr18	15452504	20950881	37	1.07644
14P1	chr18	20951381	25088962	447	0.291742
14P1	chr18	25089462	26292383	59	0.660436
14P1	chr18	26293423	26546227	18	0.264526
14P1	chr18	26549036	27048505	19	-0.33775
14P1	chr18	27049005	33244742	308	0.294646
14P1	chr18	33245242	41651121	363	-0.344632
14P1	chr18	41651121	80247350	1927	-0.566403
14P1	chr19	110970	8731975	2500	-0.0196005
14P1	chr19	8732475	8938716	105	0.618711
14P1	chr19	8938716	9155514	142	0.806772
14P1	chr19	9156014	25027980	3560	-0.015273
14P1	chr19	27126811	51630218	5414	-0.0479206
14P1	chr19	51643534	51645532	3	-26.1463
14P1	chr19	51645779	58571429	1832	-0.0633765
14P1	chr20	87707	64273602	6006	0.0628029
14P1	chr21	4942906	46664374	2529	-0.558107
14P1	chr22	10395631	20586701	603	0.103826
14P1	chr22	20587201	25360094	705	0.46124
14P1	chr22	25360594	26169167	84	0.0660653
14P1	chr22	26170265	27799463	96	0.418301
14P1	chr22	27799463	28987203	92	0.100143
14P1	chr22	28987703	30950445	443	0.502399
14P1	chr22	30956762	48779795	2444	0.0151914
14P1	chr22	48780853	50782296	467	0.414966
14P1	chrX	150500	120875450	7318	-0.644969
14P1	chrX	121047962	148953077	1251	-0.597886
14P1	chrX	148953577	156007790	1062	-0.0412071
14P1	chrY	2786986	9255287	119	-0.957498
14P1	chrY	9547584	12406944	26	0.907129
14P1	chrY	12407809	21386263	248	-1.5478
14P1	chrY	21386763	56959891	41	0.562862
15C1	chr1	69381	125312698	13133	-0.0509136
15C1	chr1	143281044	248918365	11298	-0.0149816
15C1	chr2	41605	90525254	6751	-0.00501779
15C1	chr2	91283966	242003780	12083	-0.0450497
15C1	chr3	150500	198038669	15195	-0.0350934
15C1	chr4	59429	9172672	1190	-0.00581582
15C1	chr4	9368889	190026768	9462	-0.0618137
15C1	chr5	140305	47365108	2385	-0.0195936
