Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
55P1	chr1	69381	125312698	13137	-0.0289724
55P1	chr1	143281044	152579938	1188	0.0114172
55P1	chr1	152600729	152614100	3	-23.8708
55P1	chr1	152622831	248918365	10108	-0.0234982
55P1	chr2	41605	90525254	6755	-0.063672
55P1	chr2	91283966	242003780	12086	-0.0725015
55P1	chr3	150500	198038669	15202	-0.0836823
55P1	chr4	59429	9172672	1192	0.0667238
55P1	chr4	9368889	190026768	9469	-0.124928
55P1	chr5	140305	47365108	2385	-0.0636061
55P1	chr5	49488671	181260815	9524	-0.0700158
55P1	chr6	150500	32459319	3101	-0.0628212
55P1	chr6	32741441	170583749	9868	-0.140932
55P1	chr7	150500	7066464	891	0.143233
55P1	chr7	7067545	21591577	639	-0.132691
55P1	chr7	21599785	34940329	958	0.00648103
55P1	chr7	34941762	35140532	27	-0.541316
55P1	chr7	35141619	70787433	1739	0.0272491
55P1	chr7	70789745	77360903	676	0.151239
55P1	chr7	77362580	94395103	1086	-0.0893413
55P1	chr7	94395196	94656591	87	-0.473503
55P1	chr7	94663333	96496295	141	-0.0673534
55P1	chr7	96496795	102749176	1203	0.145646
55P1	chr7	102749207	139422342	2689	-0.021796
55P1	chr7	139422842	143478798	615	0.113068
55P1	chr7	143623899	159142547	1231	0.069411
55P1	chr8	150500	145054159	8909	-0.0460508
55P1	chr9	154630	27694530	1387	-0.165637
55P1	chr9	27694530	38570621	1155	-0.036288
55P1	chr9	38572005	45525913	69	-0.262011
55P1	chr9	60497470	138177264	7303	-0.0521203
55P1	chr10	49179	39637386	2566	-0.0765251
55P1	chr10	39933707	133626306	7732	-0.0333604
55P1	chr11	150500	89875073	10223	0.0194952
55P1	chr11	90038692	111741614	1319	-0.100097
55P1	chr11	111742009	134986058	2498	0.0188066
55P1	chr12	99144	9067839	1498	-0.0245634
55P1	chr12	9068181	9287705	76	-0.316801
55P1	chr12	9288205	9443678	51	0.0620579
55P1	chr12	9595271	133234356	12025	-0.0332084
55P1	chr13	15879861	57017795	2767	-0.103562
55P1	chr13	57171357	114326283	2146	-0.0907927
55P1	chr14	15939217	106874055	7795	-0.0911814
55P1	chr15	16962086	84285874	7309	0.0313462
55P1	chr15	84603925	101922767	1370	0.040621
55P1	chr16	47427	2496388	1028	0.193541
55P1	chr16	2496388	38428223	3991	0.0912284
55P1	chr16	46324795	90094829	4667	0.0543675
55P1	chr17	156218	37873703	5849	-0.00658782
55P1	chr17	38195871	83135126	7702	0.0354378
55P1	chr18	117084	80247350	4285	-0.132206
55P1	chr19	110970	25027980	6315	0.102778
55P1	chr19	27126811	58571429	7254	0.0654221
55P1	chr20	87707	64273602	6010	0.0638129
55P1	chr21	4942906	32810073	839	-0.180036
55P1	chr21	32814189	46664374	1690	-0.0593319
55P1	chr22	10395631	50782296	4934	0.0335599
55P1	chrX	150500	120875450	7328	-0.034604
55P1	chrX	121047962	151970404	1478	-0.0119621
55P1	chrX	151974567	154696021	678	0.0992446
55P1	chrX	154697129	156007790	162	-0.0865015
55P1	chrY	2786986	2979995	23	-22.0805
55P1	chrY	2980495	6868249	50	-4.36375
55P1	chrY	6868249	9255287	46	-15.1255
55P1	chrY	9547584	12708945	30	-5.01591
55P1	chrY	12709445	13705261	114	-23.0135
55P1	chrY	13705761	14824375	17	-11.8991
55P1	chrY	14829727	18546285	32	-6.24876
55P1	chrY	18546785	21386263	81	-19.8961
55P1	chrY	21386763	56959891	44	-7.91836
61P1	chr1	69381	125312698	13137	-0.0291281
