Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
cn93C	chr1	69381	125312698	13133	-0.00187362
cn93C	chr1	143281044	248918365	11298	0.117808
cn93C	chr2	41605	90525254	6751	-0.0345606
cn93C	chr2	91283966	242003780	12083	-0.0204229
cn93C	chr3	150500	198038669	15195	-0.207504
cn93C	chr4	59429	9172672	1190	-0.0695183
cn93C	chr4	9368889	190026768	9462	-0.0480865
cn93C	chr5	140305	47365108	2385	0.144463
cn93C	chr5	49488671	181260815	9523	0.118869
cn93C	chr6	150500	32459319	3102	0.107138
cn93C	chr6	32741441	170583749	9863	0.0522993
cn93C	chr7	150500	97594511	6260	0.105493
cn93C	chr7	97594511	143478798	4478	-0.166996
cn93C	chr7	143623899	159142547	1233	-0.148945
cn93C	chr8	150500	145054159	8906	0.00449661
cn93C	chr9	154630	18202736	922	-0.0161706
cn93C	chr9	18202736	19379620	133	0.541391
cn93C	chr9	19380187	45525913	1556	0.00869126
cn93C	chr9	60497470	138177264	7303	-0.0347986
cn93C	chr10	49179	79614115	5246	-0.184433
cn93C	chr10	79907667	133626306	5045	-0.182811
cn93C	chr11	150500	50877111	4954	0.0245646
cn93C	chr11	51026130	134986058	9081	0.0299367
cn93C	chr12	99144	9443678	1625	-0.0559405
cn93C	chr12	9595271	133234356	12016	-0.0869116
cn93C	chr13	15879861	57017795	2765	-0.162029
cn93C	chr13	57171357	114326283	2148	-0.169785
cn93C	chr14	15939217	106874055	7790	-0.114698
cn93C	chr15	16962086	84444649	7309	-0.0516695
cn93C	chr15	84603925	101922767	1368	-0.008966
cn93C	chr16	47427	38279231	5017	0.191873
cn93C	chr16	46324795	90094829	4664	-0.104501
cn93C	chr17	156218	37874251	5856	-0.0529336
cn93C	chr17	38195871	83135126	7696	-0.00450586
cn93C	chr18	117084	80247350	4283	-0.0494491
cn93C	chr19	110970	25027980	6307	-0.0723031
cn93C	chr19	27126811	58571429	7249	-0.0597725
cn93C	chr20	87707	64273602	6006	0.0558775
cn93C	chr21	4942906	46664374	2529	0.144849
cn93C	chr22	10395631	50782296	4934	-0.0501853
cn93C	chrX	150500	2774741	154	-1.10252
cn93C	chrX	2782063	120875450	7164	-0.075013
cn93C	chrX	121047962	155659573	2291	-0.0765646
