Gene Symbol	Name
CCND3	cyclin D3
DAXX	death-domain associated protein
DEK	DEK oncogene (DNA binding)
FANCE	Fanconi anemia, complementation group E
HIST1H3B	histone cluster 1, H3b
HIST1H4I	histone 1, H4i (H4FM)
HLA-A	major histocompatibility complex, class I, A
HMGA1	high mobility group AT-hook 1
HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1
IRF4	interferon regulatory factor 4
NFKBIE	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon
PIM1	pim-1 oncogene
POU5F1	POU domain, class 5, transcription factor 1
SRSF3	serine/arginine-rich splicing factor 3
TFEB	transcription factor EB
TRIM27	tripartite motif-containing 27
