Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
cn18P	chr1	69381	125312698	13133	-0.090366
cn18P	chr1	143281044	248918365	11298	0.188371
cn18P	chr2	41605	90525254	6751	0.157595
cn18P	chr2	91283966	242003780	12083	0.00227076
cn18P	chr3	150500	93873742	7481	-0.266373
cn18P	chr3	93874242	175626790	5752	0.25591
cn18P	chr3	175627290	178081311	38	0.578114
cn18P	chr3	178081311	187731932	1106	0.864107
cn18P	chr3	187733523	198038669	818	0.713829
cn18P	chr4	59429	9172672	1190	-0.0573782
cn18P	chr4	9368889	190026768	9462	-0.109557
cn18P	chr5	140305	47365108	2385	0.174861
cn18P	chr5	49488671	181260815	9523	-0.254941
cn18P	chr6	150500	32459319	3102	-0.0703274
cn18P	chr6	32741441	170583749	9863	-0.0656105
cn18P	chr7	150500	143478798	10738	0.0546101
cn18P	chr7	143623899	159142547	1233	-0.0496696
cn18P	chr8	150500	30886666	2195	-0.272815
cn18P	chr8	30889138	145054159	6711	0.0480622
cn18P	chr9	154630	34723767	1875	-0.258589
cn18P	chr9	34723767	38962485	685	0.163458
cn18P	chr9	38962485	45525913	51	-0.559018
cn18P	chr9	60497470	138177264	7303	0.040385
cn18P	chr10	49179	79614115	5246	-0.0855591
cn18P	chr10	79907667	133626306	5045	-0.0979368
cn18P	chr11	150500	50877111	4954	-0.0134265
cn18P	chr11	51026130	134986058	9081	-0.0306525
cn18P	chr12	99144	9443678	1625	0.0293324
cn18P	chr12	9595271	133234356	12016	0.0111488
cn18P	chr13	15879861	57017795	2765	-0.243703
cn18P	chr13	57171357	114326283	2148	-0.227643
cn18P	chr14	15939217	29118839	1460	0.093624
cn18P	chr14	29118839	95089995	5081	-0.242602
cn18P	chr14	95090495	106874055	1249	0.164271
cn18P	chr15	16962086	84444649	7309	-0.0341526
cn18P	chr15	84603925	101922767	1368	0.0675419
cn18P	chr16	47427	38279231	5017	-0.0622112
cn18P	chr16	46324795	90094829	4664	-0.0410973
cn18P	chr17	156218	37874251	5856	-0.155804
cn18P	chr17	38195871	77191314	6481	0.0147915
cn18P	chr17	77193418	83135126	1215	-0.0894956
cn18P	chr18	117084	80247350	4283	-0.0552207
cn18P	chr19	110970	25027980	6307	0.0149231
cn18P	chr19	27126811	51630218	5414	-0.0958435
cn18P	chr19	51643534	51645532	3	-18.9833
cn18P	chr19	51645779	58571429	1832	-0.0849698
cn18P	chr20	87707	64273602	6006	-0.0141904
cn18P	chr21	4942906	46664374	2529	-0.18113
cn18P	chr22	10395631	18157161	223	0.278443
cn18P	chr22	18157661	26027678	1168	0.548874
cn18P	chr22	26028178	32479277	974	0.247523
cn18P	chr22	32483894	50782296	2569	-0.0125722
cn18P	chrX	150500	120875450	7318	0.131624
cn18P	chrX	121047962	156007790	2313	0.185616
cn18P	chrY	2786986	2979728	22	-20.6046
cn18P	chrY	2979763	6868464	52	-2.39143
cn18P	chrY	6868729	9255287	45	-12.8963
cn18P	chrY	9547584	12720739	33	-4.74223
cn18P	chrY	12722105	13479319	109	-22.1467
cn18P	chrY	13479511	18546285	50	-5.35976
cn18P	chrY	18546785	19705492	27	-13.0874
cn18P	chrY	19705992	20781034	48	-21.8534
cn18P	chrY	20781534	56959891	48	-7.79089
cn4P	chr1	69381	98044368	11035	-0.105688
cn4P	chr1	98046069	101846973	275	0.232597
cn4P	chr1	101847473	107704652	173	-0.172801
cn4P	chr1	107704957	121719029	1626	0.0200032
cn4P	chr1	121719029	125312698	24	0.645761
cn4P	chr1	143281044	248918365	11298	0.0165248
cn4P	chr2	41605	15699900	836	-0.0347764
cn4P	chr2	15701875	29320884	1533	0.266492
cn4P	chr2	29328347	37141703	576	0.0918458
cn4P	chr2	37146850	43925159	567	0.233185
cn4P	chr2	43925890	58154770	891	0.00475326
cn4P	chr2	58159346	60452063	32	0.429506
cn4P	chr2	60452563	62501489	266	0.764243
cn4P	chr2	62502394	63433242	63	0.523139
cn4P	chr2	63433742	90525254	1987	-0.0467728
cn4P	chr2	91283966	211946927	8907	-0.0209214
cn4P	chr2	211947427	233964759	2333	-0.211474
cn4P	chr2	233966607	241804168	824	-0.489303
cn4P	chr2	241811426	242003780	19	0.243956
cn4P	chr3	150500	90389053	7458	-0.217431
cn4P	chr3	90389053	148742117	4287	0.0818179
cn4P	chr3	148742701	169764108	1110	0.688977
cn4P	chr3	169767429	193502641	1756	0.94167
cn4P	chr3	193503141	198038669	584	0.766235
cn4P	chr4	59429	9172672	1190	-0.106104
cn4P	chr4	9368889	44698683	1574	-0.319115
cn4P	chr4	44703078	82425556	2258	0.0720731
cn4P	chr4	82426056	190026768	5630	-0.244468
cn4P	chr5	140305	5486819	411	0.826497
cn4P	chr5	5489148	8320458	123	0.665857
cn4P	chr5	8320458	13542553	167	0.924448
cn4P	chr5	13542553	34028885	715	1.13808
cn4P	chr5	34033301	38557002	494	0.993276
cn4P	chr5	38558061	39106942	68	1.22253
cn4P	chr5	39107442	47365108	407	0.880641
cn4P	chr5	49488671	163970721	7940	-0.170056
cn4P	chr5	163970721	172006504	405	0.0506771
cn4P	chr5	172007004	181260815	1178	0.197118
cn4P	chr6	150500	9809072	542	0.270124
cn4P	chr6	9819924	25983689	926	0.0664744
cn4P	chr6	25984189	26450135	112	-0.252192
cn4P	chr6	26451672	32294125	1490	0.0472385
cn4P	chr6	32299919	32459319	32	-0.497769
cn4P	chr6	32741441	38702468	1104	0.0530161
cn4P	chr6	38703556	52062662	1577	0.364904
