Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
15C1	chr1	69381	125312698	13137	-0.052557
15C1	chr1	143281044	248918365	11299	-0.0139627
15C1	chr2	41605	90525254	6755	-0.00428137
15C1	chr2	91283966	242003780	12086	-0.0424782
15C1	chr3	150500	198038669	15202	-0.0363618
15C1	chr4	59429	9172672	1192	-0.0176762
15C1	chr4	9368889	190026768	9469	-0.0630087
15C1	chr5	140305	47365108	2385	-0.0145767
15C1	chr5	49488671	181260815	9524	-0.0965479
15C1	chr6	150500	32459319	3101	-0.0595456
15C1	chr6	32741441	170583749	9868	-0.0650979
15C1	chr7	150500	143478798	10751	-0.0216036
15C1	chr7	143623899	159142547	1231	-0.027414
15C1	chr8	150500	145054159	8909	-0.0429523
15C1	chr9	154630	27060653	1330	-0.0723072
15C1	chr9	27062615	45525913	1281	0.0544397
15C1	chr9	60497470	138177264	7303	-0.0202767
15C1	chr10	49179	39637386	2566	-0.0927588
15C1	chr10	39933707	133626306	7732	-0.0493663
15C1	chr11	150500	89875073	10223	-0.0103093
15C1	chr11	90038692	134986058	3817	-0.0542492
15C1	chr12	99144	7869880	1319	-0.00539364
15C1	chr12	7870380	7933179	15	0.604884
15C1	chr12	7933807	9443678	291	-0.0503562
15C1	chr12	9595271	133234356	12025	-0.0286554
15C1	chr13	15879861	57017795	2767	-0.0565886
15C1	chr13	57171357	114326283	2146	-0.0575242
15C1	chr14	15939217	106874055	7795	-0.0489645
15C1	chr15	16962086	84285874	7309	-0.0530822
15C1	chr15	84603925	101922767	1370	-0.0458485
15C1	chr16	47427	38428223	5019	-0.00284357
15C1	chr16	46324795	90094829	4667	-0.0201532
15C1	chr17	156218	37873703	5849	-0.0266574
15C1	chr17	38195871	83135126	7702	-0.0146925
15C1	chr18	117084	14852480	1094	0.0167888
15C1	chr18	14852980	15452504	10	0.10983
15C1	chr18	15452504	20950881	37	0.564226
15C1	chr18	20951381	31830991	742	0.0992561
15C1	chr18	31832081	80247350	2402	-0.0180435
15C1	chr19	110970	25027980	6315	-0.0185097
15C1	chr19	27126811	58571429	7254	-0.041767
15C1	chr20	87707	64273602	6010	-0.00659725
15C1	chr21	4942906	46664374	2529	-0.0461718
15C1	chr22	10395631	50782296	4934	0.0137053
15C1	chrX	150500	120875450	7328	-0.862139
