Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
cn18C	chr1	69381	125312698	13133	-0.0927159
cn18C	chr1	143281044	248918365	11298	0.210528
cn18C	chr2	41605	3478935	179	-0.454402
cn18C	chr2	3479216	88885071	6541	0.190277
cn18C	chr2	88886653	90525254	31	-0.240375
cn18C	chr2	91283966	242003780	12083	-0.0109935
cn18C	chr3	150500	93874407	7482	-0.244227
cn18C	chr3	93876963	134158264	3327	0.0389684
cn18C	chr3	134159235	149176414	1016	0.257731
cn18C	chr3	149177800	175956364	1417	0.657215
cn18C	chr3	175956364	180989604	253	1.08567
cn18C	chr3	180990104	187702130	871	1.23588
cn18C	chr3	187703039	191460660	152	1.03672
cn18C	chr3	191461160	193691560	129	1.22984
cn18C	chr3	193692060	196198876	261	1.00426
cn18C	chr3	196207395	198038669	287	0.808197
cn18C	chr4	59429	9172672	1190	-0.273994
cn18C	chr4	9368889	26362630	770	-0.29973
cn18C	chr4	26363130	128991664	5921	-0.059662
cn18C	chr4	128992164	190026768	2771	-0.327216
cn18C	chr5	140305	47365108	2385	0.218612
cn18C	chr5	49488671	181260815	9523	-0.328278
cn18C	chr6	150500	32459319	3102	-0.141436
cn18C	chr6	32741441	170583749	9863	-0.108039
cn18C	chr7	150500	143478798	10738	0.0541858
cn18C	chr7	143623899	159142547	1233	-0.0141223
cn18C	chr8	150500	11771590	583	-0.329341
cn18C	chr8	11779595	11996253	29	-0.976648
cn18C	chr8	11996753	30848503	1579	-0.307206
cn18C	chr8	30848503	145054159	6715	0.0346264
cn18C	chr9	154630	34728654	1889	-0.320668
cn18C	chr9	34729283	35236588	112	0.0369254
cn18C	chr9	35237700	37746506	486	0.30865
cn18C	chr9	37746506	38962485	73	0.150228
cn18C	chr9	38962485	45525913	51	-0.556199
cn18C	chr9	60497470	138177264	7303	0.137891
cn18C	chr10	49179	79614115	5246	-0.0475761
cn18C	chr10	79907667	133626306	5045	-0.0513124
cn18C	chr11	150500	50877111	4954	0.0268916
cn18C	chr11	51026130	134986058	9081	0.0229596
cn18C	chr12	99144	9443678	1625	0.0249984
cn18C	chr12	9595271	133234356	12016	0.014628
cn18C	chr13	15879861	57017795	2765	-0.260791
cn18C	chr13	57171357	114326283	2148	-0.274573
cn18C	chr14	15939217	21503883	481	0.258986
cn18C	chr14	21511121	95089995	6060	-0.239656
cn18C	chr14	95090495	106874055	1249	0.335669
cn18C	chr15	16962086	84444649	7309	0.0246637
cn18C	chr15	84603925	101922767	1368	0.0369352
cn18C	chr16	47427	30069391	4251	-0.0313232
cn18C	chr16	30069496	30947230	335	-0.314239
cn18C	chr16	30953182	33928396	382	0.0145235
